trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,23,2010-02-05 00:00:00,24,93,2010-02-08 00:00:00,2010-05-21 00:00:00,long,111.2,115.23214285714286,92.7642857142857,115.23214285714286,0.21871367686943038,4.032142857142858,SL,price_time,4.75,-3.4000000000000057,-0.3500000000000085,-1.7999999999999972,-2.299999999999997,-4.549999999999997
2,106,2010-06-09 00:00:00,107,180,2010-06-10 00:00:00,2010-09-22 00:00:00,long,120.1,124.69642857142857,111.19285714285714,124.69642857142857,0.5160384923817165,4.596428571428575,SL,price_time,3.1500000000000057,1.9000000000000057,2.0500000000000114,2.6500000000000057,1.9500000000000028,3.6000000000000085
3,188,2010-10-04 00:00:00,189,219,2010-10-05 00:00:00,2010-11-16 00:00:00,long,117.6,115.76785714285714,109.41428571428571,115.76785714285714,-0.22382198952879567,-1.8321428571428555,SL,price_date,6.200000000000003,5.550000000000011,6.300000000000011,6.5,4.950000000000003,5.400000000000006
4,232,2010-12-06 00:00:00,233,314,2010-12-07 00:00:00,2011-04-04 00:00:00,short,101.0,76.76785714285714,113.31428571428572,76.76785714285714,1.9678074245939674,24.23214285714286,SL,price_time,3.3500000000000085,2.450000000000003,1.9500000000000028,4.5,2.0999999999999943,2.700000000000003
5,328,2011-04-27 00:00:00,329,382,2011-04-28 00:00:00,2011-07-12 00:00:00,short,78.8,70.68571428571428,85.9857142857143,70.68571428571428,1.1292246520874731,8.114285714285714,SL,price_time,3.4000000000000057,3.700000000000003,4.299999999999997,5.849999999999994,7.950000000000003,8.5
6,388,2011-07-20 00:00:00,389,422,2011-07-21 00:00:00,2011-09-09 00:00:00,short,76.0,60.846428571428575,82.96428571428571,60.846428571428575,2.1758974358974372,15.153571428571425,SL,price_time,4.950000000000003,5.0,2.549999999999997,4.0,3.8499999999999943,5.25
7,449,2011-10-19 00:00:00,450,479,2011-10-20 00:00:00,2011-12-07 00:00:00,short,50.85,46.282142857142865,55.50714285714286,46.282142857142865,0.980828220858894,4.567857142857136,SL,price_time,0.8000000000000043,0.8000000000000043,1.8500000000000014,1.8000000000000043,0.9500000000000028,-1.0
8,501,2012-01-06 00:00:00,502,523,2012-01-09 00:00:00,2012-02-08 00:00:00,long,39.4,46.87142857142857,35.01428571428571,46.87142857142857,1.7035830618892498,7.471428571428568,SL,price_time,1.1499999999999986,0.6499999999999986,2.200000000000003,4.050000000000004,3.6499999999999986,4.649999999999999
9,535,2012-02-27 00:00:00,536,554,2012-02-28 00:00:00,2012-03-26 00:00:00,long,60.8,59.171428571428564,47.82857142857142,59.171428571428564,-0.12555066079295188,-1.6285714285714334,SL,price_date,3.6499999999999986,3.450000000000003,3.9000000000000057,3.950000000000003,3.549999999999997,2.700000000000003
10,561,2012-04-04 00:00:00,562,606,2012-04-09 00:00:00,2012-06-11 00:00:00,short,62.0,48.25,71.77142857142857,48.25,1.4071637426900583,13.75,SL,price_time,3.3999999999999986,3.25,4.350000000000001,5.75,5.399999999999999,6.450000000000003
