trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,9,2021-04-05,10,143,2021-04-06,2021-10-19,long,306.25,717.0964285714285,242.85000000000002,717.0964285714285,6.480227579990989,410.84642857142853,SL,price_date,57.25,37.25,24.350000000000023,17.100000000000023,27.600000000000023,2.75
2,203,2022-01-13,204,209,2022-01-14,2022-01-21,long,594.6,560.7607142857142,539.1357142857142,560.7607142857142,-0.6101094655505478,-33.83928571428578,SL,price_date,41.25,41.299999999999955,40.69999999999993,15.699999999999932,3.8999999999999773,-7.899999999999977
3,222,2022-02-10,223,246,2022-02-11,2022-03-17,short,568.0,509.34285714285716,642.8785714285714,509.34285714285716,0.7833635409710964,58.657142857142844,SL,price_date,14.349999999999909,14.299999999999955,41.64999999999998,31.149999999999977,38.799999999999955,29.299999999999955
4,310,2022-06-21,311,336,2022-06-22,2022-07-27,long,440.9,491.5821428571429,384.9857142857143,491.5821428571429,0.9064256515074117,50.682142857142935,SL,price_time,6.900000000000034,6.4500000000000455,22.5,52.0,56.650000000000034,56.200000000000045
5,363,2022-09-07,364,400,2022-09-08,2022-11-01,long,481.95,508.1892857142857,436.82142857142856,508.1892857142857,0.5814339981006644,26.2392857142857,SL,price_date,17.05000000000001,8.350000000000023,2.4499999999999886,12.400000000000034,19.44999999999999,18.55000000000001
6,552,2023-06-13,553,560,2023-06-14,2023-06-23,long,431.95,432.7321428571429,404.6142857142857,432.7321428571429,0.028612490201203586,0.782142857142901,SL,price_time,13.199999999999989,10.449999999999989,26.5,24.05000000000001,31.94999999999999,35.400000000000034
7,619,2023-09-18,620,670,2023-09-20,2023-12-04,short,475.0,443.1928571428571,526.8857142857142,443.1928571428571,0.6130231277533049,31.80714285714288,SL,price_date,6.349999999999966,3.4499999999999886,4.850000000000023,3.75,10.800000000000011,2.4499999999999886
8,823,2024-07-16,824,835,2024-07-18,2024-08-02,short,579.4,644.7928571428572,647.2357142857143,644.7928571428572,-0.9639886279877867,-65.39285714285722,SL,price_time,23.200000000000045,15.649999999999977,19.899999999999977,23.449999999999932,0.10000000000002274,-5.75
9,966,2025-02-07,967,985,2025-02-10,2025-03-07,short,734.0,692.7285714285714,809.25,692.7285714285714,0.5484575225439017,41.2714285714286,SL,price_time,24.850000000000023,22.950000000000045,35.89999999999998,61.450000000000045,74.35000000000002,103.64999999999998
10,1011,2025-04-21,1012,1047,2025-04-22,2025-06-11,long,674.95,668.9607142857143,581.0357142857142,668.9607142857143,-0.06377395801642873,-5.9892857142857565,SL,price_date,21.5,21.5,13.549999999999955,5.099999999999909,20.699999999999932,-0.650000000000091
11,1078,2025-07-24,1079,1132,2025-07-25,2025-10-13,short,815.0,698.3071428571429,878.0071428571429,698.3071428571429,1.8520575898424199,116.69285714285706,SL,price_date,39.55000000000007,35.35000000000002,26.649999999999977,11.299999999999955,4.399999999999977,32.299999999999955
