trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,450,2004-11-18 00:00:00,451,459,2004-11-19 00:00:00,2004-12-02 00:00:00,short,17.5,19.955,21.36,19.955,-0.6360103626943002,-2.4549999999999983,SL,price_time,0.4400000000000013,0.7300000000000004,0.23000000000000043,0.6600000000000001,0.4499999999999993,0.620000000000001
2,527,2005-03-10 00:00:00,528,557,2005-03-11 00:00:00,2005-04-25 00:00:00,short,51.7,52.995000000000005,60.99285714285715,52.995000000000005,-0.13935434281322076,-1.2950000000000017,SL,price_time,2.460000000000001,2.4200000000000017,4.440000000000005,4.260000000000005,5.170000000000002,6.490000000000002
3,560,2005-04-28 00:00:00,561,586,2005-04-29 00:00:00,2005-06-03 00:00:00,short,54.0,56.53,60.33714285714286,56.53,-0.399233543733093,-2.530000000000001,SL,price_time,1.980000000000004,2.8900000000000006,3.759999999999998,4.270000000000003,2.5700000000000003,2.0900000000000034
4,612,2005-07-11 00:00:00,613,626,2005-07-12 00:00:00,2005-08-01 00:00:00,short,52.49,55.125,57.614285714285714,55.125,-0.5142180094786728,-2.634999999999998,SL,price_time,0.44000000000000483,1.0900000000000034,2.3999999999999986,2.490000000000002,2.480000000000004,2.730000000000004
5,642,2005-08-24 00:00:00,643,661,2005-08-25 00:00:00,2005-09-21 00:00:00,long,58.21,56.98571428571429,50.59285714285714,56.98571428571429,-0.16072768192047995,-1.2242857142857133,SL,price_time,2.010000000000005,3.5600000000000023,3.6899999999999977,2.210000000000001,3.490000000000002,3.009999999999998
6,796,2006-04-12 00:00:00,797,881,2006-04-13 00:00:00,2006-08-11 00:00:00,short,194.02,157.94642857142858,230.61428571428573,157.94642857142858,0.9857706121174264,36.07357142857143,SL,price_time,13.199999999999989,14.030000000000001,21.909999999999997,26.05000000000001,28.080000000000013,22.72
7,998,2007-02-02 00:00:00,999,1068,2007-02-05 00:00:00,2007-05-18 00:00:00,short,254.55,241.0664285714286,285.3385714285714,241.0664285714286,0.43794079435783245,13.483571428571423,SL,price_time,4.510000000000019,6.5400000000000205,12.27000000000001,13.620000000000005,14.850000000000023,18.560000000000002
8,1088,2007-06-15 00:00:00,1089,1131,2007-06-18 00:00:00,2007-08-16 00:00:00,long,278.0,276.8092857142857,231.85142857142853,276.8092857142857,-0.02580175829618667,-1.1907142857143072,SL,price_date,14.919999999999959,-4.100000000000023,-4.990000000000009,14.259999999999991,26.529999999999973,18.279999999999973
9,1150,2007-09-12 00:00:00,1151,1219,2007-09-13 00:00:00,2007-12-19 00:00:00,long,294.2,349.0007142857143,274.1742857142857,349.0007142857143,2.7365173348551877,54.80071428571432,SL,price_date,4.6299999999999955,3.8000000000000114,7.300000000000011,7.470000000000027,6.5,6.139999999999986
10,1364,2008-07-22 00:00:00,1365,1402,2008-07-23 00:00:00,2008-09-16 00:00:00,long,148.97,151.40214285714285,135.38857142857142,151.40214285714285,0.17907857368254912,2.43214285714285,SL,price_time,2.259999999999991,0.22999999999998977,0.12000000000000455,-0.9900000000000091,-2.280000000000001,-2.3000000000000114
11,1487,2009-01-23 00:00:00,1488,1515,2009-01-27 00:00:00,2009-03-06 00:00:00,long,51.88,44.667857142857144,38.31285714285714,44.667857142857144,-0.5315889228177318,-7.212142857142858,SL,price_time,2.299999999999997,0.9199999999999946,2.3599999999999994,4.089999999999996,4.099999999999994,2.219999999999999
12,1636,2009-09-03 00:00:00,1637,1663,2009-09-04 00:00:00,2009-10-16 00:00:00,short,169.95,181.95285714285714,191.29285714285714,181.95285714285714,-0.5623828647925034,-12.002857142857152,SL,price_time,1.740000000000009,3.719999999999999,2.3999999999999773,1.2099999999999795,1.8799999999999955,5.560000000000002
13,1681,2009-11-13 00:00:00,1682,1730,2009-11-16 00:00:00,2010-01-27 00:00:00,long,183.98,218.59,162.25285714285715,218.59,1.592938391741734,34.610000000000014,SL,price_time,8.54000000000002,3.0100000000000193,3.969999999999999,3.6899999999999977,-1.0600000000000023,-0.8599999999999852
14,1744,2010-02-17 00:00:00,1745,1752,2010-02-18 00:00:00,2010-03-02 00:00:00,short,214.02,221.6064285714286,243.2957142857143,221.6064285714286,-0.2591372663836441,-7.586428571428598,SL,price_time,3.3400000000000034,0.12000000000000455,2.920000000000016,5.469999999999999,6.050000000000011,5.610000000000014
15,1792,2010-04-30 00:00:00,1793,1852,2010-05-03 00:00:00,2010-07-23 00:00:00,short,218.99,208.3042857142857,235.2957142857143,208.3042857142857,0.6553355528298596,10.685714285714312,SL,price_time,3.4399999999999977,3.4000000000000057,4.3700000000000045,5.2900000000000205,6.409999999999997,9.140000000000015
16,1872,2010-08-20 00:00:00,1873,1943,2010-08-23 00:00:00,2010-12-01 00:00:00,short,207.4,170.80357142857142,221.67285714285717,170.80357142857142,2.5640576518866958,36.59642857142859,SL,price_date,6.110000000000014,4.920000000000016,6.849999999999994,9.560000000000002,7.700000000000017,10.930000000000007
17,1955,2010-12-20 00:00:00,1956,1995,2010-12-21 00:00:00,2011-02-15 00:00:00,short,173.9,143.7357142857143,200.47857142857143,143.7357142857143,1.1349099704380545,30.16428571428571,SL,price_date,4.050000000000011,6.950000000000017,10.849999999999994,9.950000000000017,9.800000000000011,10.5
18,2031,2011-04-07 00:00:00,2032,2056,2011-04-08 00:00:00,2011-05-17 00:00:00,short,145.0,131.5142857142857,161.15714285714287,131.5142857142857,0.8346595932802827,13.485714285714295,SL,price_time,4.75,5.650000000000006,2.5500000000000114,3.1500000000000057,5.150000000000006,7.75
19,2069,2011-06-03 00:00:00,2070,2090,2011-06-06 00:00:00,2011-07-04 00:00:00,short,123.0,131.0,135.21428571428572,131.0,-0.6549707602339176,-8.0,SL,price_time,1.7000000000000028,0.7000000000000028,0.5999999999999943,-0.04999999999999716,-0.20000000000000284,-0.0
20,2096,2011-07-12 00:00:00,2097,2109,2011-07-13 00:00:00,2011-07-29 00:00:00,long,129.1,125.74642857142858,122.02857142857144,125.74642857142858,-0.4742424242424232,-3.3535714285714135,SL,price_time,3.9000000000000057,4.0,6.200000000000017,6.900000000000006,4.450000000000017,4.550000000000011
21,2113,2011-08-04 00:00:00,2114,2168,2011-08-05 00:00:00,2011-10-28 00:00:00,short,120.2,107.60000000000001,138.53571428571428,107.60000000000001,0.6871834826645891,12.599999999999994,SL,price_time,3.9000000000000057,-2.049999999999997,1.2000000000000028,5.25,1.6500000000000057,-0.45000000000000284
