trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,48,2007-11-05 00:00:00,49,58,2007-11-06 00:00:00,2007-11-19 00:00:00,short,13.2,13.807142857142859,14.864285714285716,13.807142857142859,-0.36480686695279063,-0.6071428571428594,SL,price_time,0.7999999999999989,0.7999999999999989,1.049999999999999,1.049999999999999,1.0,1.049999999999999
2,113,2008-02-06 00:00:00,114,179,2008-02-07 00:00:00,2008-05-16 00:00:00,short,14.6,11.567857142857143,18.871428571428574,11.567857142857143,0.7098662207357854,3.0321428571428566,SL,price_time,0.8000000000000007,0.5999999999999996,0.9000000000000004,1.9000000000000004,2.1500000000000004,1.9499999999999993
3,657,2010-05-06 00:00:00,658,710,2010-05-07 00:00:00,2010-07-20 00:00:00,short,15.95,15.582142857142857,18.142857142857142,15.582142857142857,0.16775244299674227,0.367857142857142,SL,price_time,1.2500000000000018,1.0999999999999996,1.0999999999999996,1.25,0.6499999999999986,0.09999999999999964
4,1745,2014-09-22 00:00:00,1746,1779,2014-09-23 00:00:00,2014-11-18 00:00:00,short,33.65,33.49285714285715,39.06428571428572,33.49285714285715,0.02902374670184586,0.15714285714285126,SL,price_time,3.049999999999997,2.6499999999999986,3.75,5.5,5.649999999999999,3.9499999999999993
5,1803,2014-12-22 00:00:00,1804,1817,2014-12-23 00:00:00,2015-01-12 00:00:00,short,36.7,39.54642857142857,42.114285714285714,39.54642857142857,-0.5257255936675459,-2.846428571428568,SL,price_time,0.9500000000000028,0.8000000000000043,0.6500000000000057,0.6500000000000057,0.15000000000000568,-0.09999999999999432
6,1879,2015-04-16 00:00:00,1880,1890,2015-04-17 00:00:00,2015-05-04 00:00:00,short,59.7,64.525,65.88571428571429,64.525,-0.7800230946882225,-4.825000000000003,SL,price_time,1.5500000000000043,2.0500000000000043,1.9500000000000028,2.1000000000000014,1.1000000000000014,1.6500000000000057
7,1916,2015-06-09 00:00:00,1917,1970,2015-06-10 00:00:00,2015-08-24 00:00:00,long,56.1,69.58571428571429,52.33571428571429,69.58571428571429,3.582542694497156,13.485714285714288,SL,price_time,1.1000000000000014,2.6499999999999986,0.7999999999999972,1.1499999999999986,1.4499999999999957,1.9499999999999957
8,1978,2015-09-03 00:00:00,1979,1995,2015-09-04 00:00:00,2015-09-30 00:00:00,short,73.0,80.94285714285715,83.78571428571429,80.94285714285715,-0.7364238410596029,-7.94285714285715,SL,price_time,2.1499999999999915,1.2999999999999972,3.049999999999997,3.200000000000003,2.049999999999997,2.700000000000003
9,2010,2015-10-23 00:00:00,2011,2048,2015-10-26 00:00:00,2015-12-18 00:00:00,short,85.5,82.75,92.74285714285715,82.75,0.3796844181459564,2.75,SL,price_time,2.9000000000000057,3.0,4.900000000000006,5.349999999999994,4.599999999999994,5.299999999999997
10,2061,2016-01-06 09:15:00,2062,2082,2016-01-07 09:15:00,2016-02-05 09:15:00,short,89.4,81.95,99.42857142857143,81.95,0.7428774928774934,7.450000000000003,SL,price_time,4.949999999999989,3.0,3.25,7.1000000000000085,4.800000000000011,7.0
11,2090,2016-02-17 09:17:00,2091,2246,2016-02-18 09:15:00,2016-10-06 09:15:00,long,63.4,111.975,54.41428571428572,111.975,5.405802861685217,48.574999999999996,SL,price_time,0.9500000000000028,1.1000000000000014,2.8500000000000014,1.9499999999999957,2.1499999999999986,0.0
