trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,235,2003-12-09 00:00:00,236,256,2003-12-10 00:00:00,2004-01-08 00:00:00,short,34.45,37.63214285714285,38.96428571428571,37.63214285714285,-0.704905063291139,-3.18214285714285,SL,price_time,1.7999999999999972,1.7000000000000028,3.150000000000002,2.0,0.8000000000000043,2.3500000000000014
2,281,2004-02-16 00:00:00,282,291,2004-02-17 00:00:00,2004-03-01 00:00:00,short,32.75,31.98571428571429,36.19285714285714,31.98571428571429,0.2219917012448117,0.7642857142857089,SL,price_time,0.5500000000000007,0.9499999999999993,0.75,1.1000000000000014,1.8500000000000014,3.0500000000000007
3,311,2004-03-30 00:00:00,312,344,2004-03-31 00:00:00,2004-05-19 00:00:00,short,28.45,23.382142857142856,34.67142857142857,23.382142857142856,0.8145809414466131,5.067857142857143,SL,price_time,0.8499999999999979,0.3999999999999986,-0.5500000000000007,-2.400000000000002,-3.1000000000000014,-2.6000000000000014
4,525,2005-03-08 00:00:00,526,552,2005-03-09 00:00:00,2005-04-18 00:00:00,short,45.4,42.93214285714286,50.47142857142857,42.93214285714286,0.4866197183098591,2.4678571428571416,SL,price_time,2.799999999999997,2.9499999999999957,3.6000000000000014,4.149999999999999,3.6000000000000014,3.3500000000000014
5,564,2005-05-04 00:00:00,565,589,2005-05-05 00:00:00,2005-06-08 00:00:00,short,42.2,42.457142857142856,47.864285714285714,42.457142857142856,-0.04539722572509382,-0.2571428571428527,SL,price_time,0.75,1.6500000000000057,0.20000000000000284,-0.3499999999999943,0.6000000000000014,0.8000000000000043
6,608,2005-07-05 00:00:00,609,641,2005-07-06 00:00:00,2005-08-23 00:00:00,long,34.05,32.10357142857143,29.0,32.10357142857143,-0.38543140028288525,-1.9464285714285694,SL,price_time,3.1999999999999957,2.8500000000000014,0.8500000000000014,1.0,0.8000000000000043,0.20000000000000284
7,663,2005-09-23 00:00:00,664,680,2005-09-26 00:00:00,2005-10-19 00:00:00,long,31.8,28.610714285714288,26.785714285714285,28.610714285714288,-0.6360398860398856,-3.189285714285713,SL,price_time,1.0999999999999979,0.14999999999999858,0.24999999999999645,0.34999999999999787,-0.6000000000000014,-0.05000000000000071
8,747,2006-01-27 00:00:00,748,757,2006-01-30 00:00:00,2006-02-13 00:00:00,short,31.65,32.97857142857143,33.73571428571428,32.97857142857143,-0.6369863013698644,-1.3285714285714292,SL,price_time,0.5,0.9499999999999993,1.0,1.2999999999999972,1.7999999999999972,1.5499999999999972
9,823,2006-05-23 00:00:00,824,839,2006-05-24 00:00:00,2006-06-14 00:00:00,long,27.85,19.17857142857143,18.292857142857144,19.17857142857143,-0.9073243647234678,-8.67142857142857,SL,price_date,1.1000000000000014,0.5,-0.8500000000000014,0.6999999999999993,0.9499999999999993,0.8999999999999986
10,965,2006-12-13 00:00:00,966,1005,2006-12-14 00:00:00,2007-02-13 00:00:00,long,23.15,22.95714285714286,19.299999999999997,22.95714285714286,-0.050092764378477775,-0.1928571428571395,SL,price_time,0.5,-0.04999999999999716,0.20000000000000284,0.0,-0.4499999999999993,-0.25
