trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,149,2003-08-06 00:00:00,150,222,2003-08-07 00:00:00,2003-11-19 00:00:00,long,42.65,58.55500000000001,38.83285714285714,58.55500000000001,4.166729041916165,15.905000000000008,SL,price_time,1.3200000000000003,0.9200000000000017,0.759999999999998,-0.17999999999999972,-0.8599999999999994,-0.3200000000000003
2,260,2004-01-14 00:00:00,261,291,2004-01-15 00:00:00,2004-03-01 00:00:00,short,92.23,91.32,104.49714285714286,91.32,0.07418190287644201,0.9100000000000108,SL,price_time,4.490000000000009,5.240000000000009,10.61,8.969999999999999,11.670000000000002,13.540000000000006
3,295,2004-03-08 00:00:00,296,326,2004-03-09 00:00:00,2004-04-22 00:00:00,short,93.6,97.43428571428572,101.67714285714285,97.43428571428572,-0.4747081712062271,-3.834285714285727,SL,price_date,1.8599999999999994,1.519999999999996,2.8599999999999994,6.039999999999992,4.559999999999988,7.589999999999989
4,351,2004-06-29 00:00:00,352,432,2004-06-30 00:00:00,2004-10-21 00:00:00,long,74.67,90.77785714285714,47.53285714285714,90.77785714285714,0.5935723310170561,16.107857142857142,SL,price_time,2.6099999999999994,2.569999999999993,8.129999999999995,6.5,5.219999999999999,6.3999999999999915
5,469,2004-12-16 00:00:00,470,499,2004-12-17 00:00:00,2005-01-31 00:00:00,short,110.0,111.56214285714286,120.08285714285714,111.56214285714286,-0.1549305752337776,-1.5621428571428595,SL,price_time,5.489999999999995,5.459999999999994,1.1299999999999955,1.230000000000004,1.8100000000000023,1.0799999999999983
6,505,2005-02-08 00:00:00,506,534,2005-02-09 00:00:00,2005-03-21 00:00:00,long,107.84,114.11000000000001,99.62857142857142,114.11000000000001,0.76356993736952,6.27000000000001,SL,price_time,3.25,2.8799999999999955,2.989999999999995,2.719999999999999,3.4299999999999926,3.6299999999999955
7,545,2005-04-06 00:00:00,546,575,2005-04-07 00:00:00,2005-05-19 00:00:00,short,116.67,117.04285714285714,125.32857142857142,117.04285714285714,-0.04306220095693783,-0.3728571428571428,SL,price_time,2.3599999999999994,5.140000000000001,7.3799999999999955,10.280000000000001,9.120000000000005,9.379999999999995
8,584,2005-06-01 00:00:00,585,644,2005-06-02 00:00:00,2005-08-26 00:00:00,long,117.71,138.77285714285716,107.54428571428572,138.77285714285716,2.0719505340078745,21.06285714285717,SL,price_date,3.6700000000000017,2.760000000000005,5.920000000000002,4.5800000000000125,5.320000000000007,5.040000000000006
9,779,2006-03-16 00:00:00,780,793,2006-03-17 00:00:00,2006-04-05 00:00:00,short,279.12,292.8878571428572,309.8157142857143,292.8878571428572,-0.4485270163354592,-13.767857142857167,SL,price_time,4.230000000000018,4.930000000000007,7.230000000000018,5.449999999999989,13.769999999999982,12.310000000000002
10,816,2006-05-12 00:00:00,817,854,2006-05-15 00:00:00,2006-07-05 00:00:00,short,311.11,258.92571428571426,347.09571428571434,258.92571428571426,1.4501389440254064,52.18428571428575,SL,price_time,14.590000000000032,10.410000000000025,18.689999999999998,12.759999999999991,28.620000000000005,35.50999999999999
11,910,2006-09-22 00:00:00,911,947,2006-09-25 00:00:00,2006-11-17 00:00:00,short,296.1,304.3678571428572,319.15142857142854,304.3678571428572,-0.3586700545364422,-8.267857142857167,SL,price_time,5.270000000000039,5.9500000000000455,5.07000000000005,8.370000000000005,15.420000000000016,13.330000000000041
12,1012,2007-02-23 00:00:00,1013,1032,2007-02-26 00:00:00,2007-03-23 00:00:00,short,359.55,357.4571428571428,398.19428571428574,357.4571428571428,0.05415696277402123,2.0928571428572127,SL,price_time,3.919999999999959,5.439999999999998,11.980000000000018,28.470000000000027,16.470000000000027,34.579999999999984
13,1044,2007-04-12 00:00:00,1045,1057,2007-04-13 00:00:00,2007-05-03 00:00:00,long,350.0,350.5728571428571,319.30285714285714,350.5728571428571,0.018661578555471982,0.5728571428571172,SL,price_time,10.560000000000002,8.689999999999998,19.149999999999977,20.920000000000016,19.069999999999993,19.20999999999998
14,1065,2007-05-15 00:00:00,1066,1118,2007-05-16 00:00:00,2007-07-27 00:00:00,long,373.11,537.4378571428572,345.52285714285716,537.4378571428572,5.9566827196934415,164.32785714285717,SL,price_time,9.0,7.800000000000011,10.120000000000005,11.71999999999997,12.689999999999998,12.180000000000007
15,1138,2007-08-27 00:00:00,1139,1174,2007-08-28 00:00:00,2007-10-17 00:00:00,long,562.22,682.8935714285715,505.0471428571429,682.8935714285715,2.110679393318508,120.67357142857145,SL,price_time,4.300000000000068,5.1299999999999955,13.709999999999923,13.029999999999973,11.730000000000018,12.610000000000014
16,1198,2007-11-20 00:00:00,1199,1231,2007-11-21 00:00:00,2008-01-08 00:00:00,short,963.45,967.7821428571428,1082.8971428571429,967.7821428571428,-0.03626828364010334,-4.332142857142799,SL,price_date,50.47000000000003,50.67000000000007,84.43000000000006,52.56000000000006,34.67000000000007,35.870000000000005
17,1247,2008-01-30 00:00:00,1248,1308,2008-01-31 00:00:00,2008-05-02 00:00:00,short,831.11,679.4428571428571,969.8285714285714,679.4428571428571,1.0933441809212905,151.66714285714295,SL,price_date,13.470000000000027,20.700000000000045,4.019999999999982,-16.0,-25.840000000000032,-9.569999999999936
18,1328,2008-06-02 00:00:00,1329,1355,2008-06-03 00:00:00,2008-07-09 00:00:00,short,644.4,558.7621428571429,730.8785714285714,558.7621428571429,0.9902783513669778,85.63785714285711,SL,price_date,16.159999999999968,11.709999999999923,31.91999999999996,40.75,48.66999999999996,66.75
19,1404,2008-09-18 00:00:00,1405,1412,2008-09-19 00:00:00,2008-09-30 00:00:00,long,588.89,513.0185714285715,473.8514285714285,513.0185714285715,-0.6595303438598227,-75.87142857142851,SL,price_time,20.180000000000064,-1.2999999999999545,-17.639999999999986,-26.340000000000032,-22.100000000000023,-18.779999999999973
20,1473,2009-01-02 00:00:00,1474,1477,2009-01-05 00:00:00,2009-01-09 00:00:00,long,376.89,329.3942857142857,327.52142857142854,329.3942857142857,-0.9620637768389377,-47.495714285714314,SL,price_date,14.199999999999989,4.1299999999999955,0.9800000000000182,-32.599999999999966,-56.50999999999999,-70.97999999999996
21,1555,2009-05-13 00:00:00,1556,1558,2009-05-14 00:00:00,2009-05-18 00:00:00,short,422.22,487.08285714285716,487.6871428571428,487.08285714285716,-0.9907696336221015,-64.86285714285714,SL,price_date,13.310000000000002,1.6000000000000227,-17.329999999999984,-125.17999999999995,-174.73000000000002,-182.79999999999995
22,1598,2009-07-13 00:00:00,1599,1667,2009-07-14 00:00:00,2009-10-23 00:00:00,long,600.69,698.5457142857143,509.0928571428571,698.5457142857143,1.0683271468230437,97.85571428571427,SL,price_time,16.670000000000073,7.1299999999999955,35.15999999999997,12.239999999999895,30.17999999999995,47.25999999999999
23,1737,2010-02-05 00:00:00,1738,1783,2010-02-08 00:00:00,2010-04-19 00:00:00,long,640.0,692.9035714285715,569.88,692.9035714285715,0.7544719256784294,52.90357142857147,SL,price_time,9.090000000000032,1.9800000000000182,9.710000000000036,-1.6900000000000546,3.6000000000000227,-3.090000000000032
24,1802,2010-05-14 00:00:00,1803,1854,2010-05-17 00:00:00,2010-07-27 00:00:00,long,677.8,820.4549999999999,634.8657142857143,820.4549999999999,3.322635922007055,142.65499999999997,SL,price_date,34.469999999999914,36.379999999999995,60.450000000000045,48.25,52.020000000000095,37.110000000000014
25,1992,2011-02-10 00:00:00,1993,2003,2011-02-11 00:00:00,2011-02-25 00:00:00,long,664.45,664.3292857142857,599.89,664.3292857142857,-0.00186979996459682,-0.12071428571437082,SL,price_time,28.620000000000005,27.149999999999977,73.39999999999998,57.65999999999997,70.88,89.07999999999993
26,2019,2011-03-22 00:00:00,2020,2045,2011-03-23 00:00:00,2011-05-02 00:00:00,long,676.75,698.957857142857,633.74,698.957857142857,0.5163417145514312,22.20785714285705,SL,price_date,4.309999999999945,3.5399999999999636,12.029999999999973,33.64999999999998,51.39999999999998,55.200000000000045
27,2111,2011-08-02 00:00:00,2112,2135,2011-08-03 00:00:00,2011-09-08 00:00:00,short,763.55,754.5842857142857,821.9285714285714,754.5842857142857,0.1535788572127736,8.965714285714284,SL,price_date,33.47000000000003,26.329999999999927,30.839999999999918,35.25999999999999,38.549999999999955,47.09999999999991
28,2259,2012-03-13 00:00:00,2260,2287,2012-03-14 00:00:00,2012-04-24 00:00:00,long,615.55,551.3985714285714,551.3985714285714,551.3985714285714,-1.0,-64.1514285714286,SL,price_time,15.509999999999991,5.160000000000082,-10.43999999999994,-28.879999999999995,-39.299999999999955,-43.5
29,2314,2012-06-01 00:00:00,2315,2352,2012-06-04 00:00:00,2012-07-25 00:00:00,long,496.09,598.1857142857143,466.6042857142857,598.1857142857143,3.4625484496124073,102.09571428571434,SL,price_date,17.149999999999977,25.45999999999998,42.19999999999999,67.08999999999997,70.57999999999998,85.89000000000004
30,2381,2012-09-06 00:00:00,2382,2400,2012-09-07 00:00:00,2012-10-05 00:00:00,long,593.38,667.5528571428572,552.0314285714285,667.5528571428572,1.793843283582087,74.1728571428572,SL,price_date,23.690000000000055,14.710000000000036,19.370000000000005,15.110000000000014,33.01999999999998,36.97000000000003
31,2415,2012-10-29 00:00:00,2416,2436,2012-10-30 00:00:00,2012-11-29 00:00:00,short,749.33,735.1800000000001,798.0985714285714,735.1800000000001,0.2901458784931747,14.149999999999977,SL,price_date,21.720000000000027,20.980000000000018,26.280000000000086,24.280000000000086,4.710000000000036,4.3799999999999955
32,2444,2012-12-11 00:00:00,2445,2476,2012-12-12 00:00:00,2013-01-25 00:00:00,short,743.15,718.1107142857143,772.6342857142857,718.1107142857143,0.8492417268278487,25.03928571428571,SL,price_time,8.909999999999968,10.879999999999995,20.16999999999996,14.639999999999986,16.75,6.730000000000018
33,2552,2013-05-20 00:00:00,2553,2590,2013-05-21 00:00:00,2013-07-11 00:00:00,short,717.05,647.6242857142856,767.03,647.6242857142856,1.3890699136797577,69.42571428571432,SL,price_time,7.509999999999991,3.4699999999999136,44.19999999999993,86.74000000000001,69.57999999999993,64.79999999999995
34,2655,2013-10-17 00:00:00,2656,2694,2013-10-18 00:00:00,2013-12-13 00:00:00,long,558.07,703.7814285714286,519.4971428571429,703.7814285714286,3.7775637939335542,145.71142857142854,SL,price_date,23.440000000000055,23.299999999999955,58.95999999999992,65.52999999999997,74.82999999999993,85.69999999999993
35,2740,2014-02-18 00:00:00,2741,2786,2014-02-19 00:00:00,2014-05-02 00:00:00,long,678.0,845.4671428571429,632.7599999999999,845.4671428571429,3.701749400025253,167.4671428571429,SL,price_time,9.259999999999991,9.529999999999973,11.769999999999982,25.42999999999995,45.10000000000002,47.26999999999998
36,2879,2014-09-15 00:00:00,2880,2902,2014-09-16 00:00:00,2014-10-22 00:00:00,short,1043.0,1032.44,1091.06,1032.44,0.21972534332084806,10.559999999999945,SL,price_date,29.93999999999994,32.57000000000005,30.230000000000018,-6.470000000000027,21.370000000000005,20.870000000000005
37,2955,2015-01-09 00:00:00,2956,2975,2015-01-12 00:00:00,2015-02-09 00:00:00,long,1002.6,1086.9707142857142,951.9428571428572,1086.9707142857142,1.665524534686969,84.37071428571414,SL,price_time,22.629999999999995,20.199999999999932,10.399999999999977,9.399999999999977,46.530000000000086,58.57000000000005
38,3032,2015-05-07 00:00:00,3033,3089,2015-05-08 00:00:00,2015-07-27 00:00:00,long,1059.33,1182.8035714285713,965.9357142857142,1182.8035714285713,1.3220677312775326,123.4735714285714,SL,price_time,21.569999999999936,8.170000000000073,17.539999999999964,-19.730000000000018,0.4700000000000273,-8.099999999999909
39,3147,2015-10-20 00:00:00,3148,3230,2015-10-21 00:00:00,2016-02-18 09:15:00,short,1050.63,782.7635714285714,1105.9385714285713,782.7635714285714,4.843126872610829,267.86642857142874,SL,price_time,15.399999999999864,17.0,43.760000000000105,45.000000000000114,54.13000000000011,55.46000000000015
40,3248,2016-03-16 09:15:00,3249,3291,2016-03-17 09:15:00,2016-05-23 09:15:00,long,798.67,830.4242857142857,722.9814285714286,830.4242857142857,0.419538711260429,31.754285714285743,SL,price_time,6.7000000000000455,-3.169999999999959,0.8600000000000136,20.100000000000023,26.200000000000045,29.700000000000045
41,3339,2016-07-29 09:15:00,3340,3361,2016-08-01 09:15:00,2016-08-31 09:15:00,short,1039.37,1006.4964285714285,1100.712857142857,1006.4964285714285,0.5358989287377728,32.87357142857138,SL,price_time,43.430000000000064,43.569999999999936,37.13999999999987,53.63999999999987,59.93999999999994,31.239999999999895
42,3450,2017-01-11 09:56:00,3451,3458,2017-01-12 09:15:00,2017-01-23 09:15:00,long,943.27,924.395,900.0842857142858,924.395,-0.43706582864704024,-18.875,SL,price_time,24.659999999999968,22.960000000000036,15.899999999999977,18.600000000000023,20.56000000000006,25.029999999999973
43,3600,2017-08-21 09:15:00,3601,3613,2017-08-22 09:15:00,2017-09-08 09:15:00,short,1132.0,1167.6678571428572,1184.5,1167.6678571428572,-0.679387755102042,-35.6678571428572,SL,price_time,9.399999999999864,14.299999999999955,7.849999999999909,0.2999999999999545,-6.900000000000091,1.9500000000000455
44,3643,2017-10-25 09:15:00,3644,3705,2017-10-26 09:15:00,2018-01-22 09:15:00,long,1209.95,1300.8249999999998,1108.1,1300.8249999999998,0.8922434953362754,90.87499999999977,SL,price_time,19.299999999999955,13.549999999999955,14.700000000000045,27.0,12.349999999999909,5.349999999999909
45,3773,2018-05-04 09:15:00,3774,3806,2018-05-07 09:15:00,2018-06-20 09:15:00,long,1374.0,1306.8142857142857,1306.8142857142857,1306.8142857142857,-1.0,-67.18571428571431,SL,price_time,20.450000000000045,15.150000000000091,-9.099999999999909,1.650000000000091,-11.799999999999955,13.400000000000091
46,3880,2018-10-09 09:15:00,3881,3920,2018-10-10 09:15:00,2018-12-10 00:00:00,long,1227.0,1365.857142857143,1139.2285714285715,1365.857142857143,1.582031250000002,138.8571428571429,SL,price_time,29.600000000000136,23.65000000000009,-1.150000000000091,8.25,-10.599999999999909,-2.349999999999909
47,4052,2019-06-24 00:00:00,4053,4112,2019-06-25 00:00:00,2019-09-20 00:00:00,short,1545.8,1384.5500000000002,1630.0500000000002,1384.5500000000002,1.913946587537084,161.24999999999977,SL,price_time,6.0,10.799999999999955,-5.400000000000091,-5.100000000000136,-7.400000000000091,-10.850000000000136
48,4138,2019-10-31 00:00:00,4139,4181,2019-11-01 00:00:00,2020-01-02 00:00:00,short,1476.7,1344.4428571428573,1539.5214285714287,1344.4428571428573,2.105287094940302,132.25714285714275,SL,price_time,23.649999999999864,27.299999999999955,24.5,36.90000000000009,23.65000000000009,41.65000000000009
49,4207,2020-02-06 00:00:00,4208,4279,2020-02-07 00:00:00,2020-05-28 00:00:00,short,1313.05,900.8785714285714,1386.5642857142857,900.8785714285714,5.606684803731052,412.1714285714286,SL,price_date,18.59999999999991,14.049999999999955,27.75,26.149999999999864,15.75,20.799999999999955
