trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,2,2003-01-03 00:00:00,3,24,2003-01-06 00:00:00,2003-02-04 00:00:00,short,62.0,64.10357142857143,76.2,64.10357142857143,-0.14813883299798783,-2.1035714285714278,SL,price_time,2.1000000000000085,-2.299999999999997,-1.2999999999999972,-0.75,-2.049999999999997,-3.0
2,40,2003-02-27 00:00:00,41,49,2003-02-28 00:00:00,2003-03-12 00:00:00,long,71.0,63.49285714285714,63.49285714285714,63.49285714285714,-1.0,-7.50714285714286,SL,price_time,1.3499999999999943,-0.9000000000000057,-2.0,-3.0,-2.75,-4.049999999999997
3,51,2003-03-17 00:00:00,52,139,2003-03-19 00:00:00,2003-07-23 00:00:00,long,62.6,93.54642857142858,59.90714285714285,93.54642857142858,11.492042440318274,30.946428571428577,SL,price_time,1.0,2.3999999999999986,2.3500000000000014,1.8000000000000043,-0.10000000000000142,0.44999999999999574
4,268,2004-01-27 00:00:00,269,345,2004-01-28 00:00:00,2004-05-20 00:00:00,short,190.0,130.08214285714286,226.28571428571428,130.08214285714286,1.6512795275590555,59.917857142857144,SL,price_time,9.150000000000006,10.0,10.5,14.699999999999989,19.05000000000001,17.849999999999994
5,373,2004-07-29 00:00:00,374,420,2004-07-30 00:00:00,2004-10-04 00:00:00,long,128.0,134.47500000000002,116.19285714285714,134.47500000000002,0.5483968542044784,6.475000000000023,SL,price_time,2.049999999999997,-0.29999999999999716,6.449999999999989,-0.04999999999999716,-0.5499999999999972,-0.04999999999999716
6,466,2004-12-13 00:00:00,467,506,2004-12-14 00:00:00,2005-02-09 00:00:00,short,176.0,173.6357142857143,210.7642857142857,173.6357142857143,0.06800904047667927,2.3642857142856997,SL,price_date,5.300000000000011,-1.5999999999999943,0.6999999999999886,3.5999999999999943,3.5500000000000114,-2.3499999999999943
7,638,2005-08-18 00:00:00,639,656,2005-08-19 00:00:00,2005-09-14 00:00:00,short,288.0,304.83214285714286,332.70714285714286,304.83214285714286,-0.37649784310592743,-16.832142857142856,SL,price_time,2.3500000000000227,1.3000000000000114,5.600000000000023,23.80000000000001,21.600000000000023,13.350000000000023
8,697,2005-11-16 00:00:00,698,740,2005-11-17 00:00:00,2006-01-17 00:00:00,long,281.0,342.33214285714286,258.6428571428571,342.33214285714286,2.743290734824277,61.332142857142856,SL,price_time,7.350000000000023,8.350000000000023,12.350000000000023,16.149999999999977,17.44999999999999,21.25
9,773,2006-03-07 00:00:00,774,791,2006-03-08 00:00:00,2006-04-03 00:00:00,short,364.0,403.5107142857143,409.6857142857143,403.5107142857143,-0.8648373983739835,-39.5107142857143,SL,price_date,5.399999999999977,4.0,7.0,-5.350000000000023,-4.75,-6.600000000000023
10,819,2006-05-17 00:00:00,820,916,2006-05-18 00:00:00,2006-10-03 00:00:00,short,432.0,299.48571428571427,517.1357142857142,299.48571428571427,1.5565064183236859,132.51428571428573,SL,price_time,40.25,28.649999999999977,44.44999999999999,86.89999999999998,100.30000000000001,86.25
11,1007,2007-02-15 00:00:00,1008,1059,2007-02-19 00:00:00,2007-05-07 00:00:00,short,390.0,313.3142857142857,445.20714285714286,313.3142857142857,1.3890542114115674,76.68571428571431,SL,price_time,13.199999999999989,33.19999999999999,43.35000000000002,39.55000000000001,36.55000000000001,57.55000000000001
12,1151,2007-09-13 00:00:00,1152,1205,2007-09-14 00:00:00,2007-11-29 00:00:00,short,351.55,333.0178571428571,431.87142857142857,333.0178571428571,0.23072476656291743,18.5321428571429,SL,price_time,17.30000000000001,-7.149999999999977,-2.0,-10.199999999999989,-11.399999999999977,-16.899999999999977
13,1292,2008-04-07 00:00:00,1293,1345,2008-04-08 00:00:00,2008-06-25 00:00:00,long,271.0,262.27857142857147,233.20714285714288,262.27857142857147,-0.2307692307692299,-8.721428571428532,SL,price_time,7.850000000000023,9.0,10.300000000000011,11.5,12.449999999999989,6.75
14,1356,2008-07-10 00:00:00,1357,1367,2008-07-11 00:00:00,2008-07-25 00:00:00,short,218.0,231.57142857142856,262.37142857142857,231.57142857142856,-0.3058596265292978,-13.571428571428555,SL,price_date,15.949999999999989,5.949999999999989,6.099999999999994,16.349999999999994,40.75,23.349999999999994
15,1454,2008-12-04 00:00:00,1455,1477,2008-12-05 00:00:00,2009-01-09 00:00:00,long,66.0,61.135714285714286,54.03571428571428,61.135714285714286,-0.40656716417910416,-4.864285714285714,SL,price_date,6.050000000000011,6.150000000000006,8.849999999999994,8.299999999999997,4.450000000000003,7.900000000000006
16,1573,2009-06-08 00:00:00,1574,1603,2009-06-09 00:00:00,2009-07-20 00:00:00,short,145.0,137.275,186.46428571428572,137.275,0.18630490956072335,7.724999999999994,SL,price_time,4.650000000000006,-1.0,-0.25,1.4499999999999886,6.949999999999989,11.900000000000006
17,1660,2009-10-12 00:00:00,1661,1768,2009-10-14 00:00:00,2010-03-25 00:00:00,long,169.55,334.4357142857143,151.4142857142857,334.4357142857143,9.091768412760922,164.8857142857143,SL,price_date,7.550000000000011,5.599999999999994,12.0,14.949999999999989,19.19999999999999,19.549999999999983
18,1871,2010-08-19 00:00:00,1872,1918,2010-08-20 00:00:00,2010-10-26 00:00:00,short,453.0,431.6142857142857,501.62142857142857,431.6142857142857,0.43984133979726786,21.3857142857143,SL,price_time,8.050000000000011,19.5,32.0,31.69999999999999,41.55000000000001,44.75
19,2003,2011-02-25 00:00:00,2004,2056,2011-02-28 00:00:00,2011-05-17 00:00:00,long,333.0,332.3107142857143,288.45714285714286,332.3107142857143,-0.015474663245669717,-0.6892857142856883,SL,price_time,19.0,17.0,7.0,11.949999999999989,19.0,8.149999999999977
20,2078,2011-06-16 00:00:00,2079,2217,2011-06-17 00:00:00,2012-01-10 00:00:00,short,355.0,315.2892857142857,392.73571428571427,315.2892857142857,1.0523376869203112,39.71071428571429,SL,price_time,14.949999999999989,4.949999999999989,16.850000000000023,10.25,14.100000000000023,4.050000000000011
