trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,71,2003-10-20 00:00:00,72,76,2003-10-21 00:00:00,2003-10-27 00:00:00,short,276.1,296.8642857142857,306.2785714285714,296.8642857142857,-0.6880473372781062,-20.764285714285677,SL,price_date,13.5,14.850000000000023,12.400000000000034,12.300000000000011,-8.899999999999977,-7.099999999999966
2,96,2003-11-24 00:00:00,97,136,2003-11-25 00:00:00,2004-01-21 00:00:00,long,330.55,389.8571428571429,293.4357142857143,389.8571428571429,1.5979599692070836,59.30714285714288,SL,price_date,10.050000000000011,6.75,10.149999999999977,14.050000000000011,25.5,22.94999999999999
3,181,2004-03-29 00:00:00,182,186,2004-03-30 00:00:00,2004-04-05 00:00:00,short,490.0,542.0,544.3214285714286,542.0,-0.9572649572649575,-52.0,SL,price_date,14.350000000000023,11.600000000000023,-7.449999999999989,-27.100000000000023,-31.649999999999977,-52.39999999999998
4,206,2004-05-06 00:00:00,207,271,2004-05-07 00:00:00,2004-09-06 00:00:00,short,550.0,398.86785714285713,603.5571428571429,398.86785714285713,2.821885836222989,151.13214285714287,SL,price_time,25.450000000000045,24.100000000000023,44.05000000000001,72.35000000000002,66.75,73.80000000000001
5,290,2004-10-01 00:00:00,291,305,2004-10-04 00:00:00,2004-10-26 00:00:00,long,361.0,344.79285714285714,329.90714285714284,344.79285714285714,-0.5212497128417181,-16.207142857142856,SL,price_time,18.44999999999999,14.149999999999977,16.75,7.75,8.300000000000011,5.0
6,383,2005-02-17 00:00:00,384,438,2005-02-18 00:00:00,2005-05-09 00:00:00,short,473.0,445.0571428571428,505.6428571428571,445.0571428571428,0.8560175054704615,27.94285714285718,SL,price_date,10.549999999999955,9.899999999999977,7.149999999999977,-0.75,1.6999999999999886,0.05000000000001137
7,531,2005-09-20 00:00:00,532,567,2005-09-21 00:00:00,2005-11-14 00:00:00,short,570.0,586.4892857142856,632.0642857142857,586.4892857142856,-0.2656807457705134,-16.489285714285643,SL,price_date,13.399999999999977,13.100000000000023,26.350000000000023,19.600000000000023,-0.9500000000000455,9.899999999999977
8,596,2005-12-26 00:00:00,597,645,2005-12-27 00:00:00,2006-03-08 00:00:00,long,615.0,833.6678571428572,573.4071428571428,833.6678571428572,5.257341576506955,218.6678571428572,SL,price_time,17.049999999999955,16.299999999999955,13.649999999999977,11.799999999999955,20.799999999999955,30.100000000000023
9,755,2006-08-17 00:00:00,756,768,2006-08-18 00:00:00,2006-09-05 00:00:00,long,815.0,841.9571428571428,765.0357142857142,841.9571428571428,0.539528234453179,26.9571428571428,SL,price_time,20.899999999999977,25.649999999999977,26.299999999999955,21.649999999999977,11.0,15.649999999999977
10,808,2006-11-03 00:00:00,809,828,2006-11-06 00:00:00,2006-12-01 00:00:00,short,975.0,941.6821428571428,1029.742857142857,941.6821428571428,0.608624739039668,33.31785714285718,SL,price_date,19.950000000000045,20.200000000000045,31.100000000000023,37.85000000000002,63.299999999999955,67.64999999999998
11,872,2007-02-07 00:00:00,873,876,2007-02-08 00:00:00,2007-02-13 00:00:00,long,951.95,890.6142857142858,890.6142857142858,890.6142857142858,-1.0,-61.33571428571429,SL,price_time,10.949999999999932,10.599999999999909,-10.25,-39.950000000000045,-61.05000000000007,-94.90000000000009
12,927,2007-04-30 00:00:00,928,953,2007-05-03 00:00:00,2007-06-07 00:00:00,long,817.5,748.3571428571429,727.6999999999999,748.3571428571429,-0.7699650015908358,-69.14285714285711,SL,price_time,8.25,-3.1499999999999773,-10.049999999999955,-12.549999999999955,-16.75,-15.200000000000045
13,1002,2007-08-16 00:00:00,1003,1014,2007-08-17 00:00:00,2007-09-03 00:00:00,short,793.8,873.5964285714285,898.6500000000001,873.5964285714285,-0.7610532052592129,-79.79642857142858,SL,price_time,14.800000000000068,15.149999999999977,10.049999999999955,26.299999999999955,28.0,17.84999999999991
14,1119,2008-01-31 00:00:00,1120,1148,2008-02-01 00:00:00,2008-03-13 00:00:00,long,833.15,835.8000000000001,694.6357142857142,835.8000000000001,0.01913160066006666,2.650000000000091,SL,price_date,55.549999999999955,72.60000000000002,64.20000000000005,39.450000000000045,-0.8999999999999773,-33.14999999999998
15,1275,2008-09-18 00:00:00,1276,1287,2008-09-19 00:00:00,2008-10-07 00:00:00,long,732.5,620.9749999999999,590.1071428571429,620.9749999999999,-0.7832204665161784,-111.52500000000009,SL,price_time,24.149999999999977,8.549999999999955,-11.200000000000045,-31.600000000000023,-30.399999999999977,-27.149999999999977
16,1393,2009-03-19 00:00:00,1394,1403,2009-03-20 00:00:00,2009-04-02 00:00:00,short,735.0,803.8642857142858,813.1214285714286,803.8642857142858,-0.8815031544299168,-68.86428571428576,SL,price_date,19.949999999999932,24.049999999999955,1.8999999999999773,0.9500000000000455,1.1000000000000227,-35.14999999999998
17,1463,2009-07-03 00:00:00,1464,1472,2009-07-06 00:00:00,2009-07-16 00:00:00,short,1058.75,1144.95,1144.95,1144.95,-1.0,-86.20000000000005,SL,price_time,21.15000000000009,21.15000000000009,-21.40000000000009,-43.5,-40.40000000000009,-44.84999999999991
18,1596,2010-01-19 00:00:00,1597,1603,2010-01-20 00:00:00,2010-01-29 00:00:00,long,1428.8,1339.067857142857,1337.5571428571427,1339.067857142857,-0.9834429309534986,-89.73214285714289,SL,price_time,39.049999999999955,29.549999999999955,23.950000000000045,15.650000000000091,17.40000000000009,-59.0
19,1686,2010-06-02 00:00:00,1687,1724,2010-06-03 00:00:00,2010-07-26 00:00:00,long,1288.0,1318.0535714285713,1182.392857142857,1318.0535714285713,0.2845789651673984,30.05357142857133,SL,price_date,18.549999999999955,8.799999999999955,42.049999999999955,27.450000000000045,6.349999999999909,15.0
20,1844,2011-01-13 00:00:00,1845,1876,2011-01-14 00:00:00,2011-03-01 00:00:00,short,1316.0,1271.8500000000001,1387.7428571428572,1271.8500000000001,0.6153922739944218,44.149999999999864,SL,price_time,45.84999999999991,46.299999999999955,46.40000000000009,38.40000000000009,43.299999999999955,56.75
21,1944,2011-06-09 00:00:00,1945,1951,2011-06-10 00:00:00,2011-06-20 00:00:00,long,1205.15,1156.9714285714285,1156.9714285714285,1156.9714285714285,-1.0,-48.17857142857156,SL,price_date,11.600000000000136,21.5,19.799999999999955,17.299999999999955,4.849999999999909,-12.0
22,2011,2011-09-15 00:00:00,2012,2031,2011-09-16 00:00:00,2011-10-14 00:00:00,long,1071.1,1031.9285714285713,976.7785714285714,1031.9285714285713,-0.4152972358954943,-39.17142857142858,SL,price_date,27.200000000000045,38.350000000000136,69.65000000000009,83.85000000000014,51.600000000000136,16.0
23,2087,2012-01-09 00:00:00,2088,2165,2012-01-10 00:00:00,2012-05-04 00:00:00,long,981.0,1275.7857142857142,888.0285714285714,1275.7857142857142,3.170712968653961,294.7857142857142,SL,price_date,15.300000000000068,5.350000000000023,6.899999999999977,13.5,-3.9500000000000455,27.049999999999955
24,2252,2012-09-06 00:00:00,2253,2271,2012-09-07 00:00:00,2012-10-05 00:00:00,long,1196.0,1268.2714285714287,1117.7785714285715,1268.2714285714287,0.9239338873162292,72.27142857142871,SL,price_date,21.549999999999955,9.0,10.099999999999909,17.84999999999991,24.200000000000045,14.599999999999909
25,2366,2013-02-21 00:00:00,2367,2395,2013-02-22 00:00:00,2013-04-05 00:00:00,short,1463.4,1413.775,1581.3285714285716,1413.775,0.4208055723803751,49.625,SL,price_date,29.09999999999991,25.0,19.300000000000182,59.100000000000136,54.850000000000136,109.05000000000018
