trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,16,2020-10-22,17,54,2020-10-23,2020-12-16,long,87.1,97.61428571428571,62.57857142857142,97.61428571428571,0.4287794931546754,10.51428571428572,SL,price_time,2.4000000000000057,0.6000000000000085,-1.6999999999999886,-2.6999999999999886,-3.5,-3.5999999999999943
2,78,2021-01-20,79,92,2021-01-21,2021-02-10,short,108.9,113.13571428571429,117.50000000000001,113.13571428571429,-0.4925249169435205,-4.23571428571428,SL,price_time,3.3499999999999943,3.9000000000000057,4.1000000000000085,4.6000000000000085,6.800000000000011,5.6000000000000085
3,110,2021-03-08,111,147,2021-03-09,2021-05-05,short,114.3,105.94999999999999,124.30000000000001,105.94999999999999,0.8349999999999996,8.350000000000009,SL,price_time,2.299999999999997,3.0999999999999943,1.0999999999999943,3.8999999999999915,4.599999999999994,6.200000000000003
4,203,2021-07-26,204,231,2021-07-27,2021-09-03,short,129.45,126.05357142857143,141.59285714285713,126.05357142857143,0.2797058823529402,3.396428571428558,SL,price_time,2.200000000000003,2.6499999999999915,1.8999999999999915,0.44999999999998863,-0.25,-0.35000000000002274
5,279,2021-11-15,280,310,2021-11-16,2021-12-29,short,153.0,135.7607142857143,166.93571428571428,135.7607142857143,1.2370579190158884,17.2392857142857,SL,price_time,3.049999999999983,3.4499999999999886,9.0,8.300000000000011,16.80000000000001,14.300000000000011
6,350,2022-02-24,351,396,2022-02-25,2022-05-06,long,116.95,141.93214285714288,104.31428571428572,141.93214285714288,1.9771057094403632,24.982142857142875,SL,price_time,7.900000000000006,4.25,3.3499999999999943,6.6499999999999915,6.799999999999997,3.8499999999999943
7,432,2022-06-27,433,519,2022-06-28,2022-11-02,long,123.65,318.93928571428575,114.4,318.93928571428575,21.112355212355215,195.28928571428574,SL,price_time,2.5,4.049999999999997,1.8999999999999915,-0.5500000000000114,0.44999999999998863,4.0
8,555,2022-12-23,556,591,2022-12-26,2023-02-14,long,352.5,351.8678571428572,299.2714285714286,351.8678571428572,-0.011876006441222954,-0.63214285714281,SL,price_time,51.900000000000034,49.60000000000002,58.39999999999998,47.30000000000001,42.10000000000002,44.10000000000002
9,627,2023-04-11,628,654,2023-04-12,2023-05-22,long,346.0,369.3107142857143,317.99285714285713,369.3107142857143,0.8323131854118854,23.31071428571431,SL,price_time,9.399999999999977,9.199999999999989,5.800000000000011,13.199999999999989,12.100000000000023,7.800000000000011
10,723,2023-08-29,724,760,2023-08-30,2023-10-23,long,914.85,992.9142857142856,830.8642857142858,992.9142857142856,0.929494812042863,78.06428571428557,SL,price_time,22.799999999999955,17.149999999999977,9.649999999999977,28.649999999999977,40.299999999999955,41.35000000000002
11,870,2024-04-02,871,896,2024-04-03,2024-05-13,long,998.0,1069.9714285714285,897.1642857142858,1069.9714285714285,0.7137493801799253,71.97142857142853,SL,price_time,120.54999999999995,120.34999999999991,99.59999999999991,102.29999999999995,128.45000000000005,114.09999999999991
12,1022,2024-11-11,1023,1031,2024-11-12,2024-11-26,short,2052.5,2178.917857142857,2254.8142857142857,2178.917857142857,-0.6248587770088962,-126.41785714285697,SL,price_time,18.399999999999864,26.09999999999991,107.09999999999991,89.45000000000005,63.700000000000045,14.700000000000045
13,1121,2025-04-04,1122,1128,2025-04-07,2025-04-17,short,2221.05,2772.7214285714285,2858.5857142857144,2772.7214285714285,-0.8653184695535262,-551.6714285714284,SL,price_date,224.89999999999964,-96.25,-137.64999999999964,-150.14999999999964,-211.5,-440.25
14,1192,2025-07-18,1193,1230,2025-07-21,2025-09-12,short,2980.0,2856.964285714286,3235.3714285714286,2856.964285714286,0.48179122846274297,123.03571428571422,SL,price_date,30.300000000000182,28.300000000000182,58.19999999999982,60.59999999999991,20.5,93.40000000000009
