trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,6,2003-01-09 00:00:00,7,115,2003-01-10 00:00:00,2003-06-19 00:00:00,short,95.0,77.04285714285714,102.88285714285715,77.04285714285714,2.2779992750996723,17.957142857142856,SL,price_time,5.159999999999997,5.719999999999999,2.75,2.1200000000000045,1.3299999999999983,0.1700000000000017
2,253,2004-01-05 00:00:00,254,311,2004-01-06 00:00:00,2004-03-30 00:00:00,short,200.0,157.66857142857145,219.42714285714285,157.66857142857145,2.178983748805058,42.331428571428546,SL,price_time,4.989999999999981,6.139999999999986,17.639999999999986,20.49000000000001,30.039999999999992,37.19
3,338,2004-05-11 00:00:00,339,342,2004-05-12 00:00:00,2004-05-17 00:00:00,long,120.5,108.84428571428572,108.84428571428572,108.84428571428572,-1.0,-11.655714285714282,SL,price_date,1.8499999999999943,0.5999999999999943,3.0400000000000063,1.1500000000000057,-12.760000000000005,-5.239999999999995
4,375,2004-08-02 00:00:00,376,398,2004-08-03 00:00:00,2004-09-02 00:00:00,short,145.0,145.94071428571428,155.2942857142857,145.94071428571428,-0.09138218151540323,-0.9407142857142787,SL,price_time,4.1299999999999955,3.530000000000001,2.5500000000000114,3.5999999999999943,3.6500000000000057,6.099999999999994
5,439,2004-11-02 00:00:00,440,457,2004-11-03 00:00:00,2004-11-30 00:00:00,long,133.5,127.94428571428571,122.81142857142858,127.94428571428571,-0.5197808072707838,-5.555714285714288,SL,price_time,5.4199999999999875,5.219999999999999,2.8000000000000114,1.7800000000000011,1.1999999999999886,2.030000000000001
6,470,2004-12-17 00:00:00,471,489,2004-12-20 00:00:00,2005-01-13 00:00:00,short,152.0,139.4392857142857,165.23285714285714,139.4392857142857,0.9492065205656934,12.560714285714312,SL,price_date,4.780000000000001,8.5,11.349999999999994,13.0,12.650000000000006,14.030000000000001
7,501,2005-02-02 00:00:00,502,506,2005-02-03 00:00:00,2005-02-09 00:00:00,short,130.0,141.01857142857142,148.95285714285714,141.01857142857142,-0.5813673023290868,-11.01857142857142,SL,price_time,0.9000000000000057,1.4300000000000068,2.9200000000000017,5.329999999999998,6.030000000000001,6.349999999999994
8,526,2005-03-09 00:00:00,527,542,2005-03-10 00:00:00,2005-04-01 00:00:00,short,125.5,120.48357142857142,134.94142857142856,120.48357142857142,0.5313209260099876,5.016428571428577,SL,price_date,1.8499999999999943,2.469999999999999,4.469999999999999,3.4200000000000017,4.549999999999997,5.25
9,548,2005-04-11 00:00:00,549,564,2005-04-12 00:00:00,2005-05-04 00:00:00,long,119.5,108.06285714285714,105.36714285714285,108.06285714285714,-0.8092590720711613,-11.43714285714286,SL,price_date,8.530000000000001,6.329999999999998,7.780000000000001,2.9000000000000057,1.8799999999999955,1.75
10,578,2005-05-24 00:00:00,579,587,2005-05-25 00:00:00,2005-06-06 00:00:00,short,134.0,139.49785714285716,144.97571428571428,139.49785714285716,-0.5009111024339469,-5.497857142857157,SL,price_time,1.3199999999999932,1.7199999999999989,3.569999999999993,4.030000000000001,5.569999999999993,3.6999999999999886
11,612,2005-07-11 00:00:00,613,618,2005-07-12 00:00:00,2005-07-19 00:00:00,short,141.25,153.63357142857143,156.82,153.63357142857143,-0.7953481970823015,-12.383571428571429,SL,price_time,2.180000000000007,2.25,2.819999999999993,4.530000000000001,1.1500000000000057,-1.2199999999999989
12,643,2005-08-25 00:00:00,644,662,2005-08-26 00:00:00,2005-09-22 00:00:00,long,120.0,118.06571428571428,106.73,118.06571428571428,-0.14576380665303104,-1.9342857142857213,SL,price_time,10.180000000000007,9.280000000000001,5.799999999999997,4.450000000000003,6.829999999999998,5.700000000000003
13,781,2006-03-20 00:00:00,782,868,2006-03-21 00:00:00,2006-07-25 00:00:00,short,215.0,148.1642857142857,234.05,148.1642857142857,3.5084364454443175,66.83571428571429,SL,price_time,8.050000000000011,10.0,16.94999999999999,11.300000000000011,14.699999999999989,15.0
14,873,2006-08-01 00:00:00,874,963,2006-08-02 00:00:00,2006-12-11 00:00:00,long,158.0,241.79642857142858,122.40714285714284,241.79642857142858,2.3543046357615887,83.79642857142858,SL,price_time,7.300000000000011,7.050000000000011,5.449999999999989,2.8000000000000114,-0.15000000000000568,-0.4000000000000057
15,1018,2007-03-05 00:00:00,1019,1108,2007-03-06 00:00:00,2007-07-13 00:00:00,long,249.95,298.41071428571433,193.55,298.41071428571433,0.859232522796354,48.460714285714346,SL,price_time,12.899999999999977,8.25,1.450000000000017,10.199999999999989,15.100000000000023,17.94999999999999
16,1157,2007-09-21 00:00:00,1158,1171,2007-09-24 00:00:00,2007-10-12 00:00:00,long,262.65,255.49285714285716,237.87142857142854,255.49285714285716,-0.2888440472758702,-7.157142857142816,SL,price_time,8.050000000000011,13.200000000000045,12.800000000000011,22.55000000000001,23.400000000000034,23.30000000000001
17,1184,2007-10-31 00:00:00,1185,1232,2007-11-01 00:00:00,2008-01-09 00:00:00,short,310.0,314.3178571428571,365.62142857142857,314.3178571428571,-0.07762938230383935,-4.317857142857122,SL,price_date,20.649999999999977,20.0,18.149999999999977,12.800000000000011,10.850000000000023,22.0
18,1263,2008-02-21 00:00:00,1264,1286,2008-02-22 00:00:00,2008-03-28 00:00:00,short,239.9,204.61071428571427,287.26428571428573,204.61071428571427,0.7450610767606699,35.28928571428574,SL,price_date,11.599999999999994,6.599999999999994,6.099999999999994,7.700000000000017,10.599999999999994,8.099999999999994
19,1340,2008-06-18 00:00:00,1341,1373,2008-06-19 00:00:00,2008-08-04 00:00:00,short,244.0,223.76785714285714,273.89285714285717,223.76785714285714,0.6768219832735958,20.23214285714286,SL,price_time,3.5,1.8499999999999943,4.199999999999989,8.449999999999989,13.849999999999994,11.300000000000011
20,1399,2008-09-11 00:00:00,1400,1423,2008-09-12 00:00:00,2008-10-17 00:00:00,short,251.75,190.33214285714286,272.1142857142857,190.33214285714286,3.0159593125219244,61.417857142857144,SL,price_date,7.75,9.949999999999989,11.800000000000011,25.849999999999994,35.05000000000001,38.099999999999994
21,1558,2009-05-18 00:00:00,1559,1562,2009-05-19 00:00:00,2009-05-22 00:00:00,short,271.0,314.6214285714286,331.7714285714286,314.6214285714286,-0.7177950164551016,-43.62142857142862,SL,price_time,32.799999999999955,11.899999999999977,-2.1000000000000227,-14.300000000000011,-45.80000000000001,-50.89999999999998
22,1574,2009-06-09 00:00:00,1575,1593,2009-06-10 00:00:00,2009-07-06 00:00:00,long,345.0,332.1857142857143,232.69285714285712,332.1857142857143,-0.1141003625262352,-12.814285714285688,SL,price_time,16.399999999999977,9.75,9.050000000000011,8.800000000000011,2.0,4.199999999999989
23,1770,2010-03-29 00:00:00,1771,1781,2010-03-30 00:00:00,2010-04-15 00:00:00,short,630.1,670.8178571428572,686.8714285714286,670.8178571428572,-0.7172244589833919,-40.717857142857156,SL,price_time,10.100000000000023,7.9500000000000455,9.649999999999977,-10.449999999999932,-7.25,-5.75
24,1837,2010-07-02 00:00:00,1838,1868,2010-07-05 00:00:00,2010-08-16 00:00:00,long,595.0,585.275,538.6857142857143,585.275,-0.17269152714358244,-9.725000000000023,SL,price_date,10.399999999999977,11.899999999999977,11.399999999999977,16.75,20.149999999999977,28.149999999999977
25,1969,2011-01-07 00:00:00,1970,2003,2011-01-10 00:00:00,2011-02-25 00:00:00,short,670.05,558.3607142857143,733.6785714285714,558.3607142857143,1.755332285585988,111.68928571428569,SL,price_time,10.0,9.199999999999932,-4.050000000000068,-9.600000000000023,-1.6000000000000227,-9.650000000000091
26,2077,2011-06-15 00:00:00,2078,2094,2011-06-16 00:00:00,2011-07-08 00:00:00,short,470.1,469.9178571428572,508.2857142857143,469.9178571428572,0.004769921436587172,0.1821428571428214,SL,price_time,18.850000000000023,18.200000000000045,23.100000000000023,44.950000000000045,45.75,44.450000000000045
27,2182,2011-11-21 00:00:00,2183,2205,2011-11-22 00:00:00,2011-12-23 00:00:00,long,301.5,303.5964285714286,261.8285714285714,303.5964285714286,0.05284479654303249,2.0964285714285893,SL,price_date,5.550000000000011,5.300000000000011,-2.8999999999999773,12.5,9.199999999999989,14.699999999999989
28,2211,2012-01-02 00:00:00,2212,2253,2012-01-03 00:00:00,2012-03-02 00:00:00,long,304.95,387.05,275.97857142857146,387.05,2.833826429980281,82.10000000000002,SL,price_time,7.949999999999989,4.449999999999989,1.650000000000034,3.8500000000000227,1.5500000000000114,11.400000000000034
29,2275,2012-04-04 00:00:00,2276,2296,2012-04-09 00:00:00,2012-05-08 00:00:00,short,410.05,397.2107142857143,447.1642857142857,397.2107142857143,0.3459391839876832,12.839285714285722,SL,price_date,5.600000000000023,3.1000000000000227,10.25,17.850000000000023,12.550000000000011,28.650000000000034
30,2303,2012-05-17 00:00:00,2304,2336,2012-05-18 00:00:00,2012-07-03 00:00:00,short,380.3,384.3285714285714,426.6714285714286,384.3285714285714,-0.08687615526802181,-4.028571428571411,SL,price_time,5.350000000000023,-4.599999999999966,-1.4499999999999886,3.9499999999999886,11.100000000000023,7.25
31,2363,2012-08-09 00:00:00,2364,2383,2012-08-10 00:00:00,2012-09-10 00:00:00,short,400.0,404.4214285714286,437.04999999999995,404.4214285714286,-0.11933680354733019,-4.421428571428578,SL,price_time,8.150000000000034,6.850000000000023,0.75,5.399999999999977,12.350000000000023,17.899999999999977
32,2408,2012-10-17 00:00:00,2409,2464,2012-10-18 00:00:00,2013-01-09 00:00:00,short,394.05,402.625,440.26428571428573,402.625,-0.18554868624420373,-8.574999999999989,SL,price_date,9.100000000000023,-2.6999999999999886,-6.300000000000011,-9.649999999999977,-10.25,-0.8000000000000114
33,2496,2013-02-22 00:00:00,2497,2527,2013-02-25 00:00:00,2013-04-10 00:00:00,long,369.7,369.2142857142857,334.26428571428573,369.2142857142857,-0.01370691392864288,-0.4857142857142662,SL,price_time,11.049999999999955,7.699999999999989,7.400000000000034,7.600000000000023,9.050000000000011,12.300000000000011
34,2568,2013-06-11 00:00:00,2569,2591,2013-06-12 00:00:00,2013-07-12 00:00:00,short,421.05,416.63571428571424,508.01428571428573,416.63571428571424,0.05075975359342977,4.414285714285768,SL,price_date,10.649999999999977,10.0,34.55000000000001,32.900000000000034,35.400000000000034,29.19999999999999
35,2618,2013-08-22 00:00:00,2619,2671,2013-08-23 00:00:00,2013-11-11 00:00:00,long,383.65,408.3107142857143,327.75714285714287,408.3107142857143,0.44121405750798837,24.660714285714334,SL,price_time,10.350000000000023,13.950000000000045,16.850000000000023,11.300000000000011,28.900000000000034,38.55000000000001
36,2697,2013-12-18 00:00:00,2698,2721,2013-12-19 00:00:00,2014-01-22 00:00:00,long,403.45,401.5892857142857,349.15,401.5892857142857,-0.03426729807945241,-1.8607142857142662,SL,price_time,10.199999999999989,5.25,4.5,11.300000000000011,26.900000000000034,21.850000000000023
37,2751,2014-03-06 00:00:00,2752,2769,2014-03-07 00:00:00,2014-04-02 00:00:00,short,414.2,426.5785714285714,456.3928571428571,426.5785714285714,-0.2933807347215171,-12.378571428571433,SL,price_date,10.099999999999966,10.649999999999977,10.25,12.899999999999977,9.699999999999989,20.19999999999999
38,2800,2014-05-22 00:00:00,2801,2892,2014-05-23 00:00:00,2014-10-07 00:00:00,long,396.0,411.4428571428571,353.9142857142857,411.4428571428571,0.3669382213170395,15.442857142857122,SL,price_time,5.550000000000011,4.25,4.199999999999989,8.75,13.0,11.5
