trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,34,2011-06-23 00:00:00,35,73,2011-06-24 00:00:00,2011-08-18 00:00:00,long,151.5,168.45357142857142,140.40714285714284,168.45357142857142,1.528332260141659,16.953571428571422,SL,price_time,3.6999999999999886,2.6999999999999886,10.099999999999994,13.25,8.099999999999994,5.5
2,93,2011-09-19 00:00:00,94,110,2011-09-20 00:00:00,2011-10-13 00:00:00,short,176.5,171.79999999999998,191.1285714285714,171.79999999999998,0.32128906250000167,4.700000000000017,SL,price_time,3.1999999999999886,4.449999999999989,5.449999999999989,9.699999999999989,7.099999999999994,13.75
3,128,2011-11-14 00:00:00,129,176,2011-11-15 00:00:00,2012-01-20 00:00:00,short,187.0,165.63214285714287,208.42142857142858,165.63214285714287,0.9974991663887955,21.367857142857133,SL,price_time,5.0,3.25,5.699999999999989,9.050000000000011,14.699999999999989,18.25
4,232,2012-04-16 00:00:00,233,243,2012-04-17 00:00:00,2012-05-02 00:00:00,long,131.8,117.3035714285714,114.91428571428571,117.3035714285714,-0.8585025380710675,-14.49642857142861,SL,price_time,2.3499999999999943,1.549999999999983,-0.6500000000000057,0.29999999999998295,-5.250000000000014,-4.500000000000014
5,248,2012-05-09 00:00:00,249,282,2012-05-10 00:00:00,2012-06-26 00:00:00,long,120.6,126.99642857142857,106.7642857142857,126.99642857142857,0.46231285493030455,6.396428571428572,SL,price_time,4.25,3.75,8.75,6.300000000000011,8.800000000000011,10.5
6,379,2012-11-16 00:00:00,380,409,2012-11-19 00:00:00,2013-01-01 00:00:00,short,215.0,211.6392857142857,248.42857142857144,211.6392857142857,0.10053418803418825,3.3607142857142946,SL,price_time,6.550000000000011,8.050000000000011,10.25,12.300000000000011,13.050000000000011,12.5
7,414,2013-01-08 00:00:00,415,498,2013-01-09 00:00:00,2013-05-13 00:00:00,short,230.0,156.03214285714284,253.38571428571427,156.03214285714284,3.162950519242519,73.96785714285716,SL,price_time,4.899999999999977,4.199999999999989,6.400000000000006,13.400000000000006,3.3499999999999943,9.75
8,508,2013-05-27 00:00:00,509,562,2013-05-28 00:00:00,2013-08-12 00:00:00,short,146.15,92.22142857142858,162.62857142857146,92.22142857142858,3.272648461205023,53.92857142857143,SL,price_date,2.6500000000000057,1.950000000000017,0.5999999999999943,2.950000000000017,7.5,14.400000000000006
9,582,2013-09-11 00:00:00,583,613,2013-09-12 00:00:00,2013-10-28 00:00:00,short,122.5,103.51785714285715,139.97857142857143,103.51785714285715,1.0860237024928479,18.982142857142847,SL,price_date,7.0,5.5,8.599999999999994,10.049999999999997,19.049999999999997,25.700000000000003
10,687,2014-02-12 00:00:00,688,720,2014-02-13 00:00:00,2014-04-02 00:00:00,short,175.85,174.91428571428568,196.46428571428572,174.91428571428568,0.04539154539154662,0.9357142857143117,SL,price_time,14.599999999999994,15.199999999999989,10.099999999999994,15.549999999999983,15.25,14.799999999999983
11,762,2014-06-06 00:00:00,763,812,2014-06-09 00:00:00,2014-08-19 00:00:00,short,200.2,193.2785714285714,229.93571428571428,193.2785714285714,0.23276483305308687,6.921428571428578,SL,price_time,4.799999999999983,5.149999999999977,10.349999999999994,13.899999999999977,1.9499999999999886,8.349999999999994
12,857,2014-10-29 00:00:00,858,903,2014-10-30 00:00:00,2015-01-06 00:00:00,long,188.0,194.49285714285713,175.95714285714286,194.49285714285713,0.5391459074733087,6.492857142857133,SL,price_time,2.25,1.0,9.300000000000011,10.349999999999994,9.099999999999994,6.949999999999989
13,919,2015-01-29 00:00:00,920,940,2015-01-30 00:00:00,2015-03-02 00:00:00,short,219.7,235.1392857142857,247.13571428571427,235.1392857142857,-0.5627440770632649,-15.439285714285717,SL,price_date,8.549999999999983,8.549999999999983,4.649999999999977,11.599999999999994,9.949999999999989,5.399999999999977
14,964,2015-04-08 00:00:00,965,987,2015-04-09 00:00:00,2015-05-13 00:00:00,short,203.75,191.0857142857143,223.72142857142856,191.0857142857143,0.63412017167382,12.664285714285711,SL,price_time,3.0500000000000114,4.5,0.5999999999999943,4.199999999999989,12.099999999999994,11.150000000000006
15,1035,2015-07-20 00:00:00,1036,1089,2015-07-21 00:00:00,2015-10-07 00:00:00,short,207.0,175.82928571428573,232.8785714285714,175.82928571428573,1.2044990339497659,31.17071428571427,SL,price_time,5.449999999999989,4.099999999999994,5.150000000000006,7.699999999999989,8.150000000000006,13.0
16,1095,2015-10-15 00:00:00,1096,1133,2015-10-16 00:00:00,2015-12-11 00:00:00,long,181.3,179.27142857142857,167.1814285714286,179.27142857142857,-0.14368106850146806,-2.028571428571439,SL,price_time,2.200000000000017,2.5,0.549999999999983,6.099999999999994,7.949999999999989,4.75
17,1163,2016-01-22 09:15:00,1164,1188,2016-01-25 09:15:00,2016-02-29 09:17:00,long,174.55,172.25357142857143,155.71428571428572,172.25357142857143,-0.1219188471748202,-2.296428571428578,SL,price_date,4.849999999999994,5.349999999999994,12.449999999999989,11.949999999999989,17.75,23.44999999999999
18,1206,2016-03-29 09:23:00,1207,1230,2016-03-30 09:15:00,2016-05-05 09:19:00,long,173.85,190.59285714285713,165.2857142857143,190.59285714285713,1.9549624687239413,16.742857142857133,SL,price_time,2.0999999999999943,1.3499999999999943,4.900000000000006,6.400000000000006,6.050000000000011,4.700000000000017
19,1236,2016-05-13 09:15:00,1237,1320,2016-05-16 09:15:00,2016-09-14 09:15:00,long,213.6,332.0964285714286,184.38571428571427,332.0964285714286,4.056112469437653,118.4964285714286,SL,price_time,9.350000000000023,6.950000000000017,9.5,3.5,5.200000000000017,0.25
20,1391,2016-12-28 09:15:00,1392,1441,2016-12-29 09:15:00,2017-03-10 09:15:00,long,273.0,325.9535714285715,248.72857142857146,325.9535714285715,2.181724543849328,52.95357142857148,SL,price_time,7.449999999999989,8.899999999999977,9.699999999999989,12.199999999999989,13.550000000000011,13.899999999999977
21,1470,2017-04-25 09:15:00,1471,1495,2017-04-26 09:15:00,2017-05-31 09:15:00,short,395.1,412.3071428571428,436.99285714285713,412.3071428571428,-0.4107416879795386,-17.2071428571428,SL,price_date,5.0,6.150000000000034,-5.2999999999999545,0.8000000000000114,1.4500000000000455,-0.39999999999997726
22,1538,2017-08-01 09:15:00,1539,1562,2017-08-02 09:15:00,2017-09-06 09:15:00,short,471.5,491.4107142857143,504.2571428571428,491.4107142857143,-0.6078281726995209,-19.910714285714278,SL,price_time,6.100000000000023,7.050000000000011,17.600000000000023,9.75,-2.8500000000000227,-8.100000000000023
23,1573,2017-09-21 09:15:00,1574,1600,2017-09-22 09:15:00,2017-11-02 09:15:00,short,500.1,516.2142857142858,558.85,516.2142857142858,-0.274285714285715,-16.114285714285757,SL,price_date,14.900000000000034,11.900000000000034,23.5,21.700000000000045,39.5,41.25
24,1640,2017-12-29 09:15:00,1641,1700,2018-01-01 09:15:00,2018-03-28 09:15:00,short,474.9,410.9892857142857,514.2928571428571,410.9892857142857,1.6223934723481426,63.91071428571428,SL,price_date,4.349999999999966,4.599999999999966,16.0,17.549999999999955,12.949999999999989,3.25
25,1721,2018-04-30 09:15:00,1722,1768,2018-05-02 09:15:00,2018-07-05 09:15:00,short,452.8,405.2107142857143,484.18571428571425,405.2107142857143,1.5162721893491147,47.58928571428572,SL,price_time,7.050000000000011,9.0,10.0,10.400000000000034,11.350000000000023,10.0
26,1779,2018-07-20 09:15:00,1780,1820,2018-07-23 09:51:00,2018-09-21 09:15:00,long,392.7,423.89285714285717,347.3285714285715,423.89285714285717,0.6875000000000018,31.19285714285718,SL,price_date,5.399999999999977,2.5500000000000114,16.94999999999999,0.5500000000000114,15.5,19.69999999999999
27,1842,2018-10-25 09:15:00,1843,1869,2018-10-26 09:15:00,2018-12-06 00:00:00,long,388.95,413.59285714285716,339.29285714285714,413.59285714285716,0.4962600690448798,24.642857142857167,SL,price_date,9.800000000000011,9.800000000000011,14.350000000000023,6.75,20.400000000000034,38.35000000000002
28,1917,2019-02-13 00:00:00,1918,1964,2019-02-14 00:00:00,2019-04-25 00:00:00,long,507.0,577.1571428571428,465.7071428571428,577.1571428571428,1.6990140114167072,70.15714285714284,SL,price_date,16.049999999999955,20.149999999999977,11.25,13.399999999999977,11.950000000000045,12.200000000000045
29,2096,2019-11-11 00:00:00,2097,2098,2019-11-13 00:00:00,2019-11-14 00:00:00,short,669.3,705.0107142857144,715.2928571428571,705.0107142857144,-0.7764404410622795,-35.7107142857144,SL,price_time,19.199999999999932,19.199999999999932,-42.200000000000045,-32.35000000000002,-43.15000000000009,-38.90000000000009
30,2197,2020-04-07 00:00:00,2198,2280,2020-04-08 00:00:00,2020-08-06 00:00:00,long,662.3,1189.182142857143,478.6214285714286,1189.182142857143,2.8685008749756973,526.882142857143,SL,price_time,11.299999999999955,24.850000000000023,72.65000000000009,83.70000000000005,29.0,31.300000000000068
31,2421,2021-02-25 00:00:00,2422,2473,2021-02-26 00:00:00,2021-05-18 00:00:00,short,1314.5,1256.725,1436.0,1256.725,0.4755144032921818,57.77500000000009,SL,price_time,29.450000000000045,14.799999999999955,12.400000000000091,3.599999999999909,-4.0,-0.25
32,2535,2021-08-13 00:00:00,2536,2559,2021-08-16 00:00:00,2021-09-20 00:00:00,long,1458.0,1468.567857142857,1356.0,1468.567857142857,0.10360644257703004,10.567857142857065,SL,price_date,22.799999999999955,16.0,15.900000000000091,21.40000000000009,-0.049999999999954525,0.25
33,2601,2021-11-22 00:00:00,2602,2631,2021-11-23 00:00:00,2022-01-03 00:00:00,short,1537.0,1515.8607142857143,1722.6785714285716,1515.8607142857143,0.11384881708020776,21.139285714285734,SL,price_date,17.15000000000009,8.700000000000045,41.0,55.34999999999991,96.34999999999991,109.90000000000009
34,2678,2022-03-11 00:00:00,2679,2755,2022-03-14 00:00:00,2022-07-04 00:00:00,short,1388.0,1057.375,1496.1999999999998,1057.375,3.0556839186691365,330.625,SL,price_date,26.049999999999955,32.049999999999955,54.65000000000009,56.950000000000045,50.950000000000045,33.450000000000045
35,2812,2022-09-26 00:00:00,2813,2868,2022-09-27 00:00:00,2022-12-16 00:00:00,long,961.1,1070.4642857142856,903.9285714285714,1070.4642857142856,1.9129185407296316,109.36428571428553,SL,price_date,55.84999999999991,50.94999999999993,87.55000000000007,72.24999999999989,78.94999999999993,68.49999999999989
36,2942,2023-04-05 00:00:00,2943,3031,2023-04-06 00:00:00,2023-08-14 00:00:00,long,994.45,1291.5357142857142,935.1285714285714,1291.5357142857142,5.008067429259472,297.0857142857142,SL,price_date,30.399999999999977,25.699999999999932,33.5,33.299999999999955,30.549999999999955,38.899999999999864
37,3069,2023-10-10 00:00:00,3070,3091,2023-10-11 00:00:00,2023-11-10 00:00:00,long,1229.0,1246.5214285714285,1127.25,1246.5214285714285,0.17220077220077137,17.521428571428487,SL,price_date,18.100000000000136,7.150000000000091,7.4500000000000455,4.599999999999909,16.049999999999955,22.700000000000045
38,3183,2024-03-22 00:00:00,3184,3212,2024-03-26 00:00:00,2024-05-09 00:00:00,long,1420.0,1588.0392857142856,1312.292857142857,1588.0392857142856,1.5601498773128155,168.0392857142856,SL,price_date,58.80000000000018,63.15000000000009,58.200000000000045,60.450000000000045,143.70000000000005,142.75
39,3341,2024-11-12 00:00:00,3342,3348,2024-11-13 00:00:00,2024-11-25 00:00:00,short,1788.0,1944.3857142857141,1944.642857142857,1944.3857142857141,-0.9983584131326941,-156.38571428571413,SL,price_time,22.40000000000009,17.700000000000045,12.150000000000091,-97.65000000000009,-108.45000000000005,-111.54999999999995
