trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,49,2018-01-15 09:15:00,50,114,2018-01-16 09:15:00,2018-04-23 09:15:00,short,328.3,262.0642857142857,354.4714285714286,262.0642857142857,2.5308406113537125,66.23571428571432,SL,price_time,12.200000000000045,14.400000000000034,18.650000000000034,30.94999999999999,34.80000000000001,32.900000000000034
2,154,2018-06-19 09:15:00,155,193,2018-06-20 09:15:00,2018-08-13 09:15:00,long,215.0,232.39642857142863,198.39285714285714,232.39642857142863,1.0475268817204333,17.39642857142863,SL,price_time,2.6500000000000057,3.6500000000000057,3.0,0.30000000000001137,2.25,3.0
3,201,2018-08-27 09:15:00,202,244,2018-08-28 09:15:00,2018-10-31 09:15:00,short,236.1,176.57500000000002,259.3357142857143,176.57500000000002,2.561789117737471,59.52499999999998,SL,price_time,1.6999999999999886,0.6999999999999886,1.8499999999999943,1.3499999999999943,0.3499999999999943,3.1500000000000057
4,308,2019-02-04 00:00:00,309,310,2019-02-05 00:00:00,2019-02-06 00:00:00,long,131.1,133.84285714285713,116.78571428571428,133.84285714285713,0.19161676646706516,2.742857142857133,SL,price_time,5.849999999999994,5.800000000000011,29.400000000000006,24.0,32.75,23.400000000000006
5,353,2019-04-10 00:00:00,354,361,2019-04-11 00:00:00,2019-04-24 00:00:00,short,197.0,207.2107142857143,220.5,207.2107142857143,-0.43449848024316123,-10.210714285714289,SL,price_time,1.5999999999999943,1.1500000000000057,2.4000000000000057,0.30000000000001137,-1.6500000000000057,6.199999999999989
6,394,2019-06-13 00:00:00,395,430,2019-06-14 00:00:00,2019-08-02 00:00:00,long,216.75,224.97857142857146,207.99285714285713,224.97857142857146,0.939641109298534,8.228571428571456,SL,price_time,4.449999999999989,3.4499999999999886,3.0,3.8499999999999943,2.8000000000000114,2.9000000000000057
7,542,2020-01-20 00:00:00,543,547,2020-01-21 00:00:00,2020-01-27 00:00:00,short,340.05,367.55357142857144,370.70714285714286,367.55357142857144,-0.8971342031686864,-27.503571428571433,SL,price_time,1.099999999999966,1.1999999999999886,-6.300000000000011,-6.800000000000011,-19.55000000000001,-26.44999999999999
8,575,2020-03-05 00:00:00,576,630,2020-03-06 00:00:00,2020-06-01 00:00:00,short,349.45,263.5214285714286,443.2,263.5214285714286,0.9165714285714281,85.92857142857139,SL,price_date,40.94999999999999,5.149999999999977,52.69999999999999,51.5,70.94999999999999,45.94999999999999
9,659,2020-07-10 00:00:00,660,690,2020-07-13 00:00:00,2020-08-24 00:00:00,short,298.0,287.9607142857143,320.82142857142856,287.9607142857143,0.43990610328638513,10.039285714285711,SL,price_time,3.6999999999999886,11.449999999999989,9.649999999999977,12.699999999999989,8.300000000000011,5.699999999999989
10,714,2020-09-25 00:00:00,715,774,2020-09-28 00:00:00,2020-12-22 00:00:00,long,257.0,288.46785714285716,231.6357142857143,288.46785714285716,1.2406364404393142,31.467857142857156,SL,price_date,8.550000000000011,6.300000000000011,2.3500000000000227,5.100000000000023,9.100000000000023,13.399999999999977
11,829,2021-03-12 00:00:00,830,880,2021-03-15 00:00:00,2021-05-31 00:00:00,short,345.4,362.32142857142856,391.1071428571429,362.32142857142856,-0.3702140959524923,-16.921428571428578,SL,price_time,6.4500000000000455,5.25,11.25,11.75,22.299999999999955,18.599999999999966
12,895,2021-06-21 00:00:00,896,931,2021-06-22 00:00:00,2021-08-11 00:00:00,long,359.0,381.4535714285715,328.91428571428577,381.4535714285715,0.7463200379867077,22.45357142857148,SL,price_time,1.8999999999999773,-1.0500000000000114,-0.39999999999997726,-0.05000000000001137,3.1999999999999886,9.149999999999977
13,983,2021-10-27 00:00:00,984,1028,2021-10-28 00:00:00,2021-12-31 00:00:00,short,437.0,353.54285714285714,477.32142857142856,353.54285714285714,2.069796279893712,83.45714285714286,SL,price_time,18.0,19.899999999999977,18.649999999999977,13.899999999999977,14.949999999999989,14.550000000000011
14,1073,2022-03-08 00:00:00,1074,1097,2022-03-09 00:00:00,2022-04-12 00:00:00,long,296.0,323.8464285714286,263.3571428571429,323.8464285714286,0.8530634573304171,27.84642857142859,SL,price_date,12.199999999999989,10.550000000000011,14.800000000000011,15.949999999999989,26.100000000000023,19.850000000000023
15,1107,2022-04-28 00:00:00,1108,1148,2022-04-29 00:00:00,2022-06-27 00:00:00,short,323.0,292.63214285714287,353.2785714285714,292.63214285714287,1.002948808681293,30.367857142857133,SL,price_time,3.3999999999999773,6.5,11.649999999999977,17.69999999999999,22.0,28.75
16,1173,2022-08-01 00:00:00,1174,1206,2022-08-02 00:00:00,2022-09-20 00:00:00,long,282.5,283.37142857142857,261.04285714285714,283.37142857142857,0.04061251664447381,0.8714285714285666,SL,price_date,5.649999999999977,4.149999999999977,16.25,17.05000000000001,16.850000000000023,22.75
17,1221,2022-10-12 00:00:00,1222,1241,2022-10-13 00:00:00,2022-11-11 00:00:00,long,265.05,253.75714285714284,248.5,253.75714285714284,-0.6823478636167472,-11.292857142857173,SL,price_date,6.350000000000023,6.699999999999989,7.0,6.649999999999977,4.300000000000011,0.14999999999997726
18,1256,2022-12-02 00:00:00,1257,1297,2022-12-05 00:00:00,2023-01-31 00:00:00,short,270.5,248.0857142857143,282.47142857142853,248.0857142857143,1.8723150357995284,22.41428571428571,SL,price_date,2.1999999999999886,2.9499999999999886,5.050000000000011,1.6499999999999773,0.5,0.19999999999998863
19,1336,2023-03-28 00:00:00,1337,1398,2023-03-29 00:00:00,2023-06-30 00:00:00,long,201.1,263.8178571428571,186.07857142857145,263.8178571428571,4.1752258678079,62.71785714285713,SL,price_time,3.0500000000000114,3.0500000000000114,8.950000000000017,14.700000000000017,18.30000000000001,18.200000000000017
20,1471,2023-10-16 00:00:00,1472,1485,2023-10-17 00:00:00,2023-11-06 00:00:00,short,386.25,403.07499999999993,425.14285714285717,403.07499999999993,-0.43259871441689424,-16.824999999999932,SL,price_date,4.300000000000011,3.6000000000000227,14.100000000000023,20.649999999999977,17.0,28.100000000000023
21,1501,2023-11-29 00:00:00,1502,1574,2023-11-30 00:00:00,2024-03-13 00:00:00,long,411.0,477.97142857142865,381.2,477.97142857142865,2.247363374880155,66.97142857142865,SL,price_date,8.099999999999966,7.149999999999977,18.149999999999977,30.44999999999999,33.5,40.64999999999998
22,1582,2024-03-26 00:00:00,1583,1628,2024-03-27 00:00:00,2024-06-04 00:00:00,long,460.0,568.3607142857143,393.81428571428575,568.3607142857143,1.637222102309519,108.36071428571427,SL,price_date,9.850000000000023,4.850000000000023,11.149999999999977,26.600000000000023,25.94999999999999,44.69999999999999
23,1707,2024-09-26 00:00:00,1708,1719,2024-09-27 00:00:00,2024-10-15 00:00:00,short,674.25,709.9392857142857,729.5571428571429,709.9392857142857,-0.6452925222781853,-35.68928571428569,SL,price_time,16.450000000000045,16.450000000000045,22.700000000000045,-11.0,15.200000000000045,15.0
24,1844,2025-04-17 00:00:00,1845,1882,2025-04-21 00:00:00,2025-06-12 00:00:00,long,598.0,734.3535714285715,520.0928571428572,734.3535714285715,1.7502062895388297,136.3535714285715,SL,price_time,36.799999999999955,35.64999999999998,63.950000000000045,72.60000000000002,72.89999999999998,42.200000000000045
