trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,556,2014-07-10 00:00:00,557,594,2014-07-11 00:00:00,2014-09-05 00:00:00,short,18.75,21.665,22.73142857142857,21.665,-0.7321492644420525,-2.914999999999999,SL,price_time,0.9499999999999993,1.1600000000000001,0.7899999999999991,-0.07000000000000028,-0.7199999999999989,-1.5399999999999991
2,610,2014-09-29 00:00:00,611,629,2014-09-30 00:00:00,2014-10-31 00:00:00,short,31.51,36.03,37.214285714285715,36.03,-0.7923866766841974,-4.52,SL,price_time,0.9499999999999993,0.9100000000000001,1.8399999999999999,3.2200000000000024,2.460000000000001,1.0200000000000031
3,644,2014-11-25 00:00:00,645,659,2014-11-26 00:00:00,2014-12-16 00:00:00,long,32.45,33.918571428571425,28.2,33.918571428571425,0.34554621848739325,1.4685714285714226,SL,price_time,2.289999999999999,2.509999999999998,2.969999999999999,2.6599999999999966,1.8399999999999963,3.1199999999999974
4,755,2015-05-11 00:00:00,756,784,2015-05-12 00:00:00,2015-06-19 00:00:00,short,34.57,35.23214285714286,39.2,35.23214285714286,-0.1430114162295595,-0.6621428571428609,SL,price_time,1.0500000000000043,1.1300000000000026,0.4399999999999977,0.36999999999999744,0.20000000000000284,-0.46000000000000085
5,809,2015-07-24 00:00:00,810,817,2015-07-27 00:00:00,2015-08-05 00:00:00,short,46.18,49.559285714285714,51.53428571428572,49.559285714285714,-0.631136606189967,-3.3792857142857144,SL,price_time,1.5,1.0200000000000031,1.3200000000000003,1.2100000000000009,1.240000000000002,0.4799999999999969
6,834,2015-08-28 00:00:00,835,862,2015-08-31 00:00:00,2015-10-12 00:00:00,short,43.76,45.792857142857144,51.03142857142857,45.792857142857144,-0.27956777996070775,-2.0328571428571465,SL,price_time,0.3200000000000003,0.3200000000000003,1.2299999999999969,0.6699999999999946,-0.3200000000000003,0.7299999999999969
7,998,2016-05-03 09:15:00,999,1044,2016-05-04 09:15:00,2016-07-07 09:15:00,short,44.82,44.17285714285714,48.09571428571428,44.17285714285714,0.1975577845617109,0.6471428571428604,SL,price_time,0.8400000000000034,0.8400000000000034,1.3100000000000023,2.6300000000000026,2.219999999999999,1.5200000000000031
8,1075,2016-08-22 09:15:00,1076,1088,2016-08-23 09:15:00,2016-09-09 09:15:00,short,54.0,57.36642857142857,58.55428571428572,57.36642857142857,-0.7391781681304885,-3.366428571428571,SL,price_time,0.490000000000002,0.5200000000000031,0.6000000000000014,0.6300000000000026,0.6599999999999966,1.3800000000000026
9,1091,2016-09-15 09:15:00,1092,1104,2016-09-16 09:15:00,2016-10-04 09:15:00,short,56.46,59.667142857142856,59.667142857142856,59.667142857142856,-1.0,-3.2071428571428555,SL,price_time,1.029999999999994,1.1199999999999974,0.46000000000000085,0.21000000000000085,0.030000000000001137,0.30000000000000426
10,1116,2016-10-24 09:15:00,1117,1127,2016-10-25 09:15:00,2016-11-09 09:15:00,long,52.67,48.99785714285714,47.84,48.99785714285714,-0.7602780242531801,-3.672142857142859,SL,price_time,1.1199999999999974,1.0799999999999983,0.18999999999999773,0.4899999999999949,0.6499999999999986,0.8299999999999983
