trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,869,2013-03-05 00:00:00,870,920,2013-03-06 00:00:00,2013-05-22 00:00:00,long,19.0,20.11785714285714,15.2,20.11785714285714,0.2941729323308263,1.1178571428571402,SL,price_time,0.8499999999999979,1.8999999999999986,1.75,2.1000000000000014,1.4499999999999993,1.6999999999999993
2,1773,2016-11-10 09:15:00,1774,1783,2016-11-11 09:15:00,2016-11-25 09:15:00,short,26.0,27.00714285714286,28.05,27.00714285714286,-0.4912891986062729,-1.0071428571428598,SL,price_time,1.0999999999999979,0.6499999999999986,1.3999999999999986,1.6499999999999986,0.8000000000000007,-0.25
3,2085,2018-02-12 09:15:00,2086,2115,2018-02-14 09:15:00,2018-03-28 09:15:00,short,29.8,27.90357142857143,31.29285714285714,27.90357142857143,1.2703349282296679,1.8964285714285722,SL,price_time,0.8500000000000014,1.1500000000000021,1.1500000000000021,1.5,1.5,2.4499999999999993
4,2559,2020-01-20 00:00:00,2560,2562,2020-01-21 00:00:00,2020-01-23 00:00:00,short,26.8,27.864285714285717,30.271428571428576,27.864285714285717,-0.3065843621399181,-1.0642857142857167,SL,price_date,1.1999999999999993,0.9499999999999993,0.6500000000000021,-0.3999999999999986,-0.6499999999999986,-0.9499999999999993
5,2595,2020-03-11 00:00:00,2596,2616,2020-03-12 00:00:00,2020-04-15 00:00:00,short,20.05,22.53928571428571,23.44285714285714,22.53928571428571,-0.7336842105263155,-2.4892857142857103,SL,price_time,1.3000000000000007,0.25,-0.5,0.9000000000000021,1.8500000000000014,0.6999999999999993
6,2994,2021-10-19 00:00:00,2995,3027,2021-10-20 00:00:00,2021-12-07 00:00:00,short,34.25,34.15714285714286,39.5,34.15714285714286,0.017687074829931742,0.09285714285714164,SL,price_date,1.75,1.9500000000000028,3.1499999999999986,1.8500000000000014,1.8500000000000014,2.75
7,3087,2022-03-03 00:00:00,3088,3106,2022-03-04 00:00:00,2022-03-31 00:00:00,short,29.3,29.04642857142857,31.485714285714284,29.04642857142857,0.11601307189542558,0.2535714285714299,SL,price_time,1.25,1.25,0.6500000000000021,0.6500000000000021,0.4499999999999993,0.75
8,3244,2022-10-20 00:00:00,3245,3279,2022-10-21 00:00:00,2022-12-12 00:00:00,long,40.0,40.30714285714286,36.31428571428572,40.30714285714286,0.08333333333333333,0.30714285714285694,SL,price_time,1.6000000000000014,1.5,2.950000000000003,5.149999999999999,5.350000000000001,3.700000000000003
9,3437,2023-08-01 00:00:00,3438,3461,2023-08-02 00:00:00,2023-09-05 00:00:00,short,51.9,53.21428571428571,56.221428571428575,53.21428571428571,-0.30413223140495727,-1.3142857142857096,SL,price_time,2.75,2.6999999999999957,2.25,2.4499999999999957,2.3999999999999986,2.6000000000000014
10,3471,2023-09-20 00:00:00,3472,3513,2023-09-21 00:00:00,2023-11-21 00:00:00,short,54.45,53.52857142857143,61.392857142857146,53.52857142857143,0.13271604938271594,0.9214285714285708,SL,price_time,3.1499999999999986,2.1000000000000014,2.4000000000000057,2.200000000000003,2.8500000000000014,2.450000000000003
