trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,24,2016-02-10 09:15:00,25,85,2016-02-11 09:15:00,2016-05-13 09:15:00,short,322.0,309.35,359.48571428571427,309.35,0.337461890243902,12.649999999999977,SL,price_date,26.600000000000023,27.5,35.5,27.25,31.5,31.899999999999977
2,96,2016-05-30 09:15:00,97,127,2016-05-31 09:15:00,2016-07-13 09:15:00,long,311.1,297.37857142857143,280.72142857142853,297.37857142857143,-0.45168116623559806,-13.72142857142859,SL,price_date,8.399999999999977,4.0499999999999545,-0.4000000000000341,1.75,-1.0,1.5
3,193,2016-10-20 09:16:00,194,207,2016-10-21 09:16:00,2016-11-10 09:15:00,short,353.8,371.43571428571425,384.95714285714286,371.43571428571425,-0.5660247592847306,-17.635714285714243,SL,price_time,3.6000000000000227,3.6000000000000227,-2.1499999999999773,-8.199999999999989,-3.0,9.050000000000011
4,223,2016-12-05 09:15:00,224,306,2016-12-06 09:15:00,2017-04-05 09:15:00,short,343.0,327.65,371.0857142857143,327.65,0.5465412004069183,15.350000000000023,SL,price_date,4.849999999999966,7.699999999999989,3.1000000000000227,3.8999999999999773,4.350000000000023,4.449999999999989
5,348,2017-06-06 09:16:00,349,512,2017-06-07 09:15:00,2018-02-01 09:15:00,short,323.3,297.53928571428565,361.8142857142857,297.53928571428565,0.6688612759643942,25.760714285714357,SL,price_date,8.800000000000011,7.550000000000011,0.5,-9.699999999999989,-14.149999999999977,-11.5
6,602,2018-06-14 09:16:00,603,648,2018-06-15 09:15:00,2018-08-20 09:15:00,long,227.0,241.62857142857143,203.90714285714287,241.62857142857143,0.6334673677698738,14.628571428571433,SL,price_time,2.6500000000000057,3.75,5.150000000000006,0.30000000000001137,3.1500000000000057,2.8000000000000114
7,691,2018-10-25 09:19:00,692,712,2018-10-26 09:16:00,2018-11-28 09:22:00,long,218.25,223.10357142857146,190.3357142857143,223.10357142857146,0.17387410440122925,4.853571428571456,SL,price_time,3.0999999999999943,2.0,4.099999999999994,6.0,9.099999999999994,21.75
8,738,2019-01-04 00:00:00,739,749,2019-01-07 00:00:00,2019-01-21 00:00:00,long,188.0,189.02857142857144,176.3857142857143,189.02857142857144,0.08856088560885711,1.0285714285714391,SL,price_time,9.0,8.300000000000011,12.150000000000006,21.0,18.150000000000006,15.650000000000006
9,781,2019-03-07 00:00:00,782,833,2019-03-08 00:00:00,2019-05-27 00:00:00,short,225.1,204.89642857142857,248.75714285714284,204.89642857142857,0.8540157004830919,20.203571428571422,SL,price_date,3.799999999999983,6.049999999999983,2.6500000000000057,4.099999999999994,3.4000000000000057,1.4000000000000057
10,844,2019-06-12 00:00:00,845,871,2019-06-13 00:00:00,2019-07-19 00:00:00,long,215.1,220.9,200.10714285714286,220.9,0.38685088137208296,5.800000000000011,SL,price_time,9.099999999999994,16.400000000000006,11.349999999999994,11.200000000000017,14.0,12.0
