trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,27,2017-12-20 09:15:00,28,83,2017-12-21 09:15:00,2018-03-14 09:15:00,long,309.05,330.57499999999993,282.6242857142857,330.57499999999993,0.8145475186506609,21.52499999999992,SL,price_date,1.2299999999999613,-0.27000000000003865,-1.8000000000000114,-2.670000000000016,-8.870000000000005,-9.199999999999989
2,94,2018-04-02 09:15:00,95,111,2018-04-03 09:16:00,2018-04-25 09:15:00,short,347.55,350.725,377.3342857142857,350.725,-0.10659983692263456,-3.1750000000000114,SL,price_date,7.279999999999973,2.6999999999999886,8.25,9.100000000000023,8.199999999999989,11.400000000000034
3,135,2018-05-30 09:15:00,136,172,2018-05-31 09:15:00,2018-07-20 09:15:00,short,360.0,296.8642857142857,405.5642857142857,296.8642857142857,1.385640382505096,63.1357142857143,SL,price_date,20.420000000000016,18.819999999999993,22.30000000000001,22.399999999999977,38.97000000000003,39.89999999999998
4,244,2018-11-09 09:15:00,245,249,2018-11-12 09:15:00,2018-11-16 09:15:00,long,227.65,210.44642857142858,209.52857142857144,210.44642857142858,-0.9493496255419787,-17.203571428571422,SL,price_time,4.050000000000011,2.6500000000000057,-4.5,-6.849999999999994,-6.950000000000017,-17.700000000000017
5,277,2018-12-28 00:00:00,278,298,2018-12-31 00:00:00,2019-01-28 00:00:00,long,179.1,172.39285714285717,166.31428571428572,172.39285714285717,-0.5245810055865902,-6.707142857142827,SL,price_time,1.75,0.6500000000000057,0.6500000000000057,5.700000000000017,1.25,0.75
6,319,2019-02-26 00:00:00,320,335,2019-02-27 00:00:00,2019-03-22 00:00:00,long,171.9,183.80357142857144,158.37857142857143,183.80357142857144,0.8803486529318549,11.90357142857144,SL,price_date,3.299999999999983,3.549999999999983,0.5999999999999943,5.849999999999994,12.699999999999989,33.599999999999994
7,424,2019-08-01 00:00:00,425,437,2019-08-02 00:00:00,2019-08-22 00:00:00,long,111.6,104.32142857142857,101.87857142857143,104.32142857142857,-0.7487141807494494,-7.278571428571425,SL,price_time,8.75,8.75,9.800000000000011,10.100000000000009,9.5,7.650000000000006
8,445,2019-09-04 00:00:00,446,469,2019-09-05 00:00:00,2019-10-11 00:00:00,long,105.0,96.96071428571429,95.52857142857142,96.96071428571429,-0.8487933634992452,-8.039285714285711,SL,price_time,3.0,2.549999999999997,4.400000000000006,3.5,4.549999999999997,2.799999999999997
9,504,2019-12-03 00:00:00,505,527,2019-12-04 00:00:00,2020-01-06 00:00:00,short,147.65,149.23214285714283,167.3357142857143,149.23214285714283,-0.08037010159651517,-1.582142857142827,SL,price_time,2.3000000000000114,1.8000000000000114,3.5500000000000114,6.099999999999994,15.650000000000006,8.050000000000011
10,542,2020-01-27 00:00:00,543,585,2020-01-28 00:00:00,2020-03-27 00:00:00,short,165.5,106.43928571428572,184.03571428571428,106.43928571428572,3.1863198458574193,59.06071428571428,SL,price_date,3.3499999999999943,4.349999999999994,4.949999999999989,10.300000000000011,10.0,21.44999999999999
