trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,6,2007-01-10 00:00:00,7,24,2007-01-11 00:00:00,2007-02-07 00:00:00,short,25.8,26.765384615384615,29.714285714285715,26.765384615384615,-0.246631106120157,-0.9653846153846146,SL,price_time,0.6499999999999986,1.8000000000000007,3.0,3.3500000000000014,3.0500000000000007,3.3000000000000007
2,29,2007-02-14 00:00:00,30,42,2007-02-15 00:00:00,2007-03-06 00:00:00,long,21.85,18.414285714285715,18.414285714285715,18.414285714285715,-1.0,-3.435714285714287,SL,price_time,1.0999999999999979,1.0999999999999979,0.7999999999999972,-0.25,0.5,-0.5500000000000007
3,59,2007-03-30 00:00:00,60,123,2007-04-02 00:00:00,2007-07-03 00:00:00,short,25.2,23.389285714285716,29.164285714285715,23.389285714285716,0.45675675675675603,1.8107142857142833,SL,price_time,1.3000000000000007,0.5500000000000007,-0.15000000000000213,-1.4499999999999993,-2.5,-1.9499999999999993
4,137,2007-07-23 00:00:00,138,164,2007-07-24 00:00:00,2007-08-30 00:00:00,short,43.75,35.917857142857144,51.75,35.917857142857144,0.9790178571428569,7.8321428571428555,SL,price_date,2.8999999999999986,4.25,3.1000000000000014,2.0,4.049999999999997,6.0
5,188,2007-10-04 00:00:00,189,199,2007-10-05 00:00:00,2007-10-19 00:00:00,long,37.25,31.464285714285715,31.464285714285715,31.464285714285715,-1.0,-5.785714285714285,SL,price_time,1.75,1.8500000000000014,-0.10000000000000142,-0.8500000000000014,0.7999999999999972,1.6499999999999986
6,214,2007-11-09 00:00:00,215,233,2007-11-12 00:00:00,2007-12-06 00:00:00,short,45.0,43.853571428571435,48.49285714285715,43.853571428571435,0.3282208588957033,1.1464285714285651,SL,price_time,2.1000000000000014,3.1499999999999986,3.6000000000000014,3.6000000000000014,5.649999999999999,5.700000000000003
7,255,2008-01-09 00:00:00,256,262,2008-01-10 00:00:00,2008-01-18 00:00:00,short,64.5,65.68571428571428,74.11428571428571,65.68571428571428,-0.12332838038632962,-1.1857142857142833,SL,price_time,3.1500000000000057,4.200000000000003,7.200000000000003,10.0,7.25,4.450000000000003
8,290,2008-02-27 00:00:00,291,328,2008-02-28 00:00:00,2008-04-28 00:00:00,short,61.3,45.989285714285714,64.07142857142857,45.989285714285714,5.524484536082472,15.310714285714283,SL,price_time,2.700000000000003,5.399999999999999,8.199999999999996,10.849999999999994,13.299999999999997,11.75
9,351,2008-06-02 00:00:00,352,362,2008-06-03 00:00:00,2008-06-17 00:00:00,short,66.7,64.54642857142856,84.97142857142858,64.54642857142856,0.1178655199374517,2.153571428571439,SL,price_date,3.5,-0.0,3.3000000000000043,6.450000000000003,8.75,11.650000000000006
10,376,2008-07-07 00:00:00,377,394,2008-07-08 00:00:00,2008-07-31 00:00:00,long,40.6,39.84285714285714,32.15714285714286,39.84285714285714,-0.08967851099830826,-0.7571428571428598,SL,price_date,2.1499999999999986,4.049999999999997,6.299999999999997,8.649999999999999,7.449999999999996,7.699999999999996
11,427,2008-09-18 00:00:00,428,441,2008-09-19 00:00:00,2008-10-10 00:00:00,long,26.0,20.84285714285714,18.24285714285714,20.84285714285714,-0.6648250460405156,-5.157142857142858,SL,price_time,1.3000000000000007,0.8500000000000014,2.1999999999999993,3.6499999999999986,3.3999999999999986,2.5
12,584,2009-05-25 00:00:00,585,594,2009-05-26 00:00:00,2009-06-08 00:00:00,short,21.85,24.35,26.45,24.35,-0.5434782608695655,-2.5,SL,price_time,2.1999999999999993,2.0,1.9000000000000021,1.9000000000000021,1.6500000000000021,0.20000000000000284
