trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,178,2005-01-11 00:00:00,179,229,2005-01-12 00:00:00,2005-03-28 00:00:00,short,15.4,14.549999999999999,20.4,14.549999999999999,0.17000000000000035,0.8500000000000014,SL,price_date,1.700000000000001,2.0500000000000007,0.6500000000000004,0.9500000000000011,2.450000000000001,2.25
2,313,2005-07-25 00:00:00,314,338,2005-07-26 00:00:00,2005-08-31 00:00:00,short,16.05,20.885714285714286,23.257142857142856,20.885714285714286,-0.6709613478691775,-4.835714285714285,SL,price_time,0.9499999999999993,-2.5,-2.0,-1.6499999999999986,-1.3000000000000007,-1.9499999999999993
3,499,2006-05-02 00:00:00,500,562,2006-05-03 00:00:00,2006-07-28 00:00:00,short,23.0,17.075,27.285714285714285,17.075,1.3825000000000005,5.925000000000001,SL,price_time,0.45000000000000284,0.6000000000000014,0.3999999999999986,0.5,-0.4499999999999993,-0.8500000000000014
4,610,2006-10-06 00:00:00,611,670,2006-10-09 00:00:00,2007-01-04 00:00:00,short,22.0,19.299999999999997,27.97142857142857,19.299999999999997,0.45215311004784736,2.700000000000003,SL,price_time,0.3000000000000007,0.1999999999999993,-0.25,-0.3500000000000014,-0.4499999999999993,-0.3000000000000007
5,684,2007-01-24 00:00:00,685,732,2007-01-25 00:00:00,2007-04-09 00:00:00,short,21.05,15.660714285714285,23.35,15.660714285714285,2.343167701863354,5.389285714285716,SL,price_time,0.8999999999999986,1.0500000000000007,1.5,1.9499999999999993,2.5,2.6999999999999993
6,817,2007-08-08 00:00:00,818,841,2007-08-09 00:00:00,2007-09-12 00:00:00,short,25.65,27.21785714285714,28.65,27.21785714285714,-0.5226190476190476,-1.567857142857143,SL,price_time,0.6999999999999993,1.2999999999999972,1.25,1.0,0.5,1.3999999999999986
7,888,2007-11-19 00:00:00,889,919,2007-11-20 00:00:00,2008-01-03 00:00:00,short,48.35,52.19285714285715,57.48571428571429,52.19285714285715,-0.42064112587959407,-3.8428571428571487,SL,price_time,1.7999999999999972,1.6499999999999986,6.050000000000004,9.100000000000001,7.100000000000001,5.550000000000004
8,948,2008-02-13 00:00:00,949,965,2008-02-14 00:00:00,2008-03-10 00:00:00,long,27.5,24.921428571428574,20.464285714285715,24.921428571428574,-0.3664974619289336,-2.5785714285714256,SL,price_time,3.4499999999999993,2.5,3.1999999999999993,3.6000000000000014,3.0500000000000007,2.5
9,969,2008-03-14 00:00:00,970,987,2008-03-17 00:00:00,2008-04-11 00:00:00,short,25.85,31.59642857142857,33.035714285714285,31.59642857142857,-0.7997017892644136,-5.74642857142857,SL,price_time,2.299999999999997,-0.0,-0.5499999999999972,0.8500000000000014,1.8500000000000014,0.10000000000000142
10,1093,2008-09-16 00:00:00,1094,1106,2008-09-17 00:00:00,2008-10-06 00:00:00,long,20.25,17.514285714285712,15.242857142857144,17.514285714285712,-0.546362339514979,-2.7357142857142875,SL,price_time,0.75,0.5,1.3999999999999986,1.25,0.5,-0.3500000000000014
11,1111,2008-10-14 00:00:00,1112,1150,2008-10-15 00:00:00,2008-12-12 00:00:00,short,13.95,11.096428571428572,19.192857142857143,11.096428571428572,0.5442779291553131,2.8535714285714278,SL,price_time,1.0999999999999996,0.6499999999999986,0.4499999999999993,1.6999999999999993,1.4499999999999993,-0.10000000000000142
12,1273,2009-06-19 00:00:00,1274,1289,2009-06-22 00:00:00,2009-07-13 00:00:00,long,27.0,22.525,19.707142857142856,22.525,-0.6136141038197845,-4.475000000000001,SL,price_time,2.5,2.3500000000000014,3.0,3.4499999999999993,1.75,2.8000000000000007
13,1421,2010-01-27 00:00:00,1422,1464,2010-01-28 00:00:00,2010-04-01 00:00:00,long,30.6,29.746428571428574,26.428571428571427,29.746428571428574,-0.20462328767123253,-0.8535714285714278,SL,price_time,1.6999999999999993,1.0999999999999979,1.75,1.4499999999999957,0.8999999999999986,1.5499999999999972
14,1482,2010-04-29 00:00:00,1483,1547,2010-04-30 00:00:00,2010-07-29 00:00:00,long,32.95,36.057142857142864,29.271428571428572,36.057142857142864,0.8446601941747579,3.107142857142861,SL,price_time,1.75,1.0499999999999972,1.9499999999999957,0.7999999999999972,1.0499999999999972,0.6499999999999986
15,1565,2010-08-24 00:00:00,1566,1596,2010-08-25 00:00:00,2010-10-07 00:00:00,short,50.5,51.20714285714286,56.02142857142857,51.20714285714286,-0.1280724450194059,-0.7071428571428626,SL,price_date,1.2000000000000028,1.3500000000000014,2.6000000000000014,3.049999999999997,2.700000000000003,3.299999999999997
16,1602,2010-10-15 00:00:00,1603,1612,2010-10-18 00:00:00,2010-10-29 00:00:00,long,50.5,48.74642857142857,45.87857142857142,48.74642857142857,-0.3794435857805258,-1.7535714285714334,SL,price_time,4.75,4.850000000000001,2.25,3.8999999999999986,6.700000000000003,6.049999999999997
17,1620,2010-11-10 00:00:00,1621,1643,2010-11-11 00:00:00,2010-12-14 00:00:00,short,55.4,57.175000000000004,62.41428571428571,57.175000000000004,-0.2530549898167015,-1.7750000000000057,SL,price_time,1.8500000000000014,2.1499999999999986,3.549999999999997,2.1000000000000014,4.5,4.5
18,1668,2011-01-19 00:00:00,1669,1718,2011-01-20 00:00:00,2011-04-01 00:00:00,short,59.0,55.225,65.65,55.225,0.5676691729323301,3.7749999999999986,SL,price_time,1.5,1.2999999999999972,1.7000000000000028,1.9500000000000028,1.6000000000000014,1.7000000000000028
19,1729,2011-04-20 00:00:00,1730,1794,2011-04-21 00:00:00,2011-07-21 00:00:00,long,58.35,68.30357142857142,53.15714285714285,68.30357142857142,1.916781292984864,9.953571428571415,SL,price_time,2.8999999999999986,2.8999999999999986,3.799999999999997,3.1000000000000014,1.4499999999999957,0.14999999999999858
20,1797,2011-07-26 00:00:00,1798,1837,2011-07-27 00:00:00,2011-09-23 00:00:00,long,79.05,73.28214285714284,69.87142857142857,73.28214285714284,-0.6284046692607014,-5.767857142857153,SL,price_time,2.1500000000000057,2.1000000000000085,3.950000000000003,-0.14999999999999147,0.4000000000000057,-0.20000000000000284
21,1849,2011-10-12 00:00:00,1850,1920,2011-10-13 00:00:00,2012-01-27 00:00:00,short,73.4,77.0,81.50714285714287,77.0,-0.44405286343612244,-3.5999999999999943,SL,price_time,1.8500000000000085,2.3500000000000085,2.4000000000000057,-1.5499999999999972,-0.3499999999999943,-2.3499999999999943
22,1929,2012-02-09 00:00:00,1930,1964,2012-02-10 00:00:00,2012-04-02 00:00:00,short,78.8,78.9,84.39285714285714,78.9,-0.017879948914433202,-0.10000000000000853,SL,price_time,2.200000000000003,2.3499999999999943,2.950000000000003,2.700000000000003,1.8499999999999943,2.200000000000003
23,1985,2012-05-04 00:00:00,1986,2119,2012-05-07 00:00:00,2012-11-16 00:00:00,long,58.75,72.16071428571428,49.878571428571426,72.16071428571428,1.511674718196456,13.410714285714278,SL,price_time,1.3000000000000043,1.9500000000000028,5.100000000000001,3.0,3.700000000000003,3.75
24,2133,2012-12-07 00:00:00,2134,2156,2012-12-10 00:00:00,2013-01-10 00:00:00,short,74.55,76.83928571428571,78.67142857142858,76.83928571428571,-0.5554592720970517,-2.289285714285711,SL,price_time,0.45000000000000284,0.5999999999999943,1.0,-0.25,0.7000000000000028,1.3999999999999915
25,2185,2013-02-20 00:00:00,2186,2237,2013-02-21 00:00:00,2013-05-10 00:00:00,short,70.5,65.90357142857144,75.26428571428572,65.90357142857144,0.9647676161919008,4.596428571428561,SL,price_time,2.5,2.450000000000003,3.450000000000003,4.0,6.700000000000003,5.349999999999994
26,2264,2013-06-18 00:00:00,2265,2280,2013-06-19 00:00:00,2013-07-10 00:00:00,short,59.25,57.75714285714287,62.85714285714286,57.75714285714287,0.4138613861386107,1.4928571428571331,SL,price_time,1.25,1.4500000000000028,3.5,4.600000000000001,7.149999999999999,5.950000000000003
27,2314,2013-08-29 00:00:00,2315,2385,2013-08-30 00:00:00,2013-12-13 00:00:00,long,52.5,55.349999999999994,45.24285714285714,55.349999999999994,0.39271653543306995,2.8499999999999943,SL,price_time,1.1500000000000057,1.2000000000000028,2.200000000000003,1.0,0.5,-0.7000000000000028
28,2494,2014-05-27 00:00:00,2495,2516,2014-05-28 00:00:00,2014-06-26 00:00:00,long,67.0,74.8142857142857,58.89285714285714,74.8142857142857,0.9638766519823769,7.8142857142857025,SL,price_date,2.25,2.6500000000000057,-0.20000000000000284,3.700000000000003,4.650000000000006,4.900000000000006
29,2524,2014-07-08 00:00:00,2525,2560,2014-07-09 00:00:00,2014-09-01 00:00:00,short,84.0,87.04642857142856,95.00714285714287,87.04642857142856,-0.2767683322517836,-3.0464285714285637,SL,price_time,5.0,4.849999999999994,2.450000000000003,4.099999999999994,5.299999999999997,3.299999999999997
30,2570,2014-09-15 00:00:00,2571,2599,2014-09-16 00:00:00,2014-10-31 00:00:00,short,92.05,93.66071428571428,103.59285714285714,93.66071428571428,-0.1395420792079203,-1.6107142857142804,SL,price_time,2.75,2.75,3.450000000000003,1.6499999999999915,0.14999999999999147,-1.7000000000000028
31,2621,2014-12-04 00:00:00,2622,2633,2014-12-05 00:00:00,2014-12-22 00:00:00,short,95.3,95.40357142857144,101.47857142857143,95.40357142857144,-0.016763005780348984,-0.10357142857144197,SL,price_time,2.1500000000000057,2.25,5.049999999999997,7.25,5.099999999999994,6.349999999999994
32,2662,2015-02-03 00:00:00,2663,2688,2015-02-04 00:00:00,2015-03-13 00:00:00,long,84.65,79.625,77.42142857142856,79.625,-0.6951581027667979,-5.025000000000006,SL,price_time,2.1500000000000057,1.2999999999999972,0.44999999999998863,0.44999999999998863,-0.6500000000000057,0.14999999999999147
33,2697,2015-03-26 00:00:00,2698,2708,2015-03-27 00:00:00,2015-04-15 00:00:00,short,81.75,87.45714285714286,87.86428571428571,87.45714285714286,-0.9334112149532708,-5.7071428571428555,SL,price_time,2.1000000000000085,1.9500000000000028,0.6500000000000057,2.950000000000003,0.7999999999999972,-0.3499999999999943
34,2794,2015-08-14 00:00:00,2795,2835,2015-08-17 00:00:00,2015-10-15 00:00:00,short,86.8,87.54285714285714,95.15714285714286,87.54285714285714,-0.08888888888888938,-0.7428571428571473,SL,price_time,2.1000000000000085,1.2000000000000028,0.3999999999999915,1.0999999999999943,4.200000000000003,3.8999999999999915
35,2869,2015-12-07 00:00:00,2870,2886,2015-12-08 00:00:00,2015-12-31 00:00:00,short,115.1,120.25714285714285,124.90714285714286,120.25714285714285,-0.5258557902403493,-5.157142857142858,SL,price_time,2.0999999999999943,1.6999999999999886,0.8499999999999943,0.14999999999999147,0.5999999999999943,0.7999999999999972
36,2894,2016-01-11 09:15:00,2895,2943,2016-01-12 09:15:00,2016-03-22 09:15:00,short,125.5,124.11785714285715,133.77142857142857,124.11785714285715,0.16709844559585438,1.3821428571428527,SL,price_date,2.3500000000000085,3.9000000000000057,2.5999999999999943,4.200000000000003,6.25,8.200000000000003
37,2983,2016-05-24 09:15:00,2984,3059,2016-05-25 09:15:00,2016-09-12 09:15:00,long,121.15,156.12142857142857,113.11428571428573,156.12142857142857,4.352000000000003,34.97142857142856,SL,price_time,6.800000000000011,5.75,6.699999999999989,8.449999999999989,11.099999999999994,8.650000000000006
38,3086,2016-10-24 09:15:00,3087,3112,2016-10-25 09:15:00,2016-12-01 09:15:00,short,186.55,190.49285714285713,203.07857142857142,190.49285714285713,-0.2385479688850465,-3.9428571428571217,SL,price_date,2.6500000000000057,2.700000000000017,1.950000000000017,3.200000000000017,-0.8499999999999943,2.1500000000000057
39,3130,2016-12-27 09:15:00,3131,3180,2016-12-28 09:15:00,2017-03-09 09:15:00,long,172.95,182.20714285714288,155.48571428571427,182.20714285714288,0.5300613496932535,9.257142857142895,SL,price_date,3.950000000000017,2.950000000000017,2.9000000000000057,3.8000000000000114,5.5,10.450000000000017
40,3209,2017-04-24 09:15:00,3210,3280,2017-04-25 09:15:00,2017-08-03 09:15:00,short,209.8,208.72857142857143,226.20714285714286,208.72857142857143,0.0653025685676978,1.0714285714285836,SL,price_time,2.700000000000017,2.700000000000017,1.5500000000000114,1.700000000000017,4.900000000000006,4.0
41,3327,2017-10-12 09:15:00,3328,3332,2017-10-13 09:15:00,2017-10-23 09:15:00,short,248.85,266.8392857142857,268.93571428571425,266.8392857142857,-0.8956258890469435,-17.989285714285728,SL,price_time,2.299999999999983,5.049999999999983,4.949999999999989,-5.25,-11.400000000000006,-17.299999999999983
42,3345,2017-11-09 09:15:00,3346,3401,2017-11-10 09:15:00,2018-01-30 09:15:00,short,261.0,245.29999999999998,287.6428571428571,245.29999999999998,0.5892761394101891,15.700000000000017,SL,price_time,4.849999999999966,4.899999999999977,2.6499999999999773,9.599999999999994,17.05000000000001,15.849999999999994
43,3421,2018-02-28 09:15:00,3422,3453,2018-03-01 09:15:00,2018-04-18 09:15:00,short,238.5,237.99285714285716,257.8928571428571,237.99285714285716,0.026151012891343462,0.5071428571428385,SL,price_date,6.5,4.699999999999989,10.0,11.550000000000011,10.099999999999994,10.099999999999994
44,3500,2018-06-25 09:15:00,3501,3560,2018-06-26 09:15:00,2018-09-21 09:15:00,long,198.6,221.75357142857143,186.9,221.75357142857143,1.9789377289377317,23.15357142857144,SL,price_time,6.100000000000023,6.700000000000017,1.1500000000000057,0.9000000000000057,13.599999999999994,10.849999999999994
45,3573,2018-10-11 09:15:00,3574,3612,2018-10-12 09:15:00,2018-12-11 00:00:00,long,206.45,197.05714285714288,180.01428571428573,197.05714285714288,-0.35530937584436556,-9.39285714285711,SL,price_date,5.800000000000011,4.450000000000017,1.950000000000017,10.650000000000006,3.450000000000017,-0.14999999999997726
46,3628,2019-01-03 00:00:00,3629,3671,2019-01-04 00:00:00,2019-03-06 00:00:00,short,221.95,223.91071428571428,234.84285714285716,223.91071428571428,-0.15207756232686978,-1.960714285714289,SL,price_time,7.900000000000006,8.049999999999983,11.899999999999977,8.899999999999977,14.549999999999983,14.899999999999977
47,3685,2019-03-27 00:00:00,3686,3715,2019-03-28 00:00:00,2019-05-14 00:00:00,long,228.05,223.05714285714288,213.85,223.05714285714288,-0.351609657947685,-4.992857142857133,SL,price_date,8.399999999999977,9.399999999999977,16.5,12.449999999999989,13.349999999999994,8.849999999999994
48,3730,2019-06-04 00:00:00,3731,3746,2019-06-06 00:00:00,2019-06-27 00:00:00,short,236.75,240.08571428571426,256.87142857142857,240.08571428571426,-0.1657791977280783,-3.3357142857142605,SL,price_time,10.0,7.0,5.699999999999989,5.25,-0.15000000000000568,4.400000000000006
49,3766,2019-07-25 00:00:00,3767,3803,2019-07-26 00:00:00,2019-09-20 00:00:00,long,225.0,242.51071428571427,212.1642857142857,242.51071428571427,1.3642181413466874,17.510714285714272,SL,price_time,5.599999999999994,5.900000000000006,4.099999999999994,1.1999999999999886,4.449999999999989,3.6999999999999886
