trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,2,2007-02-27 00:00:00,3,31,2007-02-28 00:00:00,2007-04-11 00:00:00,short,44.8,44.81428571428572,56.53333333333333,44.81428571428572,-0.0012175324675329172,-0.014285714285719564,SL,price_time,2.5500000000000043,0.3999999999999986,0.5999999999999943,1.1999999999999957,4.0,2.75
2,37,2007-04-19 00:00:00,38,106,2007-04-20 00:00:00,2007-07-27 00:00:00,long,44.75,68.5,40.15,68.5,5.163043478260868,23.75,SL,price_time,2.3500000000000014,1.6000000000000014,2.25,4.649999999999999,6.450000000000003,5.850000000000001
3,112,2007-08-06 00:00:00,113,155,2007-08-07 00:00:00,2007-10-08 00:00:00,long,71.5,76.58571428571427,59.95714285714285,76.58571428571427,0.4405940594059393,5.085714285714275,SL,price_time,0.6999999999999886,-0.9000000000000057,3.950000000000003,0.29999999999999716,-1.0999999999999943,1.4500000000000028
4,165,2007-10-22 00:00:00,166,188,2007-10-23 00:00:00,2007-11-22 00:00:00,long,79.55,91.56428571428572,58.60714285714286,91.56428571428572,0.5736698499317876,12.01428571428572,SL,price_time,8.100000000000009,5.3500000000000085,6.150000000000006,8.850000000000009,13.75,14.350000000000009
5,245,2008-02-13 00:00:00,246,261,2008-02-14 00:00:00,2008-03-07 00:00:00,long,62.35,59.25,46.81428571428571,59.25,-0.19954022988505749,-3.1000000000000014,SL,price_time,13.450000000000003,11.399999999999999,11.399999999999999,12.800000000000004,15.300000000000004,14.899999999999999
6,298,2008-05-06 00:00:00,299,343,2008-05-07 00:00:00,2008-07-09 00:00:00,short,71.7,48.56071428571428,83.57142857142858,48.56071428571428,1.9491576413959075,23.13928571428572,SL,price_time,1.2000000000000028,1.9000000000000057,2.299999999999997,6.200000000000003,8.550000000000004,10.600000000000001
7,380,2008-09-01 00:00:00,381,389,2008-09-02 00:00:00,2008-09-15 00:00:00,long,53.1,49.275000000000006,47.135714285714286,49.275000000000006,-0.6413173652694603,-3.8249999999999957,SL,price_time,3.3499999999999943,2.9499999999999957,2.6999999999999957,1.5499999999999972,2.8500000000000014,2.0
8,394,2008-09-22 00:00:00,395,445,2008-09-23 00:00:00,2008-12-10 00:00:00,short,51.1,47.63928571428572,59.371428571428574,47.63928571428572,0.4183937823834192,3.460714285714282,SL,price_date,1.8999999999999986,1.2000000000000028,0.25,1.3000000000000043,2.3000000000000043,0.8000000000000043
9,463,2009-01-06 00:00:00,464,520,2009-01-07 00:00:00,2009-04-02 00:00:00,short,56.05,58.50714285714285,62.97142857142857,58.50714285714285,-0.3550051599587201,-2.4571428571428555,SL,price_time,1.8500000000000014,1.5499999999999972,1.2999999999999972,3.3499999999999943,3.8499999999999943,3.4499999999999957
10,549,2009-05-21 00:00:00,550,588,2009-05-22 00:00:00,2009-07-15 00:00:00,short,81.2,89.53571428571429,99.40714285714286,89.53571428571429,-0.4578265986661438,-8.335714285714289,SL,price_time,1.1500000000000057,1.1000000000000085,-0.75,6.0,4.150000000000006,2.299999999999997
11,602,2009-08-04 00:00:00,603,618,2009-08-05 00:00:00,2009-08-26 00:00:00,short,92.4,95.16071428571428,101.72142857142856,95.16071428571428,-0.29616858237547794,-2.760714285714272,SL,price_time,2.3499999999999943,1.9500000000000028,4.0,6.650000000000006,8.150000000000006,5.75
12,634,2009-09-17 00:00:00,635,671,2009-09-18 00:00:00,2009-11-17 00:00:00,short,93.55,95.49642857142857,101.92142857142858,95.49642857142857,-0.23250853242320768,-1.9464285714285694,SL,price_time,1.0499999999999972,2.3999999999999915,1.0,2.700000000000003,1.0499999999999972,1.3999999999999915
13,677,2009-11-25 00:00:00,678,707,2009-11-26 00:00:00,2010-01-11 00:00:00,short,104.0,107.14999999999999,111.75,107.14999999999999,-0.4064516129032247,-3.1499999999999915,SL,price_time,1.2000000000000028,2.799999999999997,5.900000000000006,3.549999999999997,3.3499999999999943,2.200000000000003
14,736,2010-02-23 00:00:00,737,769,2010-02-24 00:00:00,2010-04-15 00:00:00,long,92.75,100.96785714285714,84.30714285714285,100.96785714285714,0.9733502538071056,8.217857142857142,SL,price_time,4.049999999999997,4.099999999999994,7.200000000000003,7.349999999999994,5.75,10.849999999999994
15,771,2010-04-19 00:00:00,772,919,2010-04-20 00:00:00,2010-11-12 00:00:00,long,102.4,139.78214285714284,95.0142857142857,139.78214285714284,5.061411992263044,37.38214285714284,SL,price_date,3.8499999999999943,3.6999999999999886,4.5,5.799999999999997,7.199999999999989,10.5
16,938,2010-12-10 00:00:00,939,960,2010-12-13 00:00:00,2011-01-12 00:00:00,long,123.45,113.11428571428571,101.83571428571429,113.11428571428571,-0.47818902842035704,-10.335714285714289,SL,price_time,4.700000000000003,3.200000000000003,8.249999999999986,3.5,4.749999999999986,8.649999999999991
17,968,2011-01-24 00:00:00,969,995,2011-01-25 00:00:00,2011-03-04 00:00:00,short,114.9,110.5,123.83571428571429,110.5,0.4924060751398889,4.400000000000006,SL,price_time,4.25,4.650000000000006,8.800000000000011,13.100000000000009,16.80000000000001,16.5
18,1007,2011-03-22 00:00:00,1008,1027,2011-03-23 00:00:00,2011-04-21 00:00:00,long,88.2,93.74642857142857,79.25,93.74642857142857,0.6197126895450907,5.546428571428564,SL,price_date,2.950000000000003,3.0999999999999943,5.25,9.75,11.25,9.899999999999991
19,1033,2011-05-02 00:00:00,1034,1077,2011-05-03 00:00:00,2011-07-01 00:00:00,short,92.4,76.40357142857142,101.65714285714286,76.40357142857142,1.728009259259261,15.99642857142858,SL,price_time,3.25,3.0,6.400000000000006,6.3500000000000085,6.6000000000000085,8.0
20,1084,2011-07-12 00:00:00,1085,1095,2011-07-13 00:00:00,2011-07-27 00:00:00,long,75.5,77.66428571428571,69.32142857142857,77.66428571428571,0.35028901734103984,2.164285714285711,SL,price_time,2.700000000000003,2.299999999999997,9.75,9.0,11.25,10.25
21,1117,2011-08-29 00:00:00,1118,1135,2011-08-30 00:00:00,2011-09-26 00:00:00,long,56.4,57.639285714285705,46.17857142857143,57.639285714285705,0.1212438853948281,1.2392857142857068,SL,price_time,2.3000000000000043,1.8000000000000043,2.5500000000000043,2.0500000000000043,1.7000000000000028,3.700000000000003
22,1142,2011-10-05 00:00:00,1143,1184,2011-10-07 00:00:00,2011-12-12 00:00:00,long,54.0,60.864285714285714,47.464285714285715,60.864285714285714,1.050273224043716,6.864285714285714,SL,price_date,2.25,1.6499999999999986,3.450000000000003,5.200000000000003,6.549999999999997,5.5
23,1197,2011-12-29 00:00:00,1198,1237,2011-12-30 00:00:00,2012-02-27 00:00:00,long,53.25,75.10714285714285,45.614285714285714,75.10714285714285,2.8624883068288103,21.857142857142847,SL,price_time,2.450000000000003,2.0,1.1499999999999986,4.0,4.649999999999999,6.399999999999999
24,1244,2012-03-07 00:00:00,1245,1258,2012-03-09 00:00:00,2012-03-28 00:00:00,long,72.8,68.375,61.028571428571425,68.375,-0.375910194174757,-4.424999999999997,SL,price_date,5.099999999999994,4.75,7.700000000000003,6.799999999999997,8.549999999999997,4.650000000000006
25,1272,2012-04-19 00:00:00,1273,1308,2012-04-20 00:00:00,2012-06-11 00:00:00,short,76.7,63.864285714285714,83.45714285714286,63.864285714285714,1.8995771670190291,12.835714285714289,SL,price_time,2.4000000000000057,2.200000000000003,2.4000000000000057,3.049999999999997,6.5,6.8500000000000085
26,1312,2012-06-15 00:00:00,1313,1324,2012-06-18 00:00:00,2012-07-03 00:00:00,short,68.35,72.125,72.31428571428572,72.125,-0.9522522522522517,-3.7750000000000057,SL,price_time,3.200000000000003,4.25,4.1499999999999915,3.049999999999997,1.4499999999999886,1.9499999999999886
27,1328,2012-07-09 00:00:00,1329,1339,2012-07-10 00:00:00,2012-07-24 00:00:00,long,73.6,67.16428571428571,67.16428571428571,67.16428571428571,-1.0,-6.435714285714283,SL,price_time,1.5499999999999972,1.9000000000000057,0.4000000000000057,0.0,0.45000000000000284,0.10000000000000853
28,1351,2012-08-09 00:00:00,1352,1376,2012-08-10 00:00:00,2012-09-17 00:00:00,short,76.6,69.85714285714286,82.77857142857142,69.85714285714286,1.0913294797687842,6.742857142857133,SL,price_time,3.3499999999999943,3.4499999999999886,2.4499999999999886,2.6499999999999915,2.3499999999999943,1.5999999999999943
29,1385,2012-10-01 00:00:00,1386,1402,2012-10-03 00:00:00,2012-10-26 00:00:00,long,75.05,72.81785714285715,66.84285714285714,72.81785714285715,-0.2719756309834627,-2.232142857142847,SL,price_time,3.3500000000000085,3.3500000000000085,3.4000000000000057,3.299999999999997,3.1500000000000057,5.900000000000006
30,1456,2013-01-15 00:00:00,1457,1470,2013-01-16 00:00:00,2013-02-04 00:00:00,short,83.05,86.16785714285714,88.66428571428571,86.16785714285714,-0.5553435114503825,-3.1178571428571473,SL,price_time,1.0,1.0499999999999972,0.9500000000000028,0.14999999999999147,-1.7000000000000028,1.2000000000000028
31,1490,2013-03-04 00:00:00,1491,1502,2013-03-05 00:00:00,2013-03-20 00:00:00,long,75.6,71.65357142857142,67.20714285714286,71.65357142857142,-0.4702127659574468,-3.9464285714285694,SL,price_time,4.5,4.1000000000000085,5.800000000000011,6.200000000000003,5.5,6.0
32,1519,2013-04-16 00:00:00,1520,1601,2013-04-17 00:00:00,2013-08-14 00:00:00,short,80.55,48.63928571428571,86.15714285714286,48.63928571428571,5.691082802547767,31.910714285714285,SL,price_time,3.0,3.450000000000003,2.0999999999999943,2.549999999999997,0.8999999999999915,1.0999999999999943
33,1644,2013-10-18 00:00:00,1645,1682,2013-10-21 00:00:00,2013-12-13 00:00:00,long,51.95,58.35714285714286,47.22142857142857,58.35714285714286,1.3549848942598173,6.407142857142858,SL,price_time,0.75,0.5,0.09999999999999432,-0.4000000000000057,-0.3500000000000014,-1.6500000000000057
34,1694,2014-01-01 00:00:00,1695,1719,2014-01-02 00:00:00,2014-02-05 00:00:00,short,66.5,58.489285714285714,72.07142857142857,58.489285714285714,1.4378205128205135,8.010714285714286,SL,price_time,2.5,2.5,3.1000000000000014,3.299999999999997,5.299999999999997,4.299999999999997
35,1801,2014-06-10 00:00:00,1802,1889,2014-06-11 00:00:00,2014-10-21 00:00:00,short,130.8,105.4,154.53571428571428,105.4,1.0701173638278676,25.400000000000006,SL,price_time,5.400000000000006,4.900000000000006,7.700000000000017,14.000000000000014,11.550000000000011,10.450000000000017
36,1906,2014-11-18 00:00:00,1907,1929,2014-11-19 00:00:00,2014-12-19 00:00:00,short,122.0,121.19642857142856,132.37857142857143,121.19642857142856,0.07742601514108893,0.8035714285714448,SL,price_time,3.25,3.3499999999999943,4.75,3.700000000000003,2.8499999999999943,1.7999999999999972
37,1958,2015-02-02 00:00:00,1959,1977,2015-02-03 00:00:00,2015-03-02 00:00:00,short,124.8,119.52142857142857,133.64285714285714,119.52142857142857,0.5969305331179319,5.278571428571425,SL,price_time,9.150000000000006,10.0,12.299999999999997,13.0,11.5,13.950000000000003
38,1980,2015-03-05 00:00:00,1981,2032,2015-03-09 00:00:00,2015-05-25 00:00:00,short,117.35,113.01785714285714,127.06428571428572,113.01785714285714,0.44595588235294065,4.3321428571428555,SL,price_time,2.1000000000000085,1.5,3.25,2.4499999999999886,1.5499999999999972,8.399999999999991
39,2035,2015-05-28 00:00:00,2036,2054,2015-05-29 00:00:00,2015-06-24 00:00:00,short,113.15,111.87857142857143,120.05,111.87857142857143,0.1842650103519672,1.2714285714285722,SL,price_time,3.1000000000000085,4.1000000000000085,5.150000000000006,6.050000000000011,8.800000000000011,10.850000000000009
40,2064,2015-07-08 00:00:00,2065,2078,2015-07-09 00:00:00,2015-07-28 00:00:00,long,102.15,99.36071428571428,93.91428571428571,99.36071428571428,-0.3386816999132707,-2.7892857142857252,SL,price_time,0.6499999999999915,0.6499999999999915,0.9499999999999886,2.6999999999999886,2.25,1.5499999999999972
41,2107,2015-09-07 00:00:00,2108,2147,2015-09-08 00:00:00,2015-11-06 00:00:00,long,84.0,92.56071428571428,68.85714285714286,92.56071428571428,0.5653301886792452,8.560714285714283,SL,price_date,1.5,0.9000000000000057,5.0,4.5,3.700000000000003,4.049999999999997
42,2150,2015-11-11 00:00:00,2151,2174,2015-11-13 00:00:00,2015-12-17 00:00:00,short,91.0,86.03928571428571,99.35714285714286,86.03928571428571,0.5935897435897437,4.960714285714289,SL,price_time,1.1500000000000057,0.9000000000000057,2.1500000000000057,3.450000000000003,6.75,5.599999999999994
43,2200,2016-01-22 09:15:00,2201,2213,2016-01-25 09:15:00,2016-02-11 09:15:00,long,64.3,61.98928571428572,53.607142857142854,61.98928571428572,-0.2160988643954567,-2.310714285714276,SL,price_time,1.2000000000000028,0.6000000000000085,2.5,2.5,5.75,5.1000000000000085
44,2215,2016-02-15 09:15:00,2216,2257,2016-02-16 09:15:00,2016-04-21 09:15:00,short,60.35,70.02142857142857,70.64285714285714,70.02142857142857,-0.9396252602359477,-9.67142857142857,SL,price_date,4.050000000000004,2.8000000000000043,-0.10000000000000142,1.8500000000000014,-0.8500000000000014,0.14999999999999858
45,2259,2016-04-25 09:15:00,2260,2268,2016-04-26 09:15:00,2016-05-06 09:15:00,long,69.5,66.14642857142857,65.12142857142858,66.14642857142857,-0.7659053833605235,-3.3535714285714278,SL,price_time,3.3999999999999915,3.299999999999997,2.200000000000003,2.9000000000000057,2.25,1.7000000000000028
46,2272,2016-05-12 09:15:00,2273,2303,2016-05-13 09:15:00,2016-06-24 09:15:00,long,66.2,62.917857142857144,60.15000000000001,62.917857142857144,-0.5425029515938617,-3.2821428571428584,SL,price_time,3.8999999999999915,3.5999999999999943,3.3499999999999943,1.9500000000000028,3.799999999999997,1.5
47,2415,2016-12-09 09:15:00,2416,2435,2016-12-12 09:15:00,2017-01-06 09:15:00,short,108.15,103.69642857142858,115.84285714285714,103.69642857142858,0.578922934076137,4.453571428571422,SL,price_time,2.8000000000000114,2.8000000000000114,3.4000000000000057,5.8500000000000085,5.6000000000000085,7.75
48,2442,2017-01-17 09:15:00,2443,2467,2017-01-18 09:15:00,2017-02-22 09:15:00,short,109.85,112.66785714285714,117.42857142857142,112.66785714285714,-0.3718190386427911,-2.81785714285715,SL,price_date,2.8999999999999915,3.1499999999999915,3.6999999999999886,5.3999999999999915,2.8999999999999915,2.299999999999997
