trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,25,2003-02-05 00:00:00,26,44,2003-02-06 00:00:00,2003-03-05 00:00:00,long,253.33,244.2142857142857,236.49571428571429,244.2142857142857,-0.5414969450101849,-9.115714285714319,SL,price_time,5.130000000000024,-1.5300000000000011,-1.3300000000000125,-1.2600000000000193,-4.0,-4.5
2,54,2003-03-21 00:00:00,55,359,2003-03-24 00:00:00,2004-07-09 00:00:00,short,255.0,264.4207142857143,277.3357142857143,264.4207142857143,-0.42177806204029594,-9.420714285714325,SL,price_time,3.7700000000000102,0.27000000000001023,0.030000000000001137,2.6699999999999875,2.6699999999999875,3.3000000000000114
3,367,2004-07-21 00:00:00,368,387,2004-07-22 00:00:00,2004-08-18 00:00:00,long,425.0,414.76071428571436,369.39285714285717,414.76071428571436,-0.18413615928066673,-10.239285714285643,SL,price_time,17.0,5.649999999999977,1.0500000000000114,1.1499999999999773,-12.800000000000011,1.8000000000000114
4,434,2004-10-26 00:00:00,435,495,2004-10-27 00:00:00,2005-01-24 00:00:00,long,487.0,532.725,436.39285714285717,532.725,0.9035285815102337,45.72500000000002,SL,price_date,6.0,-11.050000000000011,-9.0,-6.899999999999977,-6.600000000000023,-6.600000000000023
5,619,2005-07-20 00:00:00,620,635,2005-07-21 00:00:00,2005-08-12 00:00:00,short,702.1,749.9964285714285,804.8714285714285,749.9964285714285,-0.4660480956352512,-47.89642857142849,SL,price_time,19.899999999999977,-15.0,-9.149999999999977,1.8500000000000227,11.800000000000068,16.800000000000068
6,754,2006-02-07 00:00:00,755,777,2006-02-08 00:00:00,2006-03-13 00:00:00,short,939.45,1001.6392857142857,1008.9928571428572,1001.6392857142857,-0.8942584223500399,-62.18928571428569,SL,price_time,16.40000000000009,34.65000000000009,24.450000000000045,0.8500000000000227,8.300000000000068,8.300000000000068
7,889,2006-08-24 00:00:00,890,964,2006-08-25 00:00:00,2006-12-12 00:00:00,long,873.0,842.1928571428571,803.6642857142857,842.1928571428571,-0.4443185330174112,-30.807142857142935,SL,price_date,12.200000000000045,2.25,-5.649999999999977,3.8999999999999773,6.149999999999977,-3.25
8,995,2007-01-29 00:00:00,996,1050,2007-01-31 00:00:00,2007-04-20 00:00:00,short,923.5,837.7642857142857,953.1928571428572,837.7642857142857,2.8874188116430077,85.73571428571427,SL,price_date,14.850000000000023,41.35000000000002,38.14999999999998,56.64999999999998,64.0,61.549999999999955
9,1081,2007-06-06 00:00:00,1082,1119,2007-06-07 00:00:00,2007-07-30 00:00:00,short,810.0,817.9000000000001,922.9571428571428,817.9000000000001,-0.06993802959403145,-7.900000000000091,SL,price_date,37.05000000000007,32.700000000000045,34.35000000000002,35.14999999999998,24.049999999999955,11.850000000000023
10,1196,2007-11-16 00:00:00,1197,1241,2007-11-19 00:00:00,2008-01-22 00:00:00,long,710.0,714.6928571428572,643.0428571428571,714.6928571428572,0.0700874759974402,4.692857142857179,SL,price_time,9.399999999999977,8.649999999999977,1.7000000000000455,7.25,-2.1499999999999773,-3.25
11,1297,2008-04-15 00:00:00,1298,1331,2008-04-16 00:00:00,2008-06-05 00:00:00,long,714.9,735.9071428571428,665.05,735.9071428571428,0.42140707837799113,21.007142857142867,SL,price_time,9.149999999999977,-4.75,7.4500000000000455,-2.8999999999999773,-0.8999999999999773,-3.25
12,1415,2008-10-06 00:00:00,1416,1512,2008-10-07 00:00:00,2009-03-03 00:00:00,long,724.5,709.6178571428571,623.5214285714285,709.6178571428571,-0.1473792176557968,-14.882142857142867,SL,price_time,25.5,7.0,-34.10000000000002,-37.799999999999955,-19.600000000000023,-15.0
13,1526,2009-03-25 00:00:00,1527,1618,2009-03-26 00:00:00,2009-08-10 00:00:00,long,742.0,974.3499999999999,694.8785714285714,974.3499999999999,4.930877671668933,232.3499999999999,SL,price_time,10.25,8.299999999999955,-1.5499999999999545,22.25,8.850000000000023,2.9500000000000455
14,1663,2009-10-16 00:00:00,1664,1728,2009-10-20 00:00:00,2010-01-22 00:00:00,long,1538.35,1670.017857142857,1398.6714285714286,1670.017857142857,0.9426489388903104,131.6678571428572,SL,price_date,20.799999999999955,29.15000000000009,15.600000000000136,-37.899999999999864,-38.399999999999864,-56.799999999999955
15,1818,2010-06-07 00:00:00,1819,1918,2010-06-08 00:00:00,2010-10-26 00:00:00,long,1835.0,2082.325,1698.0857142857144,2082.325,1.8064221619365612,247.32499999999982,SL,price_time,77.90000000000009,76.65000000000009,86.84999999999991,77.29999999999995,140.45000000000005,178.0
16,1929,2010-11-10 00:00:00,1930,1942,2010-11-11 00:00:00,2010-11-30 00:00:00,short,2025.0,1928.1285714285716,2149.4,1928.1285714285716,0.7787092328892952,96.8714285714284,SL,price_date,35.15000000000009,40.25,32.84999999999991,49.09999999999991,69.59999999999991,76.09999999999991
17,2010,2011-03-09 00:00:00,2011,2082,2011-03-10 00:00:00,2011-06-22 00:00:00,long,1653.45,1881.7071428571428,1486.6285714285714,1881.7071428571428,1.3682723185613346,228.25714285714275,SL,price_date,133.25,133.25,150.54999999999995,119.34999999999991,106.64999999999986,109.64999999999986
18,2176,2011-11-11 00:00:00,2177,2205,2011-11-14 00:00:00,2011-12-23 00:00:00,short,2100.0,1837.0392857142858,2262.7,1837.0392857142858,1.616230573360261,262.9607142857142,SL,price_time,71.79999999999973,91.09999999999991,124.79999999999995,144.0,199.79999999999995,183.95000000000005
19,2233,2012-02-02 00:00:00,2234,2291,2012-02-03 00:00:00,2012-04-30 00:00:00,long,1870.0,2066.442857142857,1761.4928571428572,2066.442857142857,1.8104140609571466,196.44285714285706,SL,price_date,50.25,29.0,24.299999999999955,28.75,22.049999999999955,20.450000000000045
