trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,54,2017-01-23 09:15:00,55,56,2017-01-24 09:15:00,2017-01-25 09:15:00,long,687.45,723.9214285714286,657.7642857142857,723.9214285714286,1.2285851780558206,36.47142857142853,SL,price_date,25.700000000000045,25.399999999999977,90.44999999999993,79.34999999999991,66.54999999999995,61.84999999999991
2,253,2017-11-14 09:15:00,254,343,2017-11-15 09:15:00,2018-03-26 09:15:00,short,1122.7,985.4,1219.5285714285715,985.4,1.4179699026261443,137.30000000000007,SL,price_date,32.40000000000009,32.40000000000009,19.299999999999955,-15.5,-28.450000000000045,-28.09999999999991
3,416,2018-07-10 09:15:00,417,463,2018-07-11 09:15:00,2018-09-18 09:15:00,long,998.2,1044.075,867.7714285714286,1044.075,0.35172508214676884,45.875,SL,price_time,35.05000000000007,24.899999999999977,37.450000000000045,22.25,11.149999999999977,8.549999999999955
4,495,2018-11-06 09:15:00,496,510,2018-11-09 09:15:00,2018-11-30 09:15:00,long,753.7,736.9964285714286,634.8928571428572,736.9964285714286,-0.1405939998797571,-16.703571428571422,SL,price_date,21.899999999999977,17.449999999999932,41.299999999999955,41.299999999999955,61.89999999999998,75.29999999999995
5,592,2019-03-29 00:00:00,593,601,2019-04-01 00:00:00,2019-04-11 00:00:00,long,719.35,699.3178571428573,639.0571428571429,699.3178571428573,-0.24948847967262558,-20.03214285714273,SL,price_date,60.59999999999991,57.44999999999993,41.69999999999993,41.19999999999993,76.89999999999998,53.85000000000002
6,667,2019-07-19 00:00:00,668,708,2019-07-22 00:00:00,2019-09-20 00:00:00,short,604.6,547.4607142857144,660.8071428571429,547.4607142857144,1.0165840640487964,57.13928571428562,SL,price_time,15.0,7.399999999999977,18.200000000000045,22.600000000000023,23.149999999999977,17.149999999999977
7,790,2020-01-21 00:00:00,791,793,2020-01-22 00:00:00,2020-01-24 00:00:00,long,461.65,408.8071428571429,388.90000000000003,408.8071428571429,-0.7263622974963181,-52.8428571428571,SL,price_time,16.19999999999999,11.100000000000023,-14.649999999999977,-61.799999999999955,-81.54999999999995,-90.94999999999999
8,796,2020-01-29 00:00:00,797,851,2020-01-30 00:00:00,2020-04-22 00:00:00,short,371.9,172.87857142857143,430.4428571428571,172.87857142857143,3.399585163494387,199.02142857142854,SL,price_time,5.399999999999977,5.399999999999977,10.75,31.899999999999977,33.25,30.549999999999955
9,877,2020-06-01 00:00:00,878,1020,2020-06-02 00:00:00,2020-12-21 00:00:00,long,153.95,293.6678571428571,134.82142857142858,293.6678571428571,7.304144884241978,139.7178571428571,SL,price_time,1.4499999999999886,-0.25,7.450000000000017,15.450000000000017,14.400000000000006,12.650000000000006
10,1073,2021-03-08 00:00:00,1074,1115,2021-03-09 00:00:00,2021-05-12 00:00:00,short,355.3,329.26428571428573,403.38571428571424,329.26428571428573,0.5414438502673801,26.035714285714278,SL,price_date,4.600000000000023,5.850000000000023,4.5,5.850000000000023,15.550000000000011,22.600000000000023
11,1174,2021-08-05 00:00:00,1175,1251,2021-08-06 00:00:00,2021-11-29 00:00:00,short,602.95,416.16071428571433,673.1142857142858,416.16071428571433,2.6621704163697446,186.7892857142857,SL,price_date,19.75,18.65000000000009,32.75,29.300000000000068,29.700000000000045,26.600000000000023
12,1286,2022-01-17 00:00:00,1287,1307,2022-01-18 00:00:00,2022-02-16 00:00:00,short,426.95,373.21785714285716,468.81428571428575,373.21785714285716,1.2834840470909383,53.73214285714283,SL,price_date,19.55000000000001,20.5,27.55000000000001,23.75,43.89999999999998,63.0
13,1374,2022-05-27 00:00:00,1375,1383,2022-05-30 00:00:00,2022-06-09 00:00:00,long,278.6,288.7535714285714,242.64999999999998,288.7535714285714,0.2824359229087995,10.153571428571354,SL,price_date,3.7999999999999545,-0.20000000000004547,-9.200000000000045,-6.75,-6.9500000000000455,-5.800000000000011
14,1415,2022-07-25 00:00:00,1416,1429,2022-07-26 00:00:00,2022-08-16 00:00:00,short,296.7,309.74285714285713,315.7,309.74285714285713,-0.6864661654135339,-13.042857142857144,SL,price_date,5.25,6.099999999999966,10.0,4.949999999999989,5.349999999999966,5.899999999999977
15,1485,2022-11-07 00:00:00,1486,1498,2022-11-09 00:00:00,2022-11-25 00:00:00,short,358.65,372.45000000000005,388.7857142857143,372.45000000000005,-0.45792841905665055,-13.800000000000068,SL,price_date,4.149999999999977,4.7999999999999545,10.349999999999966,10.25,4.899999999999977,10.199999999999989
