trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,89,2019-08-28,90,187,2019-08-29,2020-01-22,long,577.35,1018.407142857143,535.1357142857142,1018.407142857143,10.44805414551606,441.05714285714294,SL,price_time,22.549999999999955,16.299999999999955,37.39999999999998,14.699999999999932,26.149999999999977,27.0
2,334,2020-08-25,335,345,2020-08-26,2020-09-09,long,873.6,835.5357142857143,814.1,835.5357142857143,-0.6397358943577427,-38.06428571428569,SL,price_time,49.60000000000002,45.549999999999955,39.69999999999993,26.649999999999977,19.25,8.799999999999955
3,391,2020-11-13,392,416,2020-11-14,2020-12-21,long,934.65,968.0392857142857,866.25,968.0392857142857,0.4881474519632419,33.389285714285734,SL,price_date,13.0,-2.199999999999932,-6.5499999999999545,-7.699999999999932,1.9500000000000455,-11.649999999999977
4,443,2021-01-29,444,477,2021-02-01,2021-03-19,long,1238.35,1270.1392857142855,1084.2357142857143,1270.1392857142855,0.2062708565072296,31.789285714285597,SL,price_date,27.449999999999818,12.0,32.100000000000136,57.600000000000136,81.45000000000005,47.05000000000018
5,492,2021-04-13,493,562,2021-04-15,2021-07-26,long,1345.3,1849.4892857142856,1215.9071428571428,1849.4892857142856,3.896577422025946,504.1892857142857,SL,price_date,58.049999999999955,68.5,57.700000000000045,20.90000000000009,67.75,86.35000000000014
6,585,2021-08-27,586,621,2021-08-30,2021-10-20,long,1906.0,2268.4857142857145,1738.9785714285715,2268.4857142857145,2.170294658512597,362.4857142857145,SL,price_date,139.0,127.54999999999995,161.5,220.6500000000001,306.0999999999999,326.3000000000002
7,715,2022-03-07,716,749,2022-03-08,2022-04-27,long,2200.0,2452.696428571429,1978.1142857142859,2452.696428571429,1.13885848570693,252.6964285714289,SL,price_date,36.25,38.40000000000009,46.19999999999982,114.09999999999991,144.80000000000018,140.1500000000001
8,815,2022-07-29,816,853,2022-08-01,2022-09-26,long,2336.0,2466.8821428571428,2163.0142857142855,2466.8821428571428,0.7566066562061262,130.88214285714275,SL,price_date,24.850000000000364,6.300000000000182,41.19999999999982,19.75,38.75,24.65000000000009
9,898,2022-12-01,899,909,2022-12-02,2022-12-16,long,2616.0,2794.1392857142855,2453.4142857142856,2794.1392857142855,1.0956638256743676,178.1392857142855,SL,price_time,67.55000000000018,58.30000000000018,56.59999999999991,90.80000000000018,90.65000000000009,116.44999999999982
10,925,2023-01-09,926,969,2023-01-10,2023-03-14,long,2660.0,2873.510714285714,2488.9928571428572,2873.510714285714,1.2485485150996198,213.51071428571413,SL,price_date,27.100000000000364,20.800000000000182,11.099999999999909,17.050000000000182,3.699999999999818,13.550000000000182
11,1045,2023-07-06,1046,1048,2023-07-07,2023-07-11,short,3555.2,3760.6857142857143,3760.6857142857143,3760.6857142857143,-1.0,-205.4857142857145,SL,price_date,52.55000000000018,47.0,8.5,-219.60000000000036,-245.30000000000018,-259.9500000000003
12,1198,2024-02-15,1199,1271,2024-02-16,2024-06-04,long,4650.0,6364.560714285714,4119.128571428571,6364.560714285714,3.2297099109281233,1714.5607142857143,SL,price_time,105.05000000000018,20.0,118.60000000000036,82.14999999999964,66.60000000000036,66.60000000000036
13,1390,2024-11-26,1391,1409,2024-11-27,2024-12-23,long,6870.5,7124.789285714286,6338.492857142857,7124.789285714286,0.4779809615875197,254.28928571428605,SL,price_time,171.35000000000036,173.5,278.6999999999998,427.39999999999964,481.4499999999998,542.0
14,1542,2025-07-07,1543,1600,2025-07-08,2025-09-29,long,6670.0,7267.0,6256.357142857143,7267.0,1.4432740459333457,597.0,SL,price_time,48.5,78.5,46.0,111.0,35.5,126.5
