trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,501,2005-02-02 00:00:00,502,513,2005-02-03 00:00:00,2005-02-18 00:00:00,short,17.59,18.312142857142856,18.374285714285712,18.312142857142856,-0.9207650273224056,-0.7221428571428561,SL,price_time,0.5700000000000003,0.9800000000000004,0.620000000000001,1.1000000000000014,1.4100000000000001,0.6099999999999994
2,598,2005-06-21 00:00:00,599,645,2005-06-22 00:00:00,2005-08-29 00:00:00,long,32.5,54.27928571428571,28.412857142857142,54.27928571428571,5.328731212862634,21.779285714285713,SL,price_time,1.6200000000000045,1.6300000000000026,2.3800000000000026,3.229999999999997,4.329999999999998,5.68
3,710,2005-12-05 00:00:00,711,721,2005-12-06 00:00:00,2005-12-20 00:00:00,short,54.27,59.33428571428571,60.93,59.33428571428571,-0.7604032604032601,-5.06428571428571,SL,price_date,2.5500000000000043,2.940000000000005,4.270000000000003,2.8700000000000045,1.1000000000000014,0.8500000000000014
4,791,2006-04-03 00:00:00,792,805,2006-04-04 00:00:00,2006-04-26 00:00:00,short,75.0,86.54285714285714,86.54285714285714,86.54285714285714,-1.0,-11.542857142857144,SL,price_time,2.200000000000003,2.9000000000000057,-5.719999999999999,-3.6500000000000057,-5.549999999999997,0.21999999999999886
5,840,2006-06-15 00:00:00,841,864,2006-06-16 00:00:00,2006-07-19 00:00:00,long,68.58,79.13714285714286,46.79714285714286,79.13714285714286,0.48465372507869925,10.557142857142864,SL,price_time,3.280000000000001,0.0,3.450000000000003,7.040000000000006,10.840000000000003,14.820000000000007
6,934,2006-10-31 00:00:00,935,964,2006-11-01 00:00:00,2006-12-12 00:00:00,long,91.33,86.525,82.46571428571428,86.525,-0.5420628525382748,-4.804999999999993,SL,price_time,6.670000000000002,7.290000000000006,5.25,8.469999999999999,5.340000000000003,4.420000000000002
7,1103,2007-07-06 00:00:00,1104,1146,2007-07-09 00:00:00,2007-09-06 00:00:00,short,238.95,201.18571428571428,256.7942857142857,201.18571428571428,2.1163237531022325,37.764285714285705,SL,price_time,3.1899999999999977,6.1699999999999875,8.299999999999983,7.829999999999984,6.049999999999983,10.329999999999984
8,1177,2007-10-22 00:00:00,1178,1234,2007-10-23 00:00:00,2008-01-11 00:00:00,long,195.0,223.6857142857143,145.22857142857143,223.6857142857143,0.5763490241102186,28.68571428571431,SL,price_time,5.949999999999989,2.75,7.75,10.050000000000011,12.550000000000011,19.25
9,1236,2008-01-15 00:00:00,1237,1261,2008-01-16 00:00:00,2008-02-19 00:00:00,short,226.95,197.37142857142857,262.8571428571429,197.37142857142857,0.8237517406007547,29.578571428571422,SL,price_time,8.150000000000006,9.949999999999989,9.0,27.549999999999983,66.44999999999999,85.94999999999999
10,1293,2008-04-08 00:00:00,1294,1329,2008-04-09 00:00:00,2008-06-03 00:00:00,long,136.25,174.61071428571427,107.43571428571427,174.61071428571427,1.3313088745661859,38.360714285714266,SL,price_date,4.699999999999989,4.699999999999989,3.8000000000000114,3.4499999999999886,6.199999999999989,9.449999999999989
11,1339,2008-06-17 00:00:00,1340,1364,2008-06-18 00:00:00,2008-07-22 00:00:00,short,202.9,194.95357142857142,229.21428571428572,194.95357142857142,0.3019815418023891,7.946428571428584,SL,price_date,7.400000000000006,10.900000000000006,6.800000000000011,19.30000000000001,26.150000000000006,29.700000000000017
12,1458,2008-12-11 00:00:00,1459,1477,2008-12-12 00:00:00,2009-01-09 00:00:00,long,58.0,54.56428571428571,47.94285714285714,54.56428571428571,-0.3416193181818187,-3.4357142857142904,SL,price_date,4.399999999999999,5.549999999999997,7.099999999999994,9.799999999999997,4.200000000000003,7.549999999999997
13,1489,2009-01-28 00:00:00,1490,1503,2009-01-29 00:00:00,2009-02-17 00:00:00,long,53.0,51.896428571428565,40.89285714285714,51.896428571428565,-0.0911504424778766,-1.1035714285714349,SL,price_time,0.4000000000000057,-1.0499999999999972,2.450000000000003,-0.3999999999999986,-0.6000000000000014,-0.7999999999999972
14,1576,2009-06-11 00:00:00,1577,1609,2009-06-12 00:00:00,2009-07-28 00:00:00,short,112.0,90.46785714285714,132.10000000000002,90.46785714285714,1.0712508884150664,21.53214285714286,SL,price_time,4.8999999999999915,5.599999999999994,11.099999999999994,7.900000000000006,13.549999999999997,20.599999999999994
