trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,13,2010-11-15 00:00:00,14,26,2010-11-16 00:00:00,2010-12-03 00:00:00,short,197.5,195.55,223.10714285714286,195.55,0.0761506276150623,1.9499999999999886,SL,price_date,9.25,9.650000000000006,13.349999999999994,17.44999999999999,23.05000000000001,31.75
2,71,2011-02-08 00:00:00,72,101,2011-02-09 00:00:00,2011-03-23 00:00:00,short,130.0,123.32857142857144,153.12142857142857,123.32857142857144,0.288538770466481,6.671428571428564,SL,price_time,8.299999999999997,10.299999999999997,4.5,3.200000000000003,1.3499999999999943,0.9499999999999886
3,111,2011-04-06 00:00:00,112,161,2011-04-07 00:00:00,2011-06-20 00:00:00,long,126.0,130.09642857142856,105.86428571428573,130.09642857142856,0.2034409365023054,4.096428571428561,SL,price_time,11.75,10.650000000000006,17.150000000000006,11.150000000000006,13.550000000000011,10.949999999999989
4,186,2011-07-25 00:00:00,187,206,2011-07-26 00:00:00,2011-08-23 00:00:00,short,137.05,118.15714285714286,155.43571428571428,118.15714285714286,1.027583527583529,18.892857142857153,SL,price_date,4.099999999999994,3.4000000000000057,4.800000000000011,2.6000000000000227,5.150000000000006,2.0500000000000114
5,224,2011-09-20 00:00:00,225,255,2011-09-21 00:00:00,2011-11-08 00:00:00,long,88.75,90.325,77.85714285714285,90.325,0.14459016393442636,1.5750000000000028,SL,price_time,4.050000000000011,3.1500000000000057,0.9000000000000057,1.5499999999999972,1.0499999999999972,2.700000000000003
6,285,2011-12-22 00:00:00,286,337,2011-12-23 00:00:00,2012-03-07 00:00:00,long,64.6,95.91071428571429,47.628571428571426,95.91071428571429,1.8449074074074086,31.310714285714297,SL,price_time,4.099999999999994,3.450000000000003,3.1000000000000085,6.400000000000006,5.6000000000000085,5.300000000000011
7,366,2012-04-20 00:00:00,367,392,2012-04-23 00:00:00,2012-05-29 00:00:00,short,126.0,114.43214285714285,137.49285714285713,114.43214285714285,1.0065257924176523,11.56785714285715,SL,price_date,6.0,10.0,13.099999999999994,17.349999999999994,16.849999999999994,16.299999999999997
8,400,2012-06-08 00:00:00,401,444,2012-06-11 00:00:00,2012-08-09 00:00:00,short,122.0,120.62857142857143,134.2357142857143,120.62857142857143,0.11208406304728498,1.3714285714285666,SL,price_time,4.300000000000011,5.650000000000006,2.0999999999999943,3.8499999999999943,2.9000000000000057,3.6500000000000057
9,459,2012-09-03 00:00:00,460,580,2012-09-04 00:00:00,2013-02-27 00:00:00,long,107.2,164.05,93.17142857142856,164.05,4.052443991853358,56.85000000000001,SL,price_date,3.299999999999997,2.0,5.5,12.75,10.899999999999991,12.299999999999997
10,594,2013-03-19 00:00:00,595,614,2013-03-20 00:00:00,2013-04-18 00:00:00,short,171.75,179.45,197.0357142857143,179.45,-0.30451977401129876,-7.699999999999989,SL,price_time,8.0,7.599999999999994,4.0,3.5999999999999943,7.75,12.300000000000011
11,632,2013-05-17 00:00:00,633,713,2013-05-20 00:00:00,2013-09-12 00:00:00,short,185.2,126.87857142857142,205.45714285714283,126.87857142857142,2.8790550070521888,58.32142857142857,SL,price_date,9.199999999999989,9.199999999999989,6.949999999999989,11.399999999999977,21.349999999999994,16.19999999999999
12,727,2013-10-03 00:00:00,728,753,2013-10-04 00:00:00,2013-11-12 00:00:00,long,117.0,127.79285714285716,98.97857142857143,127.79285714285716,0.598890210067381,10.792857142857159,SL,price_date,7.799999999999997,8.049999999999997,12.0,18.44999999999999,20.94999999999999,18.55000000000001
13,797,2014-01-15 00:00:00,798,816,2014-01-16 00:00:00,2014-02-11 00:00:00,long,138.05,134.57857142857142,122.70714285714287,134.57857142857142,-0.22625698324022464,-3.4714285714285893,SL,price_time,6.449999999999989,6.399999999999977,8.399999999999977,14.799999999999983,12.25,14.399999999999977
14,852,2014-04-04 00:00:00,853,877,2014-04-07 00:00:00,2014-05-16 00:00:00,short,182.0,185.40714285714284,207.69285714285715,185.40714285714284,-0.1326105087572972,-3.407142857142844,SL,price_date,6.650000000000006,5.349999999999994,3.9000000000000057,2.4499999999999886,4.199999999999989,5.650000000000006
15,887,2014-05-30 00:00:00,888,916,2014-06-02 00:00:00,2014-07-10 00:00:00,long,205.3,230.2357142857143,176.87142857142857,230.2357142857143,0.8771356783919592,24.935714285714283,SL,price_time,6.099999999999994,7.849999999999994,7.899999999999977,6.549999999999983,9.0,24.0
16,994,2014-11-11 00:00:00,995,1040,2014-11-12 00:00:00,2015-01-15 00:00:00,short,257.0,242.89285714285717,279.3357142857143,242.89285714285717,0.6315957787016298,14.107142857142833,SL,price_time,7.75,11.599999999999994,14.150000000000006,5.150000000000006,12.75,7.300000000000011
17,1062,2015-02-18 00:00:00,1063,1077,2015-02-19 00:00:00,2015-03-12 00:00:00,long,271.0,257.60214285714284,229.6885714285714,257.60214285714284,-0.32431357631924784,-13.397857142857163,SL,price_time,14.710000000000036,9.600000000000023,9.550000000000011,0.05000000000001137,7.300000000000011,10.050000000000011
18,1094,2015-04-08 00:00:00,1095,1115,2015-04-09 00:00:00,2015-05-11 00:00:00,short,282.5,269.9685714285714,311.9742857142857,269.9685714285714,0.4251647925552547,12.531428571428592,SL,price_date,7.689999999999998,12.050000000000011,16.69999999999999,18.649999999999977,12.110000000000014,18.94999999999999
19,1183,2015-08-13 00:00:00,1184,1190,2015-08-14 00:00:00,2015-08-24 00:00:00,long,213.2,193.34285714285716,186.04285714285714,193.34285714285716,-0.7311941083640184,-19.857142857142833,SL,price_time,7.199999999999989,4.75,8.300000000000011,3.4000000000000057,-3.5,-10.799999999999983
20,1216,2015-10-01 00:00:00,1217,1256,2015-10-05 00:00:00,2015-12-02 00:00:00,short,216.0,209.1642857142857,236.4714285714286,209.1642857142857,0.33391486392184216,6.835714285714289,SL,price_time,2.3000000000000114,4.25,8.550000000000011,7.849999999999994,10.300000000000011,8.550000000000011
21,1307,2016-02-12 09:16:00,1308,1326,2016-02-15 09:15:00,2016-03-11 09:15:00,long,160.35,144.9357142857143,141.59285714285716,144.9357142857143,-0.821782178217821,-15.414285714285683,SL,price_date,10.800000000000011,10.450000000000017,-1.0999999999999943,-2.9499999999999886,-1.4000000000000057,-3.0
22,1352,2016-04-25 09:15:00,1353,1440,2016-04-26 09:16:00,2016-08-29 09:15:00,long,167.0,181.4714285714286,150.67857142857142,181.4714285714286,0.8866520787746175,14.47142857142859,SL,price_date,6.75,5.699999999999989,1.8499999999999943,3.0,1.4499999999999886,10.300000000000011
23,1467,2016-10-07 09:15:00,1468,1511,2016-10-10 09:15:00,2016-12-14 09:16:00,short,210.55,165.62857142857143,231.92857142857144,165.62857142857143,2.10123621784163,44.92142857142858,SL,price_time,6.849999999999994,6.900000000000006,11.5,6.900000000000006,11.200000000000017,17.05000000000001
24,1602,2017-04-27 09:15:00,1603,1626,2017-04-28 09:15:00,2017-06-01 09:15:00,short,245.65,251.58214285714283,285.7142857142857,251.58214285714283,-0.1480656088429301,-5.932142857142821,SL,price_time,10.450000000000017,9.800000000000011,5.5,-1.5999999999999943,-4.400000000000006,0.9000000000000057
25,1654,2017-07-12 09:15:00,1655,1701,2017-07-13 09:15:00,2017-09-19 09:15:00,short,283.5,277.7964285714286,316.95714285714286,277.7964285714286,0.17047395388556771,5.703571428571422,SL,price_date,8.0,8.550000000000011,17.44999999999999,26.899999999999977,33.349999999999994,31.650000000000006
26,1775,2018-01-05 09:15:00,1776,1809,2018-01-08 09:15:00,2018-02-26 09:15:00,short,346.55,333.01428571428573,366.20714285714286,333.01428571428573,0.6885901162790699,13.535714285714278,SL,price_time,2.650000000000034,14.150000000000034,12.800000000000011,12.5,1.5500000000000114,8.600000000000023
27,1882,2018-06-13 09:15:00,1883,1931,2018-06-14 09:15:00,2018-08-23 09:15:00,long,264.25,243.56428571428575,233.80714285714285,243.56428571428575,-0.6794931956827769,-20.685714285714255,SL,price_time,10.849999999999966,10.699999999999989,11.25,4.850000000000023,4.199999999999989,9.550000000000011
28,1993,2018-11-28 09:15:00,1994,2031,2018-11-29 09:15:00,2019-01-22 00:00:00,long,183.0,205.90357142857144,162.17142857142858,205.90357142857144,1.099622770919068,22.90357142857144,SL,price_time,15.150000000000006,15.349999999999994,33.55000000000001,27.099999999999994,29.44999999999999,24.849999999999994
29,2103,2019-05-10 00:00:00,2104,2114,2019-05-13 00:00:00,2019-05-27 00:00:00,short,264.2,270.76071428571424,285.6642857142857,270.76071428571424,-0.3056572379367705,-6.560714285714255,SL,price_time,19.799999999999983,19.799999999999983,17.849999999999994,20.0,19.25,11.849999999999994
30,2277,2020-01-23 00:00:00,2278,2363,2020-01-24 00:00:00,2020-06-02 00:00:00,short,403.55,162.51785714285714,446.26428571428573,162.51785714285714,5.642892976588628,241.03214285714287,SL,price_time,20.100000000000023,22.600000000000023,12.449999999999989,18.55000000000001,27.05000000000001,28.600000000000023
31,2421,2020-08-21 00:00:00,2422,2427,2020-08-24 00:00:00,2020-08-31 00:00:00,short,251.0,273.6535714285714,284.8857142857143,273.6535714285714,-0.6685286677908929,-22.65357142857141,SL,price_time,8.75,8.800000000000011,15.800000000000011,10.599999999999994,-8.850000000000023,-12.050000000000011
32,2445,2020-09-24 00:00:00,2446,2505,2020-09-25 00:00:00,2020-12-21 00:00:00,long,235.75,258.91428571428577,196.94285714285715,258.91428571428577,0.5969077857537287,23.164285714285768,SL,price_date,12.150000000000006,8.650000000000006,14.599999999999994,9.650000000000006,16.099999999999994,18.099999999999994
