trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,342,2004-05-17 00:00:00,343,486,2004-05-18 00:00:00,2005-01-10 00:00:00,long,17.0,49.46928571428571,14.919999999999998,49.46928571428571,15.6102335164835,32.46928571428571,SL,price_time,3.2699999999999996,4.66,4.68,5.059999999999999,4.960000000000001,3.280000000000001
2,651,2005-09-06 00:00:00,652,680,2005-09-08 00:00:00,2005-10-19 00:00:00,short,141.0,138.715,162.94857142857143,138.715,0.10410700338453513,2.2849999999999966,SL,price_time,2.4499999999999886,4.310000000000002,1.25,3.039999999999992,0.3499999999999943,3.1599999999999966
3,738,2006-01-13 00:00:00,739,772,2006-01-16 00:00:00,2006-03-06 00:00:00,short,171.7,162.64999999999998,189.33428571428573,162.64999999999998,0.5132047958522359,9.050000000000011,SL,price_time,1.8000000000000114,4.199999999999989,7.949999999999989,12.0,9.099999999999994,11.049999999999983
4,816,2006-05-12 00:00:00,817,846,2006-05-15 00:00:00,2006-06-23 00:00:00,short,180.1,176.8357142857143,211.15714285714287,176.8357142857143,0.10510579576816892,3.2642857142857054,SL,price_time,8.699999999999989,3.799999999999983,8.150000000000006,0.44999999999998863,15.199999999999989,15.150000000000006
5,852,2006-07-03 00:00:00,853,917,2006-07-04 00:00:00,2006-10-04 00:00:00,short,170.0,159.03571428571428,195.32857142857142,159.03571428571428,0.43288212069938004,10.964285714285722,SL,price_date,2.0,22.69999999999999,24.55000000000001,25.19999999999999,23.44999999999999,23.30000000000001
6,934,2006-10-31 00:00:00,935,965,2006-11-01 00:00:00,2006-12-13 00:00:00,long,148.0,144.24285714285716,131.4642857142857,144.24285714285716,-0.22721382289416706,-3.7571428571428385,SL,price_time,6.549999999999983,2.0999999999999943,3.1500000000000057,1.9499999999999886,2.3499999999999943,3.0999999999999943
7,977,2007-01-02 00:00:00,978,984,2007-01-03 00:00:00,2007-01-11 00:00:00,short,164.0,172.9142857142857,176.84285714285716,172.9142857142857,-0.6941045606229134,-8.914285714285711,SL,price_time,2.950000000000017,2.1500000000000057,-1.5500000000000114,-0.8000000000000114,0.19999999999998863,4.949999999999989
8,1113,2007-07-20 00:00:00,1114,1123,2007-07-23 00:00:00,2007-08-03 00:00:00,short,193.0,200.91071428571428,221.9142857142857,200.91071428571428,-0.2735918972332013,-7.910714285714278,SL,price_time,4.849999999999994,0.3499999999999943,7.449999999999989,10.050000000000011,9.400000000000006,4.0
9,1137,2007-08-24 00:00:00,1138,1158,2007-08-27 00:00:00,2007-09-24 00:00:00,long,158.9,190.80357142857142,139.64285714285717,190.80357142857142,1.6567136498516328,31.90357142857141,SL,price_date,8.400000000000006,4.5,6.599999999999994,9.400000000000006,10.699999999999989,9.849999999999994
10,1167,2007-10-08 00:00:00,1168,1209,2007-10-09 00:00:00,2007-12-05 00:00:00,short,196.9,174.75714285714287,233.89285714285714,174.75714285714287,0.5985711527321878,22.14285714285714,SL,price_date,4.700000000000017,3.950000000000017,3.200000000000017,0.75,3.950000000000017,4.849999999999994
11,1216,2007-12-14 00:00:00,1217,1344,2007-12-17 00:00:00,2008-06-24 00:00:00,short,180.0,98.91785714285714,208.97857142857143,98.91785714285714,2.798003450825733,81.08214285714286,SL,price_time,13.449999999999989,13.849999999999994,11.300000000000011,14.650000000000006,17.349999999999994,12.699999999999989
12,1370,2008-07-30 00:00:00,1371,1461,2008-07-31 00:00:00,2008-12-16 00:00:00,short,77.0,63.246428571428574,92.07857142857144,63.246428571428574,0.9121269540502126,13.753571428571426,SL,price_time,1.0,0.25,0.5999999999999943,-0.9500000000000028,-1.6500000000000057,-0.0
13,1472,2009-01-01 00:00:00,1473,1527,2009-01-02 00:00:00,2009-03-26 00:00:00,short,70.9,68.05714285714286,80.81428571428572,68.05714285714286,0.28674351585014407,2.8428571428571416,SL,price_time,1.4000000000000057,0.6500000000000057,0.25,0.6000000000000085,3.25,1.6000000000000085
