trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,24,2013-08-28 00:00:00,25,42,2013-08-29 00:00:00,2013-09-24 00:00:00,long,166.7,165.96785714285716,133.74285714285716,165.96785714285716,-0.02221499783268242,-0.7321428571428328,SL,price_time,7.0,6.150000000000006,8.950000000000017,5.150000000000006,2.0,2.6000000000000227
2,75,2013-11-13 00:00:00,76,126,2013-11-14 00:00:00,2014-01-27 00:00:00,long,189.9,191.81428571428572,163.92142857142858,191.81428571428572,0.07368710475666745,1.914285714285711,SL,price_time,2.9499999999999886,2.299999999999983,4.25,9.650000000000006,6.650000000000006,9.25
3,152,2014-03-05 00:00:00,153,236,2014-03-06 00:00:00,2014-07-09 00:00:00,long,172.25,307.03928571428565,159.75714285714284,307.03928571428565,10.789308176100608,134.78928571428565,SL,price_time,8.599999999999994,8.650000000000006,12.199999999999989,8.5,5.849999999999994,7.5
4,246,2014-07-23 00:00:00,247,340,2014-07-24 00:00:00,2014-12-16 00:00:00,long,321.8,372.1821428571429,293.74285714285713,372.1821428571429,1.7956975560081456,50.38214285714287,SL,price_time,6.7000000000000455,6.300000000000011,27.55000000000001,53.05000000000001,39.64999999999998,43.75
5,414,2015-04-07 00:00:00,415,450,2015-04-08 00:00:00,2015-05-29 00:00:00,short,503.55,537.6035714285714,548.6142857142856,537.6035714285714,-0.7556665081629423,-34.05357142857139,SL,price_date,2.75,6.449999999999989,-14.699999999999989,-13.900000000000034,-14.099999999999966,-7.550000000000011
6,463,2015-06-17 00:00:00,464,511,2015-06-18 00:00:00,2015-08-24 00:00:00,long,523.5,642.8107142857143,464.5428571428571,642.8107142857143,2.023685485825053,119.31071428571431,SL,price_date,14.100000000000023,8.100000000000023,9.350000000000023,17.899999999999977,11.200000000000045,10.75
7,553,2015-10-27 00:00:00,554,572,2015-10-28 00:00:00,2015-11-24 00:00:00,short,667.05,612.7821428571428,705.3357142857144,612.7821428571428,1.4174440298507394,54.26785714285711,SL,price_time,7.099999999999909,7.849999999999909,20.449999999999932,24.75,23.5,20.449999999999932
8,628,2016-02-12 09:15:00,629,717,2016-02-15 09:15:00,2016-06-24 09:15:00,long,545.55,605.5821428571428,473.9928571428572,605.5821428571428,0.8389399081653034,60.032142857142844,SL,price_date,29.699999999999932,20.100000000000023,3.400000000000091,-0.4499999999999318,-4.5,-12.949999999999932
9,804,2016-11-03 09:15:00,805,852,2016-11-04 09:15:00,2017-01-11 09:56:00,short,712.65,622.1285714285714,794.0142857142857,622.1285714285714,1.1125449916600822,90.5214285714286,SL,price_date,12.299999999999955,10.049999999999955,6.399999999999977,11.949999999999932,69.5,88.25
10,863,2017-01-27 09:15:00,864,940,2017-01-30 09:15:00,2017-05-23 09:15:00,long,669.45,909.8964285714285,631.7428571428572,909.8964285714285,6.376681189619252,240.44642857142844,SL,price_date,11.900000000000091,14.0,-0.35000000000002274,13.399999999999977,26.799999999999955,38.299999999999955
11,977,2017-07-14 09:15:00,978,997,2017-07-17 09:15:00,2017-08-11 09:15:00,long,1000.85,1005.3107142857143,936.4714285714286,1005.3107142857143,0.0692888050593588,4.460714285714289,SL,price_time,17.399999999999977,17.5,17.100000000000023,23.899999999999977,32.05000000000007,13.049999999999955
12,1025,2017-09-22 09:15:00,1026,1041,2017-09-25 09:15:00,2017-10-17 09:15:00,short,1101.15,1179.0464285714286,1199.4357142857143,1179.0464285714286,-0.7925508720930229,-77.89642857142849,SL,price_date,34.200000000000045,27.950000000000045,-6.5499999999999545,10.900000000000091,22.40000000000009,25.450000000000045
13,1141,2018-03-14 09:15:00,1142,1175,2018-03-15 09:15:00,2018-05-04 09:15:00,long,1091.95,1121.9357142857143,1027.8285714285716,1121.9357142857143,0.46763952322602304,29.985714285714266,SL,price_time,9.849999999999909,11.549999999999955,-15.650000000000091,-33.100000000000136,-23.799999999999955,-7.650000000000091
14,1268,2018-09-17 09:15:00,1269,1318,2018-09-18 09:15:00,2018-12-04 00:00:00,short,1065.2,713.2464285714285,1159.8285714285714,713.2464285714285,3.719316123188409,351.95357142857154,SL,price_time,37.950000000000045,32.75,31.850000000000136,118.40000000000009,189.9000000000001,236.5
15,1404,2019-04-08 00:00:00,1405,1430,2019-04-09 00:00:00,2019-05-20 00:00:00,short,762.15,682.8714285714286,885.7285714285714,682.8714285714286,0.6415236113519444,79.27857142857135,SL,price_time,24.600000000000023,20.75,27.299999999999955,8.199999999999932,22.199999999999932,18.049999999999955
16,1441,2019-06-04 00:00:00,1442,1462,2019-06-06 00:00:00,2019-07-04 00:00:00,short,689.9,647.3464285714285,796.5714285714287,647.3464285714285,0.39892192312843144,42.553571428571445,SL,price_time,54.05000000000007,34.0,38.19999999999993,36.19999999999993,88.60000000000002,136.29999999999995
17,1498,2019-08-27 00:00:00,1499,1520,2019-08-28 00:00:00,2019-09-30 00:00:00,short,414.55,320.84285714285716,540.9428571428572,320.84285714285716,0.7413958745408306,93.70714285714286,SL,price_date,12.699999999999989,6.949999999999989,14.050000000000011,8.650000000000034,9.350000000000023,6.050000000000011
18,1623,2020-02-27 00:00:00,1624,1654,2020-02-28 00:00:00,2020-04-17 00:00:00,short,270.25,110.26785714285714,334.4642857142857,110.26785714285714,2.4913793103448274,159.98214285714286,SL,price_time,32.85000000000002,20.80000000000001,16.75,9.5,18.099999999999994,15.800000000000011
19,1670,2020-05-12 00:00:00,1671,1697,2020-05-13 00:00:00,2020-06-19 00:00:00,long,115.0,141.7857142857143,84.78571428571429,141.7857142857143,0.8865248226950363,26.785714285714306,SL,price_date,15.700000000000003,6.75,2.1500000000000057,3.950000000000003,-8.950000000000003,-7.700000000000003
20,1714,2020-07-14 00:00:00,1715,1734,2020-07-15 00:00:00,2020-08-11 00:00:00,short,201.9,191.50714285714287,242.2214285714286,191.50714285714287,0.25775022143489795,10.392857142857139,SL,price_time,7.349999999999994,10.050000000000011,6.75,3.8499999999999943,4.150000000000006,1.6500000000000057
21,1778,2020-10-13 00:00:00,1779,1827,2020-10-14 00:00:00,2020-12-22 00:00:00,long,130.75,157.41071428571428,112.93571428571427,157.41071428571428,1.4965918203688835,26.660714285714278,SL,price_date,7.599999999999994,7.699999999999989,4.300000000000011,4.0,5.699999999999989,5.199999999999989
22,1853,2021-01-29 00:00:00,1854,1887,2021-02-01 00:00:00,2021-03-19 00:00:00,long,171.8,187.53571428571428,145.22142857142856,187.53571428571428,0.5920451491534522,15.735714285714266,SL,price_time,13.450000000000017,11.75,18.599999999999994,22.099999999999994,26.049999999999983,20.099999999999994
23,1972,2021-07-26 00:00:00,1973,2014,2021-07-27 00:00:00,2021-09-24 00:00:00,short,254.95,209.98214285714286,284.9642857142857,209.98214285714286,1.4982151356496891,44.96785714285713,SL,price_time,6.949999999999989,7.699999999999989,10.799999999999983,4.699999999999989,9.399999999999977,-0.9000000000000057
24,2030,2021-10-19 00:00:00,2031,2044,2021-10-20 00:00:00,2021-11-09 00:00:00,short,225.9,218.7678571428571,253.02857142857144,218.7678571428571,0.26290152711953796,7.132142857142895,SL,price_date,5.650000000000006,6.150000000000006,3.75,21.099999999999994,29.349999999999994,22.5
25,2070,2021-12-16 00:00:00,2071,2144,2021-12-17 00:00:00,2022-04-04 00:00:00,short,225.5,154.04285714285714,274.9714285714286,154.04285714285714,1.444412359226104,71.45714285714286,SL,price_date,18.55000000000001,17.650000000000006,31.599999999999994,30.80000000000001,26.94999999999999,25.75
26,2216,2022-07-18 00:00:00,2217,2261,2022-07-19 00:00:00,2022-09-22 00:00:00,long,84.7,109.42857142857143,74.69999999999999,109.42857142857143,2.4728571428571393,24.728571428571428,SL,price_time,2.299999999999997,2.8999999999999915,4.6499999999999915,5.700000000000003,4.849999999999994,5.3999999999999915
27,2303,2022-11-24 00:00:00,2304,2324,2022-11-25 00:00:00,2022-12-23 00:00:00,long,110.8,121.3142857142857,99.91428571428571,121.3142857142857,0.9658792650918626,10.514285714285705,SL,price_time,12.850000000000009,12.350000000000009,16.75,17.150000000000006,15.950000000000003,16.150000000000006
28,2331,2023-01-03 00:00:00,2332,2396,2023-01-04 00:00:00,2023-04-11 00:00:00,short,134.95,93.03928571428571,154.89285714285717,93.03928571428571,2.1015401146131762,41.91071428571428,SL,price_date,4.650000000000006,5.299999999999983,6.549999999999983,9.949999999999989,8.149999999999991,12.299999999999983
29,2485,2023-08-18 00:00:00,2486,2491,2023-08-21 00:00:00,2023-08-28 00:00:00,short,140.3,162.5107142857143,165.10714285714286,162.5107142857143,-0.8953354448603517,-22.21071428571429,SL,price_time,1.6999999999999886,2.5,5.0,3.9000000000000057,-1.25,-13.849999999999994
30,2568,2023-12-19 00:00:00,2569,2596,2023-12-20 00:00:00,2024-01-30 00:00:00,short,199.5,191.7642857142857,227.1214285714286,191.7642857142857,0.2800620636152057,7.735714285714295,SL,price_time,22.799999999999983,18.599999999999994,12.099999999999994,12.150000000000006,9.25,7.650000000000006
