trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,10,2003-01-15 00:00:00,11,39,2003-01-16 00:00:00,2003-02-26 00:00:00,long,23.05,24.3,20.79090909090909,24.3,0.553319919517102,1.25,SL,price_time,0.5,0.34999999999999787,0.1999999999999993,-0.05000000000000071,1.5999999999999979,2.1999999999999993
2,52,2003-03-19 00:00:00,53,111,2003-03-20 00:00:00,2003-06-13 00:00:00,long,21.3,28.41428571428571,19.192857142857143,28.41428571428571,3.3762711864406754,7.11428571428571,SL,price_time,0.8000000000000007,1.0500000000000007,1.3999999999999986,0.5,0.34999999999999787,0.3000000000000007
3,167,2003-09-02 00:00:00,168,189,2003-09-03 00:00:00,2003-10-03 00:00:00,short,41.0,46.03928571428571,47.12142857142857,46.03928571428571,-0.8232205367561262,-5.039285714285711,SL,price_time,1.3999999999999986,1.3500000000000014,0.8500000000000014,0.6000000000000014,0.29999999999999716,-0.8999999999999986
4,196,2003-10-14 00:00:00,197,265,2003-10-15 00:00:00,2004-01-21 00:00:00,long,48.7,68.02142857142857,41.07142857142857,68.02142857142857,2.5327715355805225,19.32142857142857,SL,price_time,2.75,2.4499999999999957,-0.6500000000000057,0.44999999999999574,-3.1500000000000057,-3.1000000000000014
5,272,2004-02-03 00:00:00,273,287,2004-02-04 00:00:00,2004-02-24 00:00:00,long,60.85,57.91428571428571,46.45,57.91428571428571,-0.20386904761904798,-2.9357142857142904,SL,price_date,3.0500000000000043,3.8500000000000014,4.149999999999999,3.049999999999997,4.100000000000001,4.699999999999996
6,306,2004-03-23 00:00:00,307,329,2004-03-24 00:00:00,2004-04-28 00:00:00,long,47.75,51.56428571428572,39.857142857142854,51.56428571428572,0.4832579185520363,3.8142857142857167,SL,price_date,1.25,1.2000000000000028,1.75,3.0,4.350000000000001,3.3999999999999986
7,335,2004-05-06 00:00:00,336,352,2004-05-07 00:00:00,2004-06-30 00:00:00,short,48.9,40.214285714285715,56.52142857142857,40.214285714285715,1.1396438612933453,8.685714285714283,SL,price_time,1.3500000000000014,1.2999999999999972,2.049999999999997,5.149999999999999,4.399999999999999,7.100000000000001
8,425,2004-10-11 00:00:00,426,455,2004-10-12 00:00:00,2004-11-25 00:00:00,short,69.65,70.88214285714285,76.16428571428573,70.88214285714285,-0.18914473684210356,-1.232142857142847,SL,price_time,2.450000000000003,3.700000000000003,6.150000000000006,5.750000000000007,5.200000000000003,3.1500000000000057
9,482,2005-01-04 00:00:00,483,500,2005-01-05 00:00:00,2005-02-01 00:00:00,short,69.65,66.18571428571428,75.3142857142857,66.18571428571428,0.6116015132408609,3.4642857142857224,SL,price_time,2.700000000000003,2.8000000000000114,4.75,4.3500000000000085,6.300000000000004,8.250000000000007
10,544,2005-04-05 00:00:00,545,593,2005-04-06 00:00:00,2005-06-14 00:00:00,long,60.85,59.728571428571435,55.214285714285715,59.728571428571435,-0.19898605830164678,-1.1214285714285666,SL,price_time,1.8999999999999986,1.5499999999999972,0.44999999999999574,0.8500000000000014,1.0,1.2999999999999972
