trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,37,2021-08-17,38,54,2021-08-18,2021-09-13,short,418.0,415.15,462.89285714285717,415.15,0.06348448687350883,2.8500000000000227,SL,price_date,4.600000000000023,6.100000000000023,26.30000000000001,54.0,33.25,27.94999999999999
2,122,2021-12-21,123,146,2021-12-22,2022-01-24,long,310.0,324.6107142857143,287.86428571428576,324.6107142857143,0.6600516295579248,14.610714285714323,SL,price_date,8.800000000000011,7.050000000000011,22.100000000000023,11.199999999999989,9.850000000000023,34.44999999999999
3,187,2022-03-25,188,222,2022-03-28,2022-05-18,short,372.6,332.3535714285714,410.8928571428571,332.3535714285714,1.0510166013803424,40.24642857142862,SL,price_time,8.5,11.150000000000034,4.350000000000023,9.600000000000023,10.25,8.600000000000023
4,242,2022-06-15,243,260,2022-06-16,2022-07-11,short,321.0,301.44642857142856,345.9428571428571,301.44642857142856,0.7839347079037814,19.553571428571445,SL,price_date,17.399999999999977,18.399999999999977,20.5,42.89999999999998,38.80000000000001,39.89999999999998
5,276,2022-08-02,277,329,2022-08-03,2022-10-20,short,307.5,303.83571428571423,331.6714285714286,303.83571428571423,0.15159574468085324,3.664285714285768,SL,price_date,5.350000000000023,2.6000000000000227,6.600000000000023,6.449999999999989,5.850000000000023,6.600000000000023
6,380,2023-01-03,381,444,2023-01-04,2023-04-10,short,327.05,282.94642857142856,359.10714285714283,282.94642857142856,1.3757798573975069,44.103571428571456,SL,price_time,14.25,14.100000000000023,18.75,23.94999999999999,25.650000000000034,27.650000000000034
7,504,2023-07-06,505,512,2023-07-07,2023-07-18,short,354.0,382.4,389.77142857142854,382.4,-0.7939297124600638,-28.399999999999977,SL,price_date,3.400000000000034,0.6000000000000227,4.25,2.6999999999999886,1.6000000000000227,5.649999999999977
8,523,2023-08-02,524,550,2023-08-03,2023-09-11,long,393.4,443.8357142857143,360.34285714285716,443.8357142857143,1.5257130509939523,50.43571428571431,SL,price_time,7.300000000000011,7.300000000000011,7.400000000000034,9.700000000000045,27.700000000000045,57.5
9,617,2023-12-19,618,620,2023-12-20,2023-12-22,short,544.8,579.3214285714287,581.7857142857143,579.3214285714287,-0.9333719582850536,-34.521428571428714,SL,price_date,18.449999999999932,23.699999999999932,-27.100000000000023,-63.60000000000002,-74.30000000000007,-78.55000000000007
10,660,2024-02-20,661,694,2024-02-21,2024-04-10,short,663.0,640.7928571428571,723.5500000000001,640.7928571428571,0.36675710746726486,22.207142857142912,SL,price_time,19.40000000000009,19.450000000000045,15.950000000000045,-1.6000000000000227,6.4500000000000455,14.5
11,869,2024-12-24,870,876,2024-12-26,2025-01-03,short,749.8,794.0607142857143,806.2285714285714,794.0607142857143,-0.784367088607596,-44.26071428571436,SL,price_time,13.299999999999955,13.299999999999955,3.449999999999932,32.549999999999955,20.399999999999977,3.8999999999999773
12,919,2025-03-05,920,940,2025-03-06,2025-04-07,long,745.0,821.4535714285714,666.5071428571429,821.4535714285714,0.9740194740194741,76.45357142857142,SL,price_time,13.75,13.299999999999955,79.20000000000005,71.20000000000005,57.60000000000002,73.95000000000005
13,1036,2025-08-26,1037,1062,2025-08-28,2025-10-03,short,934.95,964.3928571428571,999.5071428571429,964.3928571428571,-0.45607435273290453,-29.442857142857065,SL,price_time,35.55000000000007,29.050000000000068,29.65000000000009,32.450000000000045,32.65000000000009,0.35000000000002274
