trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,136,2003-07-18 00:00:00,137,157,2003-07-21 00:00:00,2003-08-19 00:00:00,short,72.0,76.62857142857142,81.43571428571428,76.62857142857142,-0.49053747161241396,-4.628571428571419,SL,price_time,69.45,1.4500000000000028,2.299999999999997,2.049999999999997,0.9500000000000028,3.200000000000003
2,163,2003-08-27 00:00:00,164,189,2003-08-28 00:00:00,2003-10-03 00:00:00,short,66.75,71.12857142857143,74.7642857142857,71.12857142857143,-0.5463458110516947,-4.378571428571433,SL,price_time,0.6000000000000085,1.4500000000000028,2.200000000000003,1.2999999999999972,-0.5,0.20000000000000284
3,239,2003-12-15 00:00:00,240,309,2003-12-16 00:00:00,2004-03-26 00:00:00,short,113.05,79.12500000000001,131.42857142857144,79.12500000000001,1.8458997279440315,33.92499999999998,SL,price_time,1.5499999999999972,1.8499999999999943,1.3499999999999943,-0.29999999999999716,1.3499999999999943,-3.1000000000000085
4,322,2004-04-16 00:00:00,323,340,2004-04-19 00:00:00,2004-05-13 00:00:00,long,91.45,91.19285714285712,78.45,91.19285714285712,-0.01978021978022162,-0.2571428571428811,SL,price_time,4.8500000000000085,-1.0499999999999972,-3.0,-1.6000000000000085,3.1499999999999915,8.349999999999994
5,510,2005-02-15 00:00:00,511,527,2005-02-16 00:00:00,2005-03-10 00:00:00,short,208.0,220.90714285714284,228.7285714285714,220.90714285714284,-0.622674017918677,-12.907142857142844,SL,price_time,14.099999999999994,17.25,15.75,22.94999999999999,25.30000000000001,22.19999999999999
6,650,2005-09-05 00:00:00,651,671,2005-09-06 00:00:00,2005-10-05 00:00:00,short,258.0,254.8107142857143,288.04285714285714,254.8107142857143,0.10615786970993732,3.1892857142856883,SL,price_time,4.199999999999989,8.099999999999994,10.349999999999994,19.55000000000001,13.0,15.050000000000011
7,687,2005-10-28 00:00:00,688,818,2005-10-31 00:00:00,2006-05-16 00:00:00,long,218.0,311.7892857142857,190.5,311.7892857142857,3.4105194805194805,93.78928571428571,SL,price_date,7.799999999999983,3.1999999999999886,7.550000000000011,6.099999999999994,4.449999999999989,7.449999999999989
8,843,2006-06-20 00:00:00,844,933,2006-06-21 00:00:00,2006-10-30 00:00:00,long,273.5,296.5607142857143,201.35714285714286,296.5607142857143,0.31965346534653505,23.06071428571431,SL,price_date,13.200000000000045,12.850000000000023,20.80000000000001,19.75,4.699999999999989,-0.8000000000000114
9,1064,2007-05-14 00:00:00,1065,1071,2007-05-15 00:00:00,2007-05-23 00:00:00,short,397.0,450.7857142857143,452.35,450.7857142857143,-0.971738288811459,-53.78571428571428,SL,price_date,6.350000000000023,7.050000000000011,-2.8000000000000114,-7.300000000000011,-13.25,-30.600000000000023
10,1114,2007-07-23 00:00:00,1115,1132,2007-07-24 00:00:00,2007-08-17 00:00:00,short,436.0,444.8,487.6642857142857,444.8,-0.17033042997373174,-8.800000000000011,SL,price_time,12.699999999999989,13.949999999999989,8.300000000000011,6.899999999999977,26.649999999999977,13.199999999999989
11,1227,2008-01-02 00:00:00,1228,1260,2008-01-03 00:00:00,2008-02-18 00:00:00,short,459.85,388.9178571428571,497.0142857142857,388.9178571428571,1.908610417067082,70.93214285714294,SL,price_time,6.300000000000011,16.55000000000001,-6.349999999999966,6.7000000000000455,11.700000000000045,23.25
12,1302,2008-04-23 00:00:00,1303,1333,2008-04-24 00:00:00,2008-06-09 00:00:00,short,311.0,264.85714285714283,334.62142857142857,264.85714285714283,1.9534321136982173,46.14285714285717,SL,price_time,3.9499999999999886,8.449999999999989,13.050000000000011,13.699999999999989,13.149999999999977,12.699999999999989
13,1424,2008-10-20 00:00:00,1425,1445,2008-10-21 00:00:00,2008-11-20 00:00:00,long,164.0,139.2,129.44285714285715,139.2,-0.7176519222819352,-24.80000000000001,SL,price_time,15.150000000000006,13.650000000000006,13.75,7.25,16.5,-5.300000000000011
