trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,15,2006-04-27 00:00:00,16,55,2006-04-28 00:00:00,2006-06-23 00:00:00,short,53.1,35.443571428571424,65.71571428571428,35.443571428571424,1.3995583739100903,17.656428571428577,SL,price_time,1.9699999999999989,-0.28000000000000114,-2.210000000000001,-1.9299999999999997,0.3400000000000034,1.3599999999999994
2,275,2007-05-16 00:00:00,276,288,2007-05-17 00:00:00,2007-06-04 00:00:00,short,28.18,28.53357142857143,31.265714285714285,28.53357142857143,-0.11458333333333423,-0.3535714285714313,SL,price_time,2.169999999999998,2.719999999999999,3.370000000000001,2.6499999999999986,4.079999999999998,3.6099999999999994
3,401,2007-11-12 00:00:00,402,450,2007-11-13 00:00:00,2008-01-22 00:00:00,long,60.0,84.52285714285713,48.63285714285714,84.52285714285713,2.1573457333165753,24.522857142857134,SL,price_time,3.289999999999999,2.8599999999999994,3.049999999999997,3.8500000000000014,3.8800000000000026,5.680000000000007
4,492,2008-03-25 00:00:00,493,542,2008-03-26 00:00:00,2008-06-09 00:00:00,long,75.99,71.08714285714285,50.95285714285715,71.08714285714285,-0.19582334816843558,-4.902857142857144,SL,price_time,5.359999999999999,2.5799999999999983,2.3500000000000085,5.170000000000002,8.210000000000008,11.810000000000002
5,550,2008-06-19 00:00:00,551,586,2008-06-20 00:00:00,2008-08-08 00:00:00,short,81.9,85.35857142857142,89.10000000000001,85.35857142857142,-0.48035714285714115,-3.4585714285714175,SL,price_date,1.7000000000000028,1.6000000000000085,1.710000000000008,1.9000000000000057,1.9000000000000057,2.3599999999999994
6,629,2008-10-14 00:00:00,630,698,2008-10-15 00:00:00,2009-01-28 00:00:00,short,74.8,56.12428571428572,90.53857142857143,56.12428571428572,1.1866206771353356,18.675714285714278,SL,price_date,5.760000000000005,2.230000000000004,2.799999999999997,3.489999999999995,6.799999999999997,3.549999999999997
7,731,2009-03-19 00:00:00,732,781,2009-03-20 00:00:00,2009-06-05 00:00:00,long,41.59,51.45285714285714,30.38285714285714,51.45285714285714,0.8800509878903752,9.862857142857138,SL,price_time,1.9699999999999989,-0.5900000000000034,-2.6600000000000037,-2.5500000000000043,0.00999999999999801,-1.1900000000000048
8,788,2009-06-16 00:00:00,789,812,2009-06-17 00:00:00,2009-07-20 00:00:00,short,54.82,61.32642857142858,69.33285714285715,61.32642857142858,-0.448321685205237,-6.506428571428579,SL,price_time,3.020000000000003,1.9500000000000028,4.329999999999998,2.259999999999998,3.229999999999997,3.1499999999999986
9,831,2009-08-14 00:00:00,832,848,2009-08-17 00:00:00,2009-09-08 00:00:00,short,66.01,76.44999999999999,77.44714285714285,76.44999999999999,-0.9128153884586555,-10.439999999999984,SL,price_time,2.950000000000003,-0.12999999999999545,-2.0,-1.8199999999999932,-2.019999999999996,-1.5899999999999892
10,874,2009-10-21 00:00:00,875,907,2009-10-22 00:00:00,2009-12-08 00:00:00,short,77.8,81.28714285714287,86.24142857142857,81.28714285714287,-0.41309866305635623,-3.487142857142871,SL,price_time,3.0,2.799999999999997,3.799999999999997,4.989999999999995,7.539999999999992,5.390000000000001
11,1010,2010-05-13 00:00:00,1011,1021,2010-05-14 00:00:00,2010-05-28 00:00:00,short,86.16,94.12357142857142,103.35285714285715,94.12357142857142,-0.4631906938097214,-7.963571428571427,SL,price_time,2.5700000000000074,1.8599999999999994,3.9099999999999966,3.4799999999999898,5.5,4.140000000000001
12,1059,2010-07-21 00:00:00,1060,1156,2010-07-22 00:00:00,2010-12-07 00:00:00,long,84.21,117.49071428571429,78.36857142857143,117.49071428571429,5.697358767424806,33.280714285714296,SL,price_time,1.25,1.5400000000000063,1.5800000000000125,1.220000000000013,-0.0799999999999983,0.8300000000000125
13,1230,2011-03-24 00:00:00,1231,1279,2011-03-25 00:00:00,2011-06-06 00:00:00,long,116.0,118.34428571428572,108.73142857142858,118.34428571428572,0.32252358490566124,2.344285714285718,SL,price_time,3.519999999999996,3.9599999999999937,2.010000000000005,0.8799999999999955,4.030000000000001,0.6500000000000057
14,1303,2011-07-08 00:00:00,1304,1387,2011-07-11 00:00:00,2011-11-15 00:00:00,long,127.4,153.3707142857143,117.81857142857143,153.3707142857143,2.7105263157894752,25.97071428571431,SL,price_time,1.710000000000008,1.3100000000000023,0.8799999999999955,1.5999999999999943,1.6699999999999875,1.9499999999999886
15,1395,2011-11-25 00:00:00,1396,1471,2011-11-28 00:00:00,2012-03-16 00:00:00,long,145.21,159.80928571428572,126.05,159.80928571428572,0.7619668953176255,14.599285714285713,SL,price_time,3.430000000000007,2.1999999999999886,1.3400000000000034,0.549999999999983,3.069999999999993,5.639999999999986
16,1513,2012-05-18 00:00:00,1514,1616,2012-05-21 00:00:00,2012-10-16 00:00:00,long,162.01,187.39499999999998,149.11285714285717,187.39499999999998,1.9682653965440893,25.38499999999999,SL,price_time,5.600000000000023,5.230000000000018,7.810000000000002,7.560000000000002,7.02000000000001,6.990000000000009
17,1662,2012-12-24 00:00:00,1663,1707,2012-12-26 00:00:00,2013-02-26 00:00:00,long,188.0,195.28785714285712,175.44714285714286,195.28785714285712,0.5805735745988377,7.287857142857121,SL,price_time,5.52000000000001,7.150000000000006,8.460000000000008,4.8799999999999955,3.6899999999999977,3.9199999999999875
18,1777,2013-06-11 00:00:00,1778,1810,2013-06-12 00:00:00,2013-07-26 00:00:00,long,179.79,175.6078571428571,161.2242857142857,175.6078571428571,-0.22526161895968114,-4.182142857142878,SL,price_time,3.0,2.700000000000017,2.200000000000017,4.340000000000003,4.320000000000022,5.1299999999999955
19,1834,2013-09-02 00:00:00,1835,1886,2013-09-03 00:00:00,2013-11-20 00:00:00,long,162.0,176.19,140.3042857142857,176.19,0.6540462237439909,14.189999999999998,SL,price_time,6.0800000000000125,8.469999999999999,16.650000000000006,21.120000000000005,16.180000000000007,18.599999999999994
20,2014,2014-05-29 00:00:00,2015,2017,2014-05-30 00:00:00,2014-06-03 00:00:00,short,309.99,346.9571428571428,349.05571428571426,346.9571428571428,-0.9462809917355364,-36.96714285714279,SL,price_date,19.420000000000016,17.350000000000023,-2.3100000000000023,-3.769999999999982,-5.849999999999966,-8.069999999999993
21,2095,2014-09-24 00:00:00,2096,2131,2014-09-25 00:00:00,2014-11-24 00:00:00,short,488.0,535.9192857142857,577.7942857142857,535.9192857142857,-0.5336562937507954,-47.91928571428571,SL,price_date,14.82000000000005,14.850000000000023,4.259999999999991,3.490000000000009,8.439999999999998,10.670000000000016
22,2162,2015-01-07 00:00:00,2163,2234,2015-01-08 00:00:00,2015-04-27 00:00:00,long,559.79,669.645,508.64,669.645,2.14770283479961,109.85500000000002,SL,price_date,21.809999999999945,15.220000000000027,25.040000000000077,35.80000000000007,41.110000000000014,39.379999999999995
23,2309,2015-08-11 00:00:00,2310,2319,2015-08-12 00:00:00,2015-08-25 00:00:00,short,731.0,770.2414285714286,814.9128571428571,770.2414285714286,-0.4676450058734411,-39.24142857142863,SL,price_time,27.659999999999968,27.769999999999982,38.48000000000002,25.940000000000055,35.60000000000002,21.779999999999973
24,2342,2015-09-29 00:00:00,2343,2395,2015-09-30 00:00:00,2015-12-17 00:00:00,short,714.81,684.2207142857143,757.7871428571428,684.2207142857143,0.7117570801755069,30.589285714285666,SL,price_time,14.980000000000018,14.819999999999936,26.329999999999927,18.25,25.399999999999977,18.199999999999932
25,2526,2016-06-28 09:15:00,2527,2556,2016-06-29 09:15:00,2016-08-10 09:15:00,long,624.0,618.8685714285714,567.5228571428571,618.8685714285714,-0.09085850154297637,-5.131428571428614,SL,price_time,14.639999999999986,5.710000000000036,5.809999999999945,20.809999999999945,21.809999999999945,24.049999999999955
26,2592,2016-10-04 09:15:00,2593,2625,2016-10-05 09:15:00,2016-11-24 09:15:00,long,664.95,638.875,620.1357142857144,638.875,-0.5818457124641391,-26.075000000000045,SL,price_time,8.799999999999955,-0.15000000000009095,-0.15000000000009095,3.199999999999932,16.149999999999977,8.899999999999977
27,2650,2016-12-29 09:15:00,2651,2917,2016-12-30 09:17:00,2018-01-25 09:15:00,long,673.65,1102.0392857142858,625.9571428571429,1102.0392857142858,8.98225250861167,428.38928571428585,SL,price_time,3.7999999999999545,1.25,6.9500000000000455,40.10000000000002,39.35000000000002,41.200000000000045
28,3002,2018-06-01 09:17:00,3003,3009,2018-06-04 09:15:00,2018-06-12 09:18:00,short,1162.95,1184.5392857142858,1243.75,1184.5392857142858,-0.2671941301272994,-21.58928571428578,SL,price_time,39.700000000000045,38.850000000000136,77.25,11.799999999999955,-7.649999999999864,5.2999999999999545
