trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,6,2016-03-17 09:15:00,7,19,2016-04-11 10:11:00,2016-07-29 09:23:00,short,1000.5,1077.8915384615384,1169.9285714285713,1077.8915384615384,-0.45677973796860805,-77.3915384615384,SL,price_date,145.3800000000001,0.5,-58.5,-10.5,-4.5,-4.5
2,60,2018-02-19 14:09:00,61,84,2021-12-10 00:00:00,2022-01-12 00:00:00,short,845.0,819.5250000000001,1040.4857142857143,819.5250000000001,0.13031642794504486,25.47499999999991,SL,price_time,111.64999999999998,-61.85000000000002,-52.049999999999955,-16.5,37.14999999999998,11.049999999999955
3,104,2022-02-10 00:00:00,105,133,2022-02-11 00:00:00,2022-03-25 00:00:00,short,781.1,715.375,845.1357142857144,715.375,1.0263803680981591,65.72500000000002,SL,price_time,16.199999999999932,8.75,45.75,51.75,45.950000000000045,47.25
4,210,2022-07-15 00:00:00,211,258,2022-07-18 00:00:00,2022-09-26 00:00:00,long,630.0,682.2535714285714,539.2785714285715,682.2535714285714,0.5759782694276038,52.25357142857138,SL,price_time,51.89999999999998,41.549999999999955,45.450000000000045,53.64999999999998,38.549999999999955,50.85000000000002
5,277,2022-10-24 00:00:00,278,321,2022-10-25 00:00:00,2022-12-27 00:00:00,short,734.85,606.5571428571428,766.5285714285715,606.5571428571428,4.049830890642616,128.2928571428572,SL,price_date,7.600000000000023,17.550000000000068,17.300000000000068,17.850000000000023,21.300000000000068,15.700000000000045
6,332,2023-01-11 00:00:00,333,352,2023-01-12 00:00:00,2023-02-09 00:00:00,short,593.0,540.0964285714285,630.6857142857143,540.0964285714285,1.4038097043214557,52.90357142857147,SL,price_date,15.700000000000045,18.350000000000023,18.350000000000023,23.600000000000023,27.299999999999955,53.85000000000002
7,358,2023-02-17 00:00:00,359,377,2023-02-20 00:00:00,2023-03-17 00:00:00,long,517.0,518.8214285714287,463.6642857142857,518.8214285714287,0.03415026114905767,1.8214285714286689,SL,price_time,57.150000000000034,49.200000000000045,35.549999999999955,41.299999999999955,45.299999999999955,47.700000000000045
8,433,2023-06-12 00:00:00,434,503,2023-06-13 00:00:00,2023-09-21 00:00:00,long,509.95,616.592857142857,480.0714285714286,616.592857142857,3.5692087018886,106.64285714285705,SL,price_time,10.399999999999977,9.550000000000011,15.449999999999989,15.199999999999989,20.500000000000057,31.19999999999999
9,528,2023-10-30 00:00:00,529,548,2023-10-31 00:00:00,2023-11-28 00:00:00,short,589.3,580.3821428571429,621.7642857142857,580.3821428571429,0.27469746974697246,8.917857142857088,SL,price_time,8.0,9.299999999999955,41.25,40.39999999999998,43.25,46.14999999999998
10,571,2024-01-01 00:00:00,572,601,2024-01-02 00:00:00,2024-02-13 00:00:00,long,545.3,540.0321428571428,505.35714285714283,540.0321428571428,-0.13188483547925534,-5.26785714285711,SL,price_date,4.850000000000023,4.850000000000023,6.100000000000023,12.650000000000091,4.050000000000068,4.800000000000068
11,679,2024-06-07 00:00:00,680,759,2024-06-10 00:00:00,2024-10-03 00:00:00,long,504.8,581.1357142857142,466.72857142857146,581.1357142857142,2.005065666041275,76.33571428571423,SL,price_time,9.949999999999989,4.75,20.55000000000001,13.099999999999966,12.099999999999966,23.650000000000034
12,803,2024-12-06 00:00:00,804,890,2024-12-09 00:00:00,2025-04-15 00:00:00,short,482.15,382.3357142857143,525.0428571428571,382.3357142857143,2.3270607826811003,99.81428571428569,SL,price_date,20.400000000000034,14.0,19.69999999999999,23.799999999999955,18.649999999999977,17.299999999999955
13,907,2025-05-12 00:00:00,908,935,2025-05-13 00:00:00,2025-06-19 00:00:00,long,376.0,427.7107142857143,334.3571428571429,427.7107142857143,1.2417667238421966,51.71071428571429,SL,price_date,16.0,13.399999999999977,27.600000000000023,44.10000000000002,74.89999999999998,69.60000000000002
14,947,2025-07-07 00:00:00,948,1048,2025-07-08 00:00:00,2025-12-02 00:00:00,long,422.0,478.0821428571429,390.6642857142857,478.0821428571429,1.7897196261682258,56.08214285714291,SL,price_time,5.699999999999989,5.699999999999989,10.149999999999977,5.149999999999977,2.8000000000000114,0.19999999999998863
