trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,233,2003-12-05 00:00:00,234,273,2003-12-08 00:00:00,2004-02-04 00:00:00,short,29.0,29.11857142857143,32.691428571428574,29.11857142857143,-0.03212074303405564,-0.11857142857142833,SL,price_time,0.41000000000000014,0.23000000000000043,0.10999999999999943,-0.10000000000000142,0.9499999999999993,1.0599999999999987
2,386,2004-08-17 00:00:00,387,410,2004-08-18 00:00:00,2004-09-20 00:00:00,short,37.56,36.15857142857143,40.75857142857143,36.15857142857143,0.4381420276909348,1.4014285714285748,SL,price_time,3.520000000000003,3.5800000000000054,2.3300000000000054,2.980000000000004,3.6600000000000037,2.789999999999999
3,491,2005-01-17 00:00:00,492,550,2005-01-18 00:00:00,2005-04-13 00:00:00,long,39.44,40.30285714285714,33.89,40.30285714285714,0.1554697554697559,0.8628571428571448,SL,price_time,2.3800000000000026,2.0800000000000054,1.7199999999999989,1.6600000000000037,2.3599999999999994,2.6700000000000017
4,620,2005-07-21 00:00:00,621,655,2005-07-22 00:00:00,2005-09-13 00:00:00,short,57.62,59.15,62.57714285714285,59.15,-0.3086455331412107,-1.5300000000000011,SL,price_time,1.7899999999999991,1.4699999999999989,2.6199999999999974,4.489999999999995,3.719999999999999,2.1699999999999946
5,755,2006-02-08 00:00:00,756,784,2006-02-10 00:00:00,2006-03-23 00:00:00,short,72.72,74.48928571428573,77.86,74.48928571428573,-0.3442190105614259,-1.7692857142857292,SL,price_time,0.9899999999999949,2.269999999999996,2.6500000000000057,3.4299999999999926,3.510000000000005,3.469999999999999
6,792,2006-04-04 00:00:00,793,807,2006-04-05 00:00:00,2006-04-28 00:00:00,long,77.62,71.60714285714286,70.03571428571428,71.60714285714286,-0.7928046713128637,-6.012857142857143,SL,price_date,3.6200000000000045,2.519999999999996,2.009999999999991,-0.3299999999999983,-1.240000000000009,-1.4200000000000017
7,835,2006-06-08 00:00:00,836,964,2006-06-09 00:00:00,2006-12-12 00:00:00,long,56.8,84.525,45.182857142857145,84.525,2.386559272011807,27.72500000000001,SL,price_time,3.5800000000000054,7.460000000000008,7.5,6.609999999999999,4.600000000000001,7.150000000000006
8,968,2006-12-18 00:00:00,969,989,2006-12-19 00:00:00,2007-01-18 00:00:00,short,86.26,94.69285714285715,96.52142857142857,94.69285714285715,-0.8218014757065298,-8.432857142857145,SL,price_time,2.3499999999999943,2.2900000000000063,2.5900000000000034,2.1200000000000045,1.4100000000000108,-1.559999999999988
9,1015,2007-02-28 00:00:00,1016,1063,2007-03-01 00:00:00,2007-05-11 00:00:00,long,82.08,93.485,73.50857142857143,93.485,1.3305833333333337,11.405000000000001,SL,price_time,2.3200000000000074,3.1500000000000057,4.3799999999999955,1.9699999999999989,2.5,2.5799999999999983
10,1133,2007-08-20 00:00:00,1134,1147,2007-08-21 00:00:00,2007-09-07 00:00:00,short,96.8,100.74785714285713,104.85142857142857,100.74785714285713,-0.4903300212916947,-3.9478571428571314,SL,price_date,1.2999999999999972,2.280000000000001,4.670000000000002,6.509999999999991,7.019999999999996,6.319999999999993
