trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,65,2006-07-25 00:00:00,66,80,2006-07-26 00:00:00,2006-08-16 00:00:00,long,267.56,302.8192857142857,232.26,302.8192857142857,0.9988466208012937,35.25928571428568,SL,price_time,4.710000000000036,6.600000000000023,6.819999999999993,9.430000000000007,22.129999999999995,27.279999999999973
2,208,2007-02-22 00:00:00,209,240,2007-02-23 00:00:00,2007-04-11 00:00:00,short,422.25,409.3307142857143,471.14285714285717,409.3307142857143,0.26423666910153365,12.919285714285706,SL,price_time,27.0,29.75,39.5,34.76999999999998,45.69999999999999,40.93000000000001
3,334,2007-08-24 00:00:00,335,363,2007-08-27 00:00:00,2007-10-05 00:00:00,long,307.0,321.25,242.70000000000002,321.25,0.2216174183514775,14.25,SL,price_date,12.300000000000011,2.0,6.949999999999989,5.0,23.30000000000001,27.149999999999977
4,432,2008-01-14 00:00:00,433,505,2008-01-15 00:00:00,2008-05-02 00:00:00,short,408.05,328.0642857142857,454.91428571428565,328.0642857142857,1.7067520195092245,79.98571428571432,SL,price_date,17.099999999999966,18.69999999999999,4.600000000000023,22.100000000000023,41.85000000000002,47.80000000000001
5,574,2008-08-08 00:00:00,575,598,2008-08-11 00:00:00,2008-09-15 00:00:00,long,252.0,221.65,217.3,221.65,-0.8746397694524497,-30.349999999999994,SL,price_date,2.6500000000000057,0.5,0.05000000000001137,-0.5,-5.400000000000006,-12.199999999999989
6,665,2008-12-26 00:00:00,666,683,2008-12-29 00:00:00,2009-01-22 00:00:00,long,163.0,151.55714285714288,134.0857142857143,151.55714285714288,-0.3957509881422918,-11.442857142857122,SL,price_time,4.649999999999977,6.199999999999989,21.05000000000001,17.44999999999999,25.5,22.400000000000006
7,734,2009-04-15 00:00:00,735,748,2009-04-16 00:00:00,2009-05-07 00:00:00,short,205.8,225.00357142857143,234.25714285714287,225.00357142857143,-0.6748242971887548,-19.203571428571422,SL,price_time,15.0,18.350000000000023,9.200000000000017,5.900000000000006,4.600000000000023,11.0
8,796,2009-07-14 00:00:00,797,868,2009-07-15 00:00:00,2009-10-29 00:00:00,long,224.5,313.6142857142857,193.75714285714287,313.6142857142857,2.898698884758365,89.1142857142857,SL,price_time,3.8999999999999773,-0.5500000000000114,7.75,19.400000000000006,12.599999999999994,19.0
9,924,2010-01-21 00:00:00,925,952,2010-01-22 00:00:00,2010-03-05 00:00:00,short,388.0,401.5857142857143,445.7,401.5857142857143,-0.23545432037633088,-13.585714285714289,SL,price_date,12.350000000000023,7.75,8.0,17.899999999999977,1.4499999999999886,1.5
10,1064,2010-08-13 00:00:00,1065,1088,2010-08-16 00:00:00,2010-09-17 00:00:00,short,510.0,523.1071428571428,585.6999999999999,523.1071428571428,-0.17314587658048597,-13.107142857142776,SL,price_time,21.349999999999966,21.94999999999999,26.75,27.149999999999977,24.850000000000023,25.75
11,1104,2010-10-11 00:00:00,1105,1126,2010-10-12 00:00:00,2010-11-10 00:00:00,short,529.8,535.4285714285713,573.2428571428571,535.4285714285713,-0.12956264386714766,-5.628571428571377,SL,price_date,5.5,8.049999999999955,9.899999999999977,16.449999999999932,17.09999999999991,19.249999999999943
12,1260,2011-05-26 00:00:00,1261,1265,2011-05-27 00:00:00,2011-06-02 00:00:00,long,383.0,344.4428571428572,343.63571428571424,344.4428571428572,-0.9794955543458518,-38.55714285714282,SL,price_time,7.150000000000034,5.350000000000023,8.800000000000011,7.050000000000011,-5.25,-110.44999999999999
13,1351,2011-10-05 00:00:00,1352,1353,2011-10-07 00:00:00,2011-10-10 00:00:00,long,238.35,227.57142857142856,191.05714285714285,227.57142857142856,-0.227911191662891,-10.77857142857144,SL,price_time,31.599999999999966,24.549999999999983,49.650000000000006,46.25000000000003,37.400000000000006,33.650000000000006
14,1436,2012-02-10 00:00:00,1437,1481,2012-02-13 00:00:00,2012-04-19 00:00:00,short,329.9,308.9714285714286,378.74999999999994,308.9714285714286,0.42842520836379533,20.928571428571388,SL,price_time,21.400000000000034,10.5,13.449999999999989,4.849999999999966,7.699999999999989,6.449999999999989
15,1523,2012-06-19 00:00:00,1524,1551,2012-06-20 00:00:00,2012-07-27 00:00:00,long,270.4,278.26071428571424,199.57142857142856,278.26071428571424,0.11098225090762377,7.860714285714266,SL,price_time,9.949999999999989,8.350000000000023,8.350000000000023,10.950000000000045,22.55000000000001,30.55000000000001
16,1572,2012-08-29 00:00:00,1573,1611,2012-08-30 00:00:00,2012-10-26 00:00:00,long,284.6,320.4607142857143,259.72857142857146,320.4607142857143,1.4418437679494538,35.860714285714266,SL,price_date,10.799999999999955,10.799999999999955,6.0,8.299999999999955,10.699999999999989,12.949999999999989
17,1711,2013-03-20 00:00:00,1712,1731,2013-03-21 00:00:00,2013-04-22 00:00:00,short,418.0,398.23928571428576,465.4571428571428,398.23928571428576,0.4163907284768208,19.760714285714243,SL,price_time,33.900000000000034,33.80000000000001,30.350000000000023,22.94999999999999,39.60000000000002,27.5
