trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,266,2004-01-22 00:00:00,267,290,2004-01-23 00:00:00,2004-02-27 00:00:00,long,35.22,32.88285714285714,28.865714285714283,32.88285714285714,-0.3678057553956835,-2.337142857142858,SL,price_time,2.1499999999999986,1.7899999999999991,3.9399999999999977,2.3100000000000023,2.740000000000002,0.990000000000002
2,352,2004-06-30 00:00:00,353,390,2004-07-01 00:00:00,2004-08-23 00:00:00,long,22.4,23.69142857142857,16.252857142857145,23.69142857142857,0.21008598652103203,1.2914285714285718,SL,price_time,0.8000000000000007,0.7800000000000011,0.39000000000000057,0.3500000000000014,1.8800000000000026,2.2200000000000024
3,538,2005-03-28 00:00:00,539,568,2005-03-29 00:00:00,2005-05-10 00:00:00,short,34.07,35.396428571428565,36.84428571428571,35.396428571428565,-0.47811534500514763,-1.3264285714285649,SL,price_time,1.1099999999999994,1.1799999999999997,-0.3299999999999983,-0.5399999999999991,-0.8800000000000026,-0.3200000000000003
4,786,2006-03-27 00:00:00,787,851,2006-03-28 00:00:00,2006-06-30 00:00:00,short,57.62,46.871428571428574,62.17142857142857,46.871428571428574,2.361581920903953,10.748571428571424,SL,price_time,1.1099999999999994,1.3399999999999963,1.759999999999998,2.239999999999995,1.4199999999999946,1.1799999999999997
5,1020,2007-03-07 00:00:00,1021,1125,2007-03-08 00:00:00,2007-08-07 00:00:00,long,48.25,63.135714285714286,41.17285714285714,63.135714285714286,2.1033508276140482,14.885714285714286,SL,price_time,2.299999999999997,2.1799999999999997,0.990000000000002,1.2800000000000011,1.7199999999999989,1.5
6,1131,2007-08-16 00:00:00,1132,1168,2007-08-17 00:00:00,2007-10-09 00:00:00,long,66.49,84.18785714285715,58.190000000000005,84.18785714285715,2.132271944922552,17.69785714285716,SL,price_date,0.6500000000000057,1.190000000000012,-0.11999999999999034,-0.7999999999999972,-0.7999999999999972,-0.6799999999999926
7,1177,2007-10-22 00:00:00,1178,1238,2007-10-23 00:00:00,2008-01-17 00:00:00,long,98.43,137.2485714285714,57.28999999999999,137.2485714285714,0.9435724703104372,38.8185714285714,SL,price_date,5.710000000000008,3.6299999999999955,6.86999999999999,9.679999999999993,11.289999999999992,15.759999999999991
8,1256,2008-02-12 00:00:00,1257,1271,2008-02-13 00:00:00,2008-03-04 00:00:00,long,116.19,114.34714285714287,87.27285714285715,114.34714285714287,-0.06372888054540013,-1.8428571428571274,SL,price_date,2.9099999999999966,0.9200000000000017,7.150000000000006,8.760000000000005,11.849999999999994,9.019999999999996
9,1282,2008-03-24 00:00:00,1283,1328,2008-03-25 00:00:00,2008-06-02 00:00:00,long,109.05,128.71571428571428,80.27857142857142,128.71571428571428,0.6835153922542205,19.665714285714287,SL,price_date,7.049999999999997,3.6099999999999994,3.1899999999999977,3.8100000000000023,8.310000000000002,4.0
10,1349,2008-07-01 00:00:00,1350,1401,2008-07-02 00:00:00,2008-09-15 00:00:00,long,97.35,95.23,81.38142857142857,95.23,-0.1327607801037747,-2.1199999999999903,SL,price_date,8.870000000000005,8.870000000000005,-0.22999999999998977,9.27000000000001,7.359999999999999,2.1000000000000085
11,1436,2008-11-06 00:00:00,1437,1478,2008-11-07 00:00:00,2009-01-12 00:00:00,long,65.88,70.12928571428571,51.27142857142857,70.12928571428571,0.29087619792685354,4.249285714285719,SL,price_time,1.6299999999999955,5.010000000000005,12.050000000000011,6.790000000000006,4.740000000000009,6.180000000000007
12,1484,2009-01-20 00:00:00,1485,1524,2009-01-21 00:00:00,2009-03-23 00:00:00,short,72.96,67.495,85.77,67.495,0.4266198282591716,5.464999999999989,SL,price_time,5.239999999999995,4.029999999999987,4.1299999999999955,4.579999999999998,1.529999999999987,0.5
13,1546,2009-04-28 00:00:00,1547,1598,2009-04-29 00:00:00,2009-07-13 00:00:00,long,81.64,100.04785714285714,71.17142857142856,100.04785714285714,1.7583924672489066,18.40785714285714,SL,price_time,5.550000000000011,4.900000000000006,5.719999999999999,5.510000000000005,6.390000000000001,6.280000000000001
14,1616,2009-08-06 00:00:00,1617,1663,2009-08-07 00:00:00,2009-10-16 00:00:00,short,122.17,134.085,137.40142857142857,134.085,-0.7822641155505541,-11.915000000000006,SL,price_date,5.859999999999999,3.1899999999999977,0.7900000000000063,-0.8700000000000045,0.9300000000000068,-2.260000000000005
15,1682,2009-11-16 00:00:00,1683,1714,2009-11-17 00:00:00,2010-01-04 00:00:00,short,129.41,134.39857142857142,140.78142857142856,134.39857142857142,-0.43869346733668274,-4.988571428571419,SL,price_time,1.1799999999999926,2.1099999999999994,1.7199999999999989,2.1400000000000006,1.9200000000000017,0.19999999999998863
16,1743,2010-02-16 00:00:00,1744,1797,2010-02-17 00:00:00,2010-05-07 00:00:00,long,120.14,123.93357142857144,110.86285714285715,123.93357142857144,0.40891592238989993,3.7935714285714397,SL,price_time,2.4799999999999898,1.6799999999999926,0.769999999999996,-0.4399999999999977,0.9299999999999926,0.6599999999999966
17,1811,2010-05-27 00:00:00,1812,1869,2010-05-28 00:00:00,2010-08-17 00:00:00,long,120.77,123.63714285714288,109.5,123.63714285714288,0.2544048675370791,2.8671428571428805,SL,price_time,2.3599999999999994,1.8500000000000085,3.2700000000000102,0.38000000000000966,-1.0,-0.6599999999999966
18,1879,2010-08-31 00:00:00,1880,1933,2010-09-01 00:00:00,2010-11-16 00:00:00,long,118.5,129.45785714285714,111.18857142857144,129.45785714285714,1.4987299726455652,10.957857142857137,SL,price_time,1.6099999999999994,1.0699999999999932,3.1599999999999966,2.1899999999999977,5.230000000000004,4.069999999999993
19,1936,2010-11-22 00:00:00,1937,1964,2010-11-23 00:00:00,2010-12-31 00:00:00,short,128.93,132.98642857142858,137.81428571428572,132.98642857142858,-0.45658465991316927,-4.056428571428569,SL,price_date,4.700000000000003,3.5700000000000074,4.52000000000001,6.1000000000000085,4.420000000000002,2.8900000000000006
20,2005,2011-03-01 00:00:00,2006,2048,2011-03-03 00:00:00,2011-05-05 00:00:00,long,110.75,120.72071428571428,101.02999999999999,120.72071428571428,1.0257936507936487,9.97071428571428,SL,price_date,3.8999999999999915,4.239999999999995,7.3799999999999955,8.540000000000006,8.049999999999997,8.120000000000005
21,2123,2011-08-19 00:00:00,2124,2139,2011-08-22 00:00:00,2011-09-14 00:00:00,long,101.33,92.965,90.0142857142857,92.965,-0.7392374700164112,-8.364999999999995,SL,price_date,3.569999999999993,3.9200000000000017,3.5,-1.1299999999999955,-0.3999999999999915,-3.5600000000000023
22,2203,2011-12-21 00:00:00,2204,2263,2011-12-22 00:00:00,2012-03-19 00:00:00,long,82.61,99.155,67.60285714285715,99.155,1.102475011899096,16.545,SL,price_time,2.1200000000000045,3.3700000000000045,2.3599999999999994,2.700000000000003,4.769999999999996,6.170000000000002
23,2284,2012-04-19 00:00:00,2285,2334,2012-04-20 00:00:00,2012-06-29 00:00:00,short,103.98,96.76928571428572,112.73857142857143,96.76928571428572,0.8232751590278914,7.210714285714289,SL,price_time,2.3599999999999994,2.6000000000000085,5.689999999999998,2.700000000000003,1.740000000000009,5.310000000000002
24,2346,2012-07-17 00:00:00,2347,2353,2012-07-18 00:00:00,2012-07-26 00:00:00,long,91.68,89.14,86.04714285714287,89.14,-0.45092569109815045,-2.5400000000000063,SL,price_time,2.75,3.4199999999999875,5.589999999999989,4.389999999999986,2.509999999999991,1.8799999999999955
