trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,9,2019-01-01,10,45,2019-01-02,2019-02-20,short,252.05,254.20000000000002,283.52,254.20000000000002,-0.06831903400063577,-2.1500000000000057,SL,price_date,13.949999999999989,4.350000000000023,10.200000000000017,12.050000000000011,3.950000000000017,7.050000000000011
2,97,2019-05-13,98,120,2019-05-14,2019-06-14,long,230.05,240.2142857142857,204.42857142857142,240.2142857142857,0.3967103429049329,10.164285714285683,SL,price_date,4.25,3.8999999999999773,-1.0500000000000114,0.799999999999983,0.0,7.649999999999977
3,144,2019-07-18,145,189,2019-07-19,2019-09-25,short,263.4,273.625,312.4214285714286,273.625,-0.20858225265918728,-10.225000000000023,SL,price_date,8.949999999999989,3.599999999999966,-0.35000000000002274,3.3999999999999773,3.5499999999999545,8.399999999999977
4,409,2020-08-14,410,435,2020-08-17,2020-09-21,long,187.0,190.44642857142856,162.78571428571428,190.44642857142856,0.14233038348082525,3.446428571428555,SL,price_time,17.950000000000017,10.900000000000006,11.550000000000011,10.150000000000006,12.5,12.050000000000011
5,514,2021-01-13,515,533,2021-01-14,2021-02-10,short,265.15,285.3,302.9428571428572,285.3,-0.5331695331695332,-20.150000000000034,SL,price_date,11.350000000000023,8.75,10.599999999999966,9.599999999999966,9.549999999999983,6.199999999999989
6,565,2021-03-30,566,641,2021-03-31,2021-07-20,long,296.8,303.5785714285715,262.9071428571429,303.5785714285715,0.20000000000000134,6.7785714285714675,SL,price_time,13.850000000000023,10.050000000000011,19.30000000000001,21.5,11.849999999999966,14.599999999999966
7,651,2021-08-04,652,671,2021-08-05,2021-09-02,short,308.0,293.9642857142857,349.6642857142857,293.9642857142857,0.3368763929367391,14.035714285714278,SL,price_date,3.3500000000000227,5.550000000000011,7.0,11.5,23.25,18.94999999999999
8,694,2021-10-06,695,741,2021-10-07,2021-12-15,short,289.0,255.07142857142858,309.1142857142857,255.07142857142858,1.6867897727272734,33.928571428571416,SL,price_time,4.399999999999977,6.399999999999977,5.5,5.899999999999977,5.800000000000011,11.149999999999977
9,768,2022-01-21,769,775,2022-01-24,2022-02-02,short,252.5,262.7607142857143,274.2928571428571,262.7607142857143,-0.47082923631596385,-10.2607142857143,SL,price_time,13.099999999999994,18.69999999999999,17.94999999999999,17.349999999999994,6.849999999999994,3.8000000000000114
10,798,2022-03-08,799,840,2022-03-09,2022-05-11,long,234.95,264.78571428571433,207.20000000000002,264.78571428571433,1.0751608751608783,29.835714285714346,SL,price_time,4.900000000000006,0.45000000000001705,7.800000000000011,6.800000000000011,9.950000000000017,2.200000000000017
11,869,2022-06-21,870,907,2022-06-22,2022-08-16,long,259.6,274.53214285714284,215.6,274.53214285714284,0.33936688311688207,14.932142857142821,SL,price_date,9.5,9.949999999999989,21.349999999999966,21.599999999999966,22.44999999999999,26.75
12,940,2022-10-03,941,996,2022-10-04,2022-12-23,long,270.5,308.7857142857143,244.6,308.7857142857143,1.4782129067843348,38.28571428571428,SL,price_date,7.100000000000023,3.75,8.649999999999977,9.050000000000011,8.050000000000011,7.899999999999977
13,1136,2023-07-19,1137,1156,2023-07-20,2023-08-17,short,452.5,497.1071428571429,506.3142857142857,497.1071428571429,-0.8289089461109647,-44.60714285714289,SL,price_time,13.399999999999977,14.0,-4.600000000000023,-6.600000000000023,-34.69999999999999,-26.44999999999999
14,1215,2023-11-12,1216,1219,2023-11-13,2023-11-17,short,617.0,675.55,675.7285714285714,675.55,-0.9969593772804668,-58.549999999999955,SL,price_date,14.350000000000023,16.75,4.7999999999999545,-38.60000000000002,-54.64999999999998,-109.35000000000002
15,1294,2024-03-05,1295,1307,2024-03-06,2024-03-26,short,759.95,737.4928571428571,831.9785714285714,737.4928571428571,0.311781039270132,22.457142857142912,SL,price_time,36.700000000000045,43.65000000000009,18.300000000000068,46.10000000000002,64.60000000000002,117.60000000000002
16,1504,2025-01-10,1505,1551,2025-01-13,2025-03-19,short,1320.0,1060.692857142857,1611.8357142857142,1060.692857142857,0.8885380718114405,259.30714285714294,SL,price_date,102.95000000000005,23.90000000000009,5.9500000000000455,56.09999999999991,3.650000000000091,31.450000000000045
17,1568,2025-04-16,1569,1638,2025-04-17,2025-07-25,long,1030.0,1453.742857142857,907.0857142857143,1453.742857142857,3.4474662947466284,423.742857142857,SL,price_date,24.5,27.799999999999955,125.70000000000005,89.90000000000009,105.70000000000005,70.20000000000005
