trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,89,2003-05-14 00:00:00,90,95,2003-05-15 00:00:00,2003-05-22 00:00:00,short,35.0,38.03642857142857,38.25714285714285,38.03642857142857,-0.9322368421052648,-3.036428571428573,SL,price_date,1.4500000000000028,1.3200000000000003,-0.490000000000002,-0.18999999999999773,-0.7000000000000028,-1.4500000000000028
2,123,2003-07-01 00:00:00,124,165,2003-07-02 00:00:00,2003-08-29 00:00:00,short,56.4,54.736428571428576,62.96142857142857,54.736428571428576,0.25353799259743004,1.663571428571423,SL,price_time,2.289999999999999,3.1299999999999955,3.3200000000000003,2.6799999999999997,3.1000000000000014,4.280000000000001
3,173,2003-09-10 00:00:00,174,203,2003-09-11 00:00:00,2003-10-23 00:00:00,long,55.5,56.74285714285715,47.248571428571424,56.74285714285715,0.1506232686980614,1.2428571428571473,SL,price_time,2.259999999999998,1.1899999999999977,0.4200000000000017,-0.00999999999999801,2.1400000000000006,3.1499999999999986
4,252,2004-01-02 00:00:00,253,255,2004-01-05 00:00:00,2004-01-07 00:00:00,short,87.13,95.62285714285714,96.38,95.62285714285714,-0.9181467181467187,-8.492857142857147,SL,price_time,2.0400000000000063,3.030000000000001,3.3100000000000023,3.799999999999997,1.6099999999999994,2.289999999999992
5,270,2004-01-29 00:00:00,271,301,2004-01-30 00:00:00,2004-03-16 00:00:00,short,80.02,77.51642857142858,86.75285714285714,77.51642857142858,0.3718438361977496,2.5035714285714192,SL,price_time,4.25,4.259999999999991,10.25,9.239999999999995,6.8999999999999915,6.769999999999996
6,307,2004-03-24 00:00:00,308,342,2004-03-25 00:00:00,2004-05-17 00:00:00,long,70.42,78.01,62.27285714285714,78.01,0.9316149395055234,7.590000000000003,SL,price_date,5.029999999999987,4.6499999999999915,5.179999999999993,5.549999999999997,5.179999999999993,3.3900000000000006
7,395,2004-08-30 00:00:00,396,420,2004-08-31 00:00:00,2004-10-04 00:00:00,short,86.0,91.86500000000001,96.83142857142857,91.86500000000001,-0.5414798206278034,-5.865000000000009,SL,price_date,0.8699999999999903,0.23999999999999488,0.6899999999999977,2.0999999999999943,1.9699999999999989,-0.3199999999999932
8,434,2004-10-26 00:00:00,435,488,2004-10-27 00:00:00,2005-01-12 00:00:00,long,88.2,98.05071428571429,81.27714285714286,98.05071428571429,1.4229261246388787,9.85071428571429,SL,price_time,1.3200000000000074,0.8599999999999994,0.12999999999999545,1.0600000000000023,2.4399999999999977,2.450000000000003
9,527,2005-03-10 00:00:00,528,548,2005-03-11 00:00:00,2005-04-11 00:00:00,short,124.89,128.03214285714284,142.68571428571428,128.03214285714284,-0.1765673918278872,-3.1421428571428436,SL,price_time,6.460000000000008,7.680000000000007,6.140000000000001,7.8799999999999955,8.480000000000004,13.120000000000005
10,558,2005-04-26 00:00:00,559,604,2005-04-27 00:00:00,2005-06-29 00:00:00,long,125.05,119.13,116.53714285714285,119.13,-0.6954186944118143,-5.920000000000002,SL,price_date,3.640000000000015,4.410000000000011,3.1000000000000085,1.75,2.210000000000008,1.3100000000000023
11,660,2005-09-20 00:00:00,661,667,2005-09-21 00:00:00,2005-09-29 00:00:00,short,163.2,175.62928571428571,177.1457142857143,175.62928571428571,-0.8912620364679367,-12.429285714285726,SL,price_time,3.8600000000000136,3.289999999999992,4.030000000000001,3.2299999999999898,6.909999999999997,7.599999999999994
12,753,2006-02-06 00:00:00,754,771,2006-02-07 00:00:00,2006-03-03 00:00:00,short,235.22,257.9607142857143,278.79857142857145,257.9607142857143,-0.5218324864776265,-22.74071428571429,SL,price_time,4.269999999999982,-5.5800000000000125,-6.659999999999997,-12.419999999999987,-12.719999999999999,-9.400000000000006
13,814,2006-05-10 00:00:00,815,821,2006-05-11 00:00:00,2006-05-19 00:00:00,short,345.15,365.8178571428572,387.15,365.8178571428572,-0.49209183673469525,-20.6678571428572,SL,price_date,7.2999999999999545,7.2999999999999545,6.5499999999999545,14.75,31.799999999999955,11.25
14,915,2006-09-29 00:00:00,916,921,2006-10-03 00:00:00,2006-10-10 00:00:00,short,317.7,337.0535714285714,347.5142857142857,337.0535714285714,-0.6491375179683753,-19.3535714285714,SL,price_time,5.600000000000023,9.550000000000011,15.949999999999989,14.449999999999989,-0.35000000000002274,-11.400000000000034
15,989,2007-01-18 00:00:00,990,1046,2007-01-19 00:00:00,2007-04-16 00:00:00,short,423.0,416.38214285714287,471.72857142857146,416.38214285714287,0.1358106127235412,6.617857142857133,SL,price_date,9.449999999999989,10.949999999999989,15.350000000000023,17.69999999999999,22.30000000000001,17.850000000000023
16,1086,2007-06-13 00:00:00,1087,1174,2007-06-14 00:00:00,2007-10-17 00:00:00,long,479.25,705.5428571428571,416.6214285714286,705.5428571428571,3.6132527372262797,226.2928571428571,SL,price_date,5.850000000000023,10.75,16.600000000000023,20.850000000000023,19.850000000000023,26.5
17,1214,2007-12-12 00:00:00,1215,1266,2007-12-13 00:00:00,2008-02-26 00:00:00,short,898.0,697.375,972.0142857142857,697.375,2.7106253618992464,200.625,SL,price_date,24.850000000000023,52.85000000000002,58.39999999999998,72.54999999999995,72.39999999999998,70.79999999999995
18,1269,2008-02-29 00:00:00,1270,1364,2008-03-03 00:00:00,2008-07-22 00:00:00,short,655.0,416.98571428571427,776.7285714285714,416.98571428571427,1.9552869381527995,238.01428571428573,SL,price_time,19.350000000000023,13.25,-3.1000000000000227,14.5,35.75,52.35000000000002
19,1434,2008-11-04 00:00:00,1435,1442,2008-11-05 00:00:00,2008-11-17 00:00:00,long,330.0,258.6,258.6,258.6,-1.0,-71.39999999999998,SL,price_date,3.8999999999999773,4.949999999999989,-1.1999999999999886,-14.699999999999989,-10.949999999999989,-25.149999999999977
20,1506,2009-02-20 00:00:00,1507,1624,2009-02-24 00:00:00,2009-08-18 00:00:00,long,151.15,394.91071428571433,143.52142857142857,394.91071428571433,31.953651685393243,243.76071428571433,SL,price_date,4.75,10.75,6.799999999999983,8.949999999999989,7.400000000000006,6.0
21,1747,2010-02-22 00:00:00,1748,1752,2010-02-23 00:00:00,2010-03-02 00:00:00,short,587.0,626.6999999999999,662.5571428571428,626.6999999999999,-0.5254301380223098,-39.69999999999993,SL,price_date,12.050000000000068,13.700000000000045,21.649999999999977,2.1000000000000227,-3.4500000000000455,-49.200000000000045
22,1755,2010-03-05 00:00:00,1756,1795,2010-03-08 00:00:00,2010-05-05 00:00:00,long,636.85,684.8428571428572,577.4214285714286,684.8428571428572,0.807572115384615,47.99285714285713,SL,price_time,8.050000000000068,4.100000000000023,19.600000000000023,35.44999999999993,50.89999999999998,48.14999999999998
23,1818,2010-06-07 00:00:00,1819,1856,2010-06-08 00:00:00,2010-07-29 00:00:00,long,674.0,739.0428571428572,626.0142857142857,739.0428571428572,1.3554629353974414,65.0428571428572,SL,price_time,16.649999999999977,23.0,30.149999999999977,28.850000000000023,22.200000000000045,20.200000000000045
24,2027,2011-04-01 00:00:00,2028,2047,2011-04-04 00:00:00,2011-05-04 00:00:00,long,633.45,623.1071428571429,558.2642857142856,623.1071428571429,-0.13756412692380762,-10.342857142857156,SL,price_time,28.149999999999977,28.649999999999977,34.25,36.44999999999993,49.5,62.549999999999955
25,2077,2011-06-15 00:00:00,2078,2135,2011-06-16 00:00:00,2011-09-08 00:00:00,short,629.0,531.7285714285714,651.7571428571429,531.7285714285714,4.274325172630257,97.2714285714286,SL,price_date,12.299999999999955,25.549999999999955,37.60000000000002,36.14999999999998,39.299999999999955,44.950000000000045
26,2144,2011-09-21 00:00:00,2145,2169,2011-09-22 00:00:00,2011-10-31 00:00:00,short,497.1,470.25357142857143,548.8928571428571,470.25357142857143,0.5183422976141231,26.84642857142859,SL,price_date,14.050000000000011,6.350000000000023,1.2000000000000455,6.100000000000023,10.800000000000011,13.050000000000011
27,2245,2012-02-21 00:00:00,2246,2318,2012-02-22 00:00:00,2012-06-07 00:00:00,short,546.85,460.5642857142857,620.5428571428571,460.5642857142857,1.1708830086265407,86.28571428571433,SL,price_time,7.300000000000068,9.700000000000045,15.25,19.899999999999977,37.0,13.600000000000023
28,2401,2012-10-08 00:00:00,2402,2438,2012-10-09 00:00:00,2012-12-03 00:00:00,short,584.5,614.0749999999999,644.6071428571428,614.0749999999999,-0.4920380273321445,-29.574999999999932,SL,price_date,8.099999999999909,10.549999999999955,22.5,4.850000000000023,20.75,18.649999999999977
29,2466,2013-01-11 00:00:00,2467,2550,2013-01-14 00:00:00,2013-05-16 00:00:00,short,605.0,602.0000000000001,655.7642857142857,602.0000000000001,0.059096665259600945,2.9999999999998863,SL,price_date,8.0,3.6499999999999773,4.600000000000023,14.399999999999977,2.3999999999999773,14.899999999999977
