trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,35,2017-12-21 09:19:00,36,54,2017-12-22 09:22:00,2018-01-18 09:17:00,long,268.2,267.28214285714284,235.77142857142857,267.28214285714284,-0.028303964757709313,-0.9178571428571445,SL,price_time,5.550000000000011,1.8500000000000227,5.25,2.6000000000000227,3.150000000000034,1.3500000000000227
2,83,2018-03-05 09:15:00,84,101,2018-03-06 09:15:00,2018-04-02 09:16:00,short,270.0,249.07857142857142,293.93571428571425,249.07857142857142,0.8740674425544628,20.921428571428578,SL,price_date,4.400000000000034,8.350000000000023,9.800000000000011,5.75,9.300000000000011,9.0
3,138,2018-05-24 09:18:00,139,178,2018-05-25 09:20:00,2018-07-19 09:18:00,long,213.25,223.66785714285714,196.43571428571428,223.66785714285714,0.6195836873406967,10.417857142857144,SL,price_time,9.599999999999994,8.5,15.400000000000006,12.599999999999994,4.550000000000011,3.6999999999999886
4,188,2018-08-02 09:17:00,189,220,2018-08-03 09:16:00,2018-09-21 09:15:00,long,243.0,286.99642857142857,221.9,286.99642857142857,2.085138794854435,43.99642857142857,SL,price_time,8.600000000000023,7.550000000000011,3.75,-1.4499999999999886,-3.5999999999999943,-0.5999999999999943
5,262,2018-11-27 09:15:00,263,342,2018-11-28 09:15:00,2019-03-22 00:00:00,long,288.1,366.5357142857143,253.1357142857143,366.5357142857143,2.2433094994892735,78.43571428571425,SL,price_time,6.800000000000011,9.0,11.449999999999989,12.049999999999955,17.399999999999977,27.69999999999999
6,361,2019-04-22 00:00:00,362,425,2019-04-23 00:00:00,2019-07-24 00:00:00,long,354.2,380.67142857142863,332.0571428571429,380.67142857142863,1.195483870967747,26.471428571428646,SL,price_time,22.05000000000001,27.75,25.100000000000023,24.850000000000023,25.900000000000034,26.19999999999999
7,519,2019-12-13 00:00:00,520,541,2019-12-16 00:00:00,2020-01-15 00:00:00,short,493.0,521.125,522.8928571428571,521.125,-0.9408602150537645,-28.125,SL,price_date,6.400000000000034,17.80000000000001,14.600000000000023,19.80000000000001,9.100000000000023,0.5
8,646,2020-06-19 00:00:00,647,713,2020-06-22 00:00:00,2020-09-22 00:00:00,long,433.45,599.5821428571428,371.78571428571433,599.5821428571428,2.694138769836675,166.1321428571428,SL,price_time,6.100000000000023,-5.849999999999966,1.6000000000000227,5.350000000000023,7.150000000000034,12.400000000000034
9,725,2020-10-09 00:00:00,726,736,2020-10-12 00:00:00,2020-10-26 00:00:00,short,598.8,629.9392857142857,679.3714285714285,629.9392857142857,-0.38648049645390103,-31.139285714285734,SL,price_date,7.75,17.449999999999932,13.449999999999932,12.0,23.84999999999991,24.399999999999977
10,800,2021-01-27 00:00:00,801,805,2021-01-28 00:00:00,2021-02-03 00:00:00,short,782.0,841.8285714285714,852.0785714285714,841.8285714285714,-0.85373560289471,-59.82857142857142,SL,price_time,32.80000000000007,25.200000000000045,2.7999999999999545,-14.0,-23.299999999999955,-61.25
