trade_no,signal_index,signal_date,entry_index,exit_index,entry_date,exit_date,position,entry_price,exit_price,initial_stop_price,final_stop_price,R,pnl,exit_reason,square_type,pts_Tm1,pts_T,pts_T1,pts_T2,pts_T3,pts_T4
1,4577,2021-08-04,4578,4598,2021-08-05,2021-09-03,short,22.6,22.989285714285714,24.02857142857143,22.989285714285714,-0.272499999999999,-0.38928571428571246,SL,price_time,1.0999999999999979,1.5500000000000007,2.25,1.6000000000000014,2.650000000000002,3.0500000000000007
2,4628,2021-10-19,4629,4649,2021-10-20,2021-11-18,short,42.0,43.635714285714286,46.52142857142857,43.635714285714286,-0.3617693522906793,-1.6357142857142861,SL,price_time,1.6499999999999986,1.7999999999999972,3.3500000000000014,1.4500000000000028,2.3500000000000014,2.1000000000000014
3,4661,2021-12-07,4662,4693,2021-12-08,2022-01-20,long,51.6,61.21785714285714,43.528571428571425,61.21785714285714,1.1915929203539812,9.61785714285714,SL,price_time,2.450000000000003,0.0,2.549999999999997,3.1000000000000014,2.9499999999999957,0.8999999999999986
4,4715,2022-02-22,4716,4757,2022-02-23,2022-04-27,long,50.95,51.69642857142857,44.19285714285714,51.69642857142857,0.110465116279069,0.7464285714285666,SL,price_time,1.7999999999999972,1.7999999999999972,-0.8000000000000043,-0.7000000000000028,-0.20000000000000284,-0.7000000000000028
5,4762,2022-05-05,4763,4816,2022-05-06,2022-07-20,short,49.7,39.989285714285714,56.09285714285714,39.989285714285714,1.5189944134078226,9.710714285714289,SL,price_time,0.6000000000000014,-0.44999999999999574,0.9500000000000028,-0.6999999999999957,1.4500000000000028,3.8500000000000014
6,4819,2022-07-25,4820,4830,2022-07-26,2022-08-10,long,38.9,35.349999999999994,34.864285714285714,35.349999999999994,-0.8796460176991163,-3.5500000000000043,SL,price_time,0.5500000000000043,0.30000000000000426,-0.3999999999999986,-1.0,0.8000000000000043,0.7000000000000028
7,4842,2022-08-29,4843,4861,2022-08-30,2022-09-26,long,36.35,36.72857142857143,32.62142857142857,36.72857142857143,0.10153256704980766,0.37857142857142634,SL,price_time,0.6000000000000014,0.3500000000000014,0.5,3.3999999999999986,4.600000000000001,3.8500000000000014
8,4922,2022-12-23,4923,4946,2022-12-26,2023-01-27,long,30.7,31.782142857142855,28.82857142857143,31.782142857142855,0.5782442748091599,1.0821428571428555,SL,price_time,2.3999999999999986,2.8000000000000007,4.050000000000001,3.650000000000002,3.150000000000002,3.5500000000000007
9,5097,2023-09-07,5098,5137,2023-09-08,2023-11-07,short,41.3,36.98214285714286,45.68571428571429,36.98214285714286,0.9845276872964137,4.317857142857136,SL,price_time,0.5,0.75,1.4499999999999957,3.799999999999997,2.1999999999999957,2.049999999999997
10,5180,2024-01-09,5181,5238,2024-01-10,2024-04-03,short,49.0,39.857142857142854,57.1,39.857142857142854,1.1287477954144622,9.142857142857146,SL,price_time,2.799999999999997,2.1499999999999986,3.049999999999997,1.5,2.5,3.450000000000003
11,5286,2024-06-13,5287,5317,2024-06-14,2024-07-30,short,40.0,39.15571428571429,44.67285714285714,39.15571428571429,0.18067869153164107,0.8442857142857108,SL,price_time,0.6400000000000006,0.6099999999999994,0.9699999999999989,1.4200000000000017,0.7199999999999989,1.3900000000000006
12,5408,2024-12-10,5409,5436,2024-12-11,2025-01-20,short,37.56,32.54071428571428,42.61714285714286,32.54071428571428,0.9925141242937869,5.019285714285722,SL,price_time,0.8800000000000026,0.8800000000000026,1.480000000000004,0.990000000000002,0.7700000000000031,1.5399999999999991
13,5509,2025-05-09,5510,5517,2025-05-12,2025-05-21,long,27.81,29.41071428571428,24.02,29.41071428571428,0.4223520542781749,1.6007142857142824,SL,price_time,1.6600000000000001,0.5899999999999999,0.5100000000000016,0.7100000000000009,1.110000000000003,1.5700000000000003
